Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,Score,Joint,Is_there,where_x,where_y,Strategy,Is_there_LEAD,Ac_Score,Norm_Score,Joint_LAG1,Category,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Similarity,Score_LAG1,Norm_Score_LAG1,Consistency_LEAD1,Dif_consist_LAG1,Category_LAG1,RegionGo,RegionGo2,Similarity_LAG1
1292579924,1,129257,Absent,18,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,1,1,-66,2,Unicorn_Present,2,5.0,0,Unicorn_Absent,-66,0.3875,,RS,16.0,,27.0,,0.390625,0.2631578947368421,,,0.25,,,ALL,RIGHT,
1292579924,2,129257,Absent,64,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,25,Unicorn_Absent,-1,-1,1,Unicorn_Absent,-59,0.84375,2,ALL,64.0,0.25,64.0,0.0625,0.609375,1.0,-66.0,0.3875,0.5,,RS,RIGHT,RIGHT,0.2631578947368421
1292579924,3,129257,Absent,32,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,18,14,Unicorn_Absent,-1,-1,6,Unicorn_Present,-41,0.9125,25,RIGHT,32.0,0.5,46.0,0.2674418604651163,0.5,1.0,7.0,0.84375,0.28125,0.0625,ALL,RIGHT,BOTTOM,1.0
1292579924,4,129257,Present,9,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,4,Unicorn_Present,4,2.0,6,Unicorn_Absent,-13,0.975,14,RIGHT,9.0,0.28125,13.0,0.004464285714285698,0.140625,0.28125,18.0,0.9125,0.0,0.2674418604651163,RIGHT,BOTTOM,IN,1.0
1292579924,5,129257,Absent,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,32,Unicorn_Absent,-1,-1,3,Unicorn_Absent,-13,0.8,4,BOTTOM,32.0,0.0,64.0,0.125,0.5,1.0,28.0,0.975,0.36,0.004464285714285698,RIGHT,IN,ALL,0.28125
1292579924,6,129257,Absent,36,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,14,18,Unicorn_Absent,-1,-1,7,Unicorn_Present,1,0.8875,32,IN,36.0,0.36,50.0,0.14,0.5,1.0,0.0,0.8,0.0,0.125,BOTTOM,ALL,ALL,1.0
1292579924,7,129257,Present,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Present,1,4.0,1,Unicorn_Present,33,1.0,18,ALL,2.0,0.0,4.0,0.0625,0.0625,0.07142857142857142,14.0,0.8875,0.034482758620689655,0.14,IN,ALL,ALL,1.0
1292579924,8,129257,Present,58,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,-25,57,Unicorn_Present,1,7.0,1,Unicorn_Present,8,0.64375,0,ALL,58.0,0.034482758620689655,58.0,0.0006049606775559574,0.015625,0.90625,32.0,1.0,0.5517241379310345,0.0625,ALL,ALL,ALL,0.07142857142857142
1292579924,9,129257,Present,32,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,Unicorn_Present,7,3.0,1,Unicorn_Present,24,0.9,57,ALL,32.0,0.5517241379310345,47.0,0.06019871420222089,0.484375,1.0,-25.0,0.64375,0.6875,0.0006049606775559574,ALL,ALL,BOTTOM,0.90625
1292579924,10,129257,Present,22,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,12,Unicorn_Present,5,2.0,1,Unicorn_Present,44,0.925,16,ALL,22.0,0.6875,31.0,0.01008064516129037,0.296875,0.6875,16.0,0.9,0.0,0.06019871420222089,ALL,BOTTOM,BOTTOM,1.0
