Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,Score,Joint,Is_there,where_x,where_y,Strategy,Is_there_LEAD,Ac_Score,Norm_Score,Joint_LAG1,Category,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Similarity,Score_LAG1,Norm_Score_LAG1,Consistency_LEAD1,Dif_consist_LAG1,Category_LAG1,RegionGo,RegionGo2,Similarity_LAG1
1458639193,1,145866,Absent,56,0,1,0,1,1,0,1,1,0,1,0,0,0,1,0,0,1,1,1,1,0,1,1,0,1,1,1,0,1,0,1,1,1,0,0,0,1,1,0,1,1,1,1,1,0,0,1,1,1,0,1,0,0,1,1,0,1,1,0,1,0,0,1,1,11,21,Unicorn_Absent,-1,-1.0,0,Unicorn_Absent,11,0.86875,,RS,38.0,,52.0,,0.484375,0.59375,,,0.37254901960784315,,,BOTTOM,LEFT,
1458639193,2,145866,Absent,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18,14,Unicorn_Absent,-1,-1.0,3,Unicorn_Present,29,0.9125,21,BOTTOM,32.0,0.37254901960784315,49.0,0.0784313725490196,0.546875,1.0,11.0,0.86875,0.0,,RS,LEFT,RS,0.59375
1458639193,3,145866,Present,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Present,2,2.0,5,Unicorn_Absent,61,1.0,14,LEFT,1.0,0.0,2.0,0.03225806451612903,0.03125,0.03571428571428571,18.0,0.9125,0.0,0.0784313725490196,BOTTOM,RS,OUT,1.0
1458639193,4,145866,Absent,11,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,22,10,Unicorn_Absent,-1,-1.0,0,Unicorn_Absent,83,0.9375,0,RS,10.0,0.0,64.0,0.015625,0.84375,0.1875,32.0,1.0,0.1875,0.03225806451612903,LEFT,OUT,LEFT,0.03571428571428571
1458639193,5,145866,Absent,28,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,27,5,Unicorn_Absent,-1,-1.0,8,Unicorn_Absent,110,0.96875,10,OUT,28.0,0.1875,36.0,0.015625,0.484375,1.0,22.0,0.9375,0.30434782608695654,0.015625,RS,LEFT,LEFT,0.1875
1458639193,6,145866,Absent,32,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,32,Unicorn_Absent,-1,-1.0,5,Unicorn_Present,110,0.8,5,LEFT,32.0,0.30434782608695654,64.0,0.10122282608695654,0.5,1.0,27.0,0.96875,0.5625,0.015625,OUT,LEFT,OUT,1.0
1458639193,7,145866,Present,18,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,6,Unicorn_Present,4,4.0,5,Unicorn_Present,136,0.9625,32,LEFT,18.0,0.5625,30.0,0.28125,0.375,0.5625,0.0,0.8,0.21052631578947367,0.10122282608695654,LEFT,OUT,LEFT,1.0
1458639193,8,145866,Present,28,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,13,19,Unicorn_Present,3,6.0,8,Unicorn_Absent,149,0.88125,6,OUT,28.0,0.21052631578947367,61.0,0.03947368421052633,0.65625,1.0,26.0,0.9625,0.30434782608695654,0.28125,LEFT,LEFT,LEFT,0.5625
1458639193,9,145866,Absent,32,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,32,Unicorn_Absent,-1,-1.0,5,Unicorn_Present,149,0.8,19,LEFT,32.0,0.30434782608695654,32.0,0.19565217391304346,0.0,1.0,13.0,0.88125,0.90625,0.03947368421052633,OUT,LEFT,RS,1.0
1458639193,10,145866,Present,29,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,17,15,Unicorn_Present,5,5.0,5,Unicorn_Present,166,0.90625,32,LEFT,29.0,0.90625,43.0,0.5801630434782609,0.4375,0.90625,0.0,0.8,0.3023255813953488,0.19565217391304346,LEFT,RS,RS,1.0
1458639193,11,145866,Absent,34,0,1,1,0,0,0,1,0,1,0,0,0,1,1,0,1,1,1,1,1,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,1,1,1,0,0,0,-75,11,Unicorn_Present,5,2.0,0,Unicorn_Absent,91,0.33125,15,RS,27.0,0.3023255813953488,48.0,0.08232558139534882,0.578125,0.421875,17.0,0.90625,0.29545454545454547,0.5801630434782609,LEFT,RS,NOTHING,0.90625
