Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,Score,Joint,Is_there,where_x,where_y,Strategy,Is_there_LEAD,Ac_Score,Norm_Score,Joint_LAG1,Category,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Similarity,Score_LAG1,Norm_Score_LAG1,Consistency_LEAD1,Dif_consist_LAG1,Category_LAG1,RegionGo,RegionGo2,Similarity_LAG1
63071769,1,769,Present,1,0,0,0,1,1,0,0,1,1,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,1,1,0,1,1,0,0,0,1,1,1,1,1,0,0,1,0,0,0,32,11,Unicorn_Present,4,0.0,9,Unicorn_Absent,32,1.0,,RS,27,,42,,0.484375,0.03125,,,0.3111111111111111,,,RIGHT,BOTTOM,
63071769,2,769,Absent,32,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,14,18,Unicorn_Absent,-1,-1.0,6,Unicorn_Absent,46,0.8875,0.0,RIGHT,32,0.3111111111111111,50,0.09542483660130718,0.5,1.0,32.0,1.0,0.3333333333333333,,RS,BOTTOM,LEFT,0.03125
63071769,3,769,Absent,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,32,Unicorn_Absent,-1,-1.0,3,Unicorn_Absent,46,0.8,18.0,BOTTOM,32,0.3333333333333333,64,0.22916666666666669,0.5,1.0,14.0,0.8875,0.3333333333333333,0.09542483660130718,RIGHT,LEFT,IN,1.0
63071769,4,769,Absent,32,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,32,Unicorn_Absent,-1,-1.0,5,Unicorn_Present,46,0.8,32.0,LEFT,32,0.3333333333333333,64,0.6666666666666667,0.5,1.0,0.0,0.8,0.36,0.22916666666666669,BOTTOM,IN,RIGHT,1.0
63071769,5,769,Present,2,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Present,2,0.0,7,Unicorn_Absent,78,1.0,32.0,IN,36,0.36,64,0.07750000000000001,1.0,0.0625,0.0,0.8,0.36,0.6666666666666667,LEFT,RIGHT,IN,1.0
63071769,6,769,Absent,32,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,18,14,Unicorn_Absent,-1,-1.0,6,Unicorn_Present,96,0.9125,0.0,RIGHT,32,0.36,46,0.64,0.5,1.0,32.0,1.0,0.36,0.07750000000000001,IN,IN,IN,0.0625
63071769,7,769,Present,9,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,29,18,Unicorn_Present,3,2.0,7,Unicorn_Present,125,0.98125,14.0,IN,36,0.36,50,0.055652173913043446,0.5,0.28125,18.0,0.9125,1.0,0.64,RIGHT,IN,TOP,1.0
63071769,8,769,Present,8,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,24,36,Unicorn_Present,3,2.0,7,Unicorn_Absent,149,0.95,3.0,IN,36,1.0,36,0.64,0.0,0.25,29.0,0.98125,0.36,0.055652173913043446,IN,TOP,RIGHT,0.28125
63071769,9,769,Absent,32,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,Unicorn_Absent,-1,-1.0,4,Unicorn_Present,165,0.9,8.0,TOP,32,0.36,48,0.0,0.5,1.0,24.0,0.95,0.3333333333333333,0.64,IN,RIGHT,ALL,0.25
63071769,10,769,Present,19,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,32,0,Unicorn_Present,3,4.0,6,Unicorn_Absent,197,1.0,16.0,RIGHT,32,0.3333333333333333,64,0.6666666666666667,1.0,0.59375,16.0,0.9,0.5,0.0,TOP,ALL,ALL,1.0
