Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,Score,Joint,Is_there,where_x,where_y,Strategy,Is_there_LEAD,Ac_Score,Norm_Score,Joint_LAG1,Category,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Similarity,Score_LAG1,Norm_Score_LAG1,Consistency_LEAD1,Dif_consist_LAG1,Category_LAG1,RegionGo,RegionGo2,Similarity_LAG1
1380198184,1,138014,Absent,19,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,24,8,Unicorn_Absent,-1,-1.0,0,Unicorn_Absent,24,0.95,,RS,17.0,,42.0,,0.53125,0.36363636363636365,,,0.14285714285714285,,,RS,NOTHING,
1380198184,2,138014,Absent,7,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,29,3,Unicorn_Absent,-1,-1.0,0,Unicorn_Absent,53,0.98125,8,RS,7.0,0.14285714285714285,34.0,0.19756838905775076,0.484375,0.14705882352941177,24.0,0.95,0.0,,RS,NOTHING,RS,0.36363636363636365
1380198184,3,138014,Absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1.0,2,Unicorn_Absent,85,1.0,3,NOTHING,0.0,0.0,16.0,0.24324324324324326,0.25,1.0,29.0,0.98125,0.0,0.19756838905775076,RS,RS,RS,0.14705882352941177
1380198184,4,138014,Absent,37,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,0,1,1,1,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,0,0,1,32,0,Unicorn_Absent,-1,-1.0,0,Unicorn_Present,117,1.0,0,RS,25.0,0.0,25.0,0.0,0.390625,0.390625,32.0,1.0,0.10714285714285714,0.24324324324324326,NOTHING,RS,RS,1.0
1380198184,5,138014,Present,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Present,7,1.0,0,Unicorn_Present,149,1.0,0,RS,6.0,0.10714285714285714,11.0,0.10714285714285714,0.171875,0.13333333333333333,32.0,1.0,0.03333333333333333,0.0,RS,RS,BOTTOM,0.390625
1380198184,6,138014,Present,36,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,21,11,Unicorn_Present,7,3.0,0,Unicorn_Absent,170,0.93125,0,RS,25.0,0.03333333333333333,44.0,0.0956989247311828,0.515625,0.390625,32.0,1.0,0.2127659574468085,0.10714285714285714,RS,BOTTOM,RS,0.13333333333333333
1380198184,7,138014,Absent,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,26,6,Unicorn_Absent,-1,-1.0,3,Unicorn_Present,196,0.9625,11,BOTTOM,32.0,0.2127659574468085,35.0,0.06570713391739674,0.453125,1.0,21.0,0.93125,0.1875,0.0956989247311828,RS,RS,RIGHT,0.390625
1380198184,8,138014,Present,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,32,0,Unicorn_Present,7,0.0,0,Unicorn_Present,228,1.0,6,RS,6.0,0.1875,14.0,0.125,0.21875,0.1875,26.0,0.9625,0.0,0.06570713391739674,BOTTOM,RIGHT,NOTHING,1.0
1380198184,9,138014,Present,5,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Present,4,1.0,6,Unicorn_Present,260,1.0,0,RIGHT,5.0,0.0,9.0,0.5,0.140625,0.15625,32.0,1.0,0.0,0.125,RS,NOTHING,TOP,0.1875
1380198184,10,138014,Present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Present,7,6.0,2,Unicorn_Absent,292,1.0,0,NOTHING,0.0,0.0,28.0,0.0,0.4375,1.0,32.0,1.0,0.0,0.5,RIGHT,TOP,RS,0.15625
