Num, Model, wALL, wNOTHING, wLEFT, wIN, Alpha, Beta, Gamma, Delta, Epsilon, Zeta
0,MB,0.0840090315317184,0.02839869876384456,0.024749251630739204,0.10763075429030054,0,0,0,0,0,0
0,WS,0.0025307852893658024,0.04445183693612844,0.06853637033842398,0.1029514822831121,807.239584919094,1000,15.692812625071927,0,0,0
1,MB,0.1070347863552678,0.07411387837898281,0.09110875746185278,0.09796657197265571,0,0,0,0,0,0
1,WS,0.07850327145100347,0.02023095059861835,0.03889505824395107,0.06535538221397869,101.13240940881174,1000,3.4451637269586115,0,0,0
2,MB,0.04839944684469913,0.09659150993067277,0.07876579498340003,0.003146995050486807,0,0,0,0,0,0
2,WS,0.06495105254089416,0.04082594629534736,0.11489995675738479,0.0755377574878579,472.30956849039563,1000,22.01026084070776,0,0,0
3,MB,0.11712883858196423,0.022198565986796422,0.11382152535060737,0.041626108767200055,0,0,0,0,0,0
3,WS,0.0628306156759077,0.09397158435556249,0.04148237898239244,0.02157960767327454,345.50553208388135,1000,16.974493689205723,0,0,0
4,MB,0.07297193413084056,0.08887816242401501,0.052387893262384466,0.071346211699035,0,0,0,0,0,0
4,WS,0.11427984394809278,0.07002847543722088,0.023761041465242227,0.08710858461171009,358.5503278387947,1000,5.728951807031088,0,0,0
5,MB,0.00888778767073417,0.04344362757509401,0.10315238516353067,0.05714864953275332,0,0,0,0,0,0
5,WS,0.025663593967242115,0.04570025543187187,0.07504008497815835,0.09335566438962932,471.2901225547076,1000,1.6354021185668906,0,0,0
6,MB,0.005263967983566942,0.015210084511650308,0.11705040668793183,0.10485530232956257,0,0,0,0,0,0
6,WS,0.09267299045368264,0.09450589002113206,0.10346758325793011,0.07178157849020242,965.9809328859732,1000,6.079587961302003,0,0,0
7,MB,0.047388412284270695,0.0761122565242678,0.07710670260375173,0.0028368265491530618,0,0,0,0,0,0
7,WS,0.01583975468245635,0.057698004316781425,0.043300528154213286,0.013831967242966323,583.2393271332703,1000,31.891675173676077,0,0,0
8,MB,0.030095181844787464,0.08462757338593346,0.09841820546971859,0.11101521599650713,0,0,0,0,0,0
8,WS,0.1184255516782305,0.051854410951336964,0.019588207226577017,0.031176672997275365,851.7088716766616,1000,11.890647680885191,0,0,0
9,MB,0.02576797410372534,0.01890550118888842,0.08194813266886329,0.04627521991315903,0,0,0,0,0,0
9,WS,0.09330045533201874,0.004712578504922527,0.007487197749552154,0.025635380369918397,34.09499666421978,1000,7.9532065588081835,0,0,0
0,FR,0.09791491493317231,0.08202988901381365,0.01760829665638429,0.0009148147482248924,323.98445617161076,1000,2.3529619491659126,344.34705875958593,1000,0.7072058631600027
1,FR,0.0165266014466665,0.022088689101215534,0.029024614175571693,0.09606939769369785,873.4521586372398,1000,5.828235082428314,287.83947627854525,1000,0.03284276074492565
2,FR,0.0871830720795595,0.09430048204314875,0.036721616158118794,0.03518309484006056,857.3323692986935,1000,12.475136944098765,885.96386685766,1000,0.7238721634900467
3,FR,0.11131860174487716,0.04805535709324703,0.04012782883499514,0.03173967559164904,986.3499547416193,1000,18.334360606749488,573.3628546861663,1000,0.0646938316317277
4,FR,0.0061003561524959555,0.02848739863963165,0.09800528108021485,0.0633456931131072,779.792514684219,1000,2.9395895884323373,738.7599523078866,1000,0.343319020665002
5,FR,0.06706375077138867,0.014451759984428495,0.09146542257735578,0.04190377995367607,112.52425102292618,1000,23.216258246892362,389.4929140799441,1000,0.4565780082825377
6,FR,0.06872387159996136,0.0721338537078632,0.07752719412213968,0.07433196349138652,419.0564496798842,1000,21.364354301278393,698.3538738859427,1000,0.4183980923277597
7,FR,0.023942894572074935,0.04863462518831433,0.0001076889162718908,0.0432042509672631,607.0023991413993,1000,1.4124357322751493,383.3801274503256,1000,0.3173457707559859
8,FR,0.057903732323048226,0.06868858565502832,0.08854128272606282,0.009933503203830556,247.82000222380108,1000,13.670649338126871,339.3300897438324,1000,0.1829177805789053
9,FR,0.060188011701385304,0.09951027539738086,0.1027768641677217,0.0226089644291422,681.4249514885688,1000,15.830847846309187,301.66525465639063,1000,0.43070170152025733
