Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,Score,Joint,Is_there,where_x,where_y,Strategy,Is_there_LEAD,Ac_Score,Norm_Score,Joint_LAG1,Category,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Similarity,Score_LAG1,Norm_Score_LAG1,Consistency_LEAD1,Dif_consist_LAG1,Category_LAG1,RegionGo,RegionGo2,Similarity_LAG1
1005281636,1,100528,Absent,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,-65,1,Unicorn_Present,4,2.0,0,Unicorn_Absent,-65,0.39375,,RS,2.0,,37.0,,0.5625,0.0625,,,0.03333333333333333,,,RS,RS,
1005281636,2,100528,Absent,42,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,30,2,Unicorn_Absent,-1,-1.0,0,Unicorn_Absent,-35,0.9875,1,RS,29.0,0.03333333333333333,35.0,0.09487179487179487,0.515625,0.453125,-65.0,0.39375,0.28205128205128205,,RS,RS,RS,0.0625
1005281636,3,100528,Absent,23,0,0,0,0,0,1,1,1,1,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,29,3,Unicorn_Absent,-1,-1.0,0,Unicorn_Present,-6,0.98125,2,RS,21.0,0.28205128205128205,31.0,0.11538461538461539,0.4375,0.328125,30.0,0.9875,0.23333333333333334,0.09487179487179487,RS,RS,RS,0.453125
1005281636,4,100528,Present,17,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,1,0,0,24,8,Unicorn_Present,4,0.0,0,Unicorn_Absent,18,0.95,3,RS,16.0,0.23333333333333334,43.0,0.033333333333333326,0.546875,0.2631578947368421,29.0,0.98125,0.2564102564102564,0.11538461538461539,RS,RS,ALL,0.328125
1005281636,5,100528,Absent,51,0,0,1,1,0,0,0,1,0,1,0,1,0,0,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,1,1,0,1,0,1,0,13,19,Unicorn_Absent,-1,-1.0,0,Unicorn_Present,31,0.88125,8,RS,33.0,0.2564102564102564,49.0,0.08974358974358976,0.46875,0.515625,24.0,0.95,0.125,0.033333333333333326,RS,ALL,ALL,0.2631578947368421
1005281636,6,100528,Present,12,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,1,Unicorn_Present,3,3.0,1,Unicorn_Present,62,0.99375,19,ALL,12.0,0.125,22.0,0.0030487804878048808,0.328125,0.375,13.0,0.88125,0.5833333333333334,0.08974358974358976,RS,ALL,ALL,0.515625
1005281636,7,100528,Present,7,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,1,Unicorn_Present,2,7.0,1,Unicorn_Present,93,0.99375,1,ALL,7.0,0.5833333333333334,12.0,0.5833333333333334,0.171875,0.25,31.0,0.99375,0.14285714285714285,0.0030487804878048808,ALL,ALL,ALL,0.375
1005281636,8,100528,Present,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Present,0,0.0,1,Unicorn_Absent,125,1.0,1,ALL,1.0,0.14285714285714285,1.0,0.14285714285714285,0.015625,0.03571428571428571,31.0,0.99375,0.015625,0.5833333333333334,ALL,ALL,RS,0.25
1005281636,9,100528,Absent,64,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-4,36,Unicorn_Absent,-1,-1.0,1,Unicorn_Present,121,0.775,0,ALL,64.0,0.015625,64.0,0.015625,0.4375,1.0,32.0,1.0,0.359375,0.14285714285714285,ALL,RS,RS,0.03571428571428571
1005281636,10,100528,Present,28,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,0,1,0,1,1,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,30,2,Unicorn_Present,7,0.0,0,Unicorn_Present,151,0.9875,36,RS,23.0,0.359375,25.0,0.3067434210526316,0.359375,0.359375,-4.0,0.775,0.11764705882352941,0.015625,ALL,RS,RS,1.0
1005281636,11,100528,Present,17,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,30,2,Unicorn_Present,4,5.0,0,Unicorn_Absent,181,0.9875,2,RS,15.0,0.11764705882352941,29.0,0.06501547987616099,0.421875,0.23684210526315788,30.0,0.9875,0.2857142857142857,0.3067434210526316,RS,RS,RS,0.359375
1005281636,12,100528,Absent,54,0,1,1,0,1,1,0,1,1,1,0,1,1,0,1,0,0,1,0,0,1,1,0,0,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,0,1,1,1,0,0,0,1,1,0,0,0,0,1,1,0,1,1,1,1,1,0,-7,39,Unicorn_Absent,-1,-1.0,0,Unicorn_Absent,174,0.75625,2,RS,39.0,0.2857142857142857,64.0,0.0357142857142857,0.390625,0.609375,30.0,0.9875,0.34782608695652173,0.06501547987616099,RS,RS,RS,0.23684210526315788
1005281636,13,100528,Absent,27,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,1,1,1,0,0,1,0,1,0,1,1,1,1,0,0,1,0,1,0,0,31,1,Unicorn_Absent,-1,-1.0,0,Unicorn_Absent,205,0.99375,39,RS,23.0,0.34782608695652173,25.0,0.30095108695652173,0.375,0.375,-7.0,0.75625,0.1111111111111111,0.0357142857142857,RS,RS,RS,0.609375
1005281636,14,100528,Absent,20,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,22,10,Unicorn_Absent,-1,-1.0,0,Unicorn_Present,227,0.9375,1,RS,17.0,0.1111111111111111,42.0,0.05555555555555555,0.5,0.2894736842105263,31.0,0.99375,0.0,0.30095108695652173,RS,RS,IN,0.375
1005281636,15,100528,Present,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Present,3,2.0,0,Unicorn_Present,259,1.0,10,RS,3.0,0.0,6.0,0.05555555555555555,0.09375,0.10714285714285714,22.0,0.9375,0.0,0.05555555555555555,RS,IN,IN,0.2894736842105263
1005281636,16,100528,Present,3,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Present,3,1.0,7,Unicorn_Present,291,1.0,0,IN,3.0,0.0,5.0,0.25,0.078125,0.09375,32.0,1.0,0.125,0.05555555555555555,RS,IN,IN,0.10714285714285714
1005281636,17,100528,Present,24,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,1,Unicorn_Present,6,4.0,7,Unicorn_Absent,322,0.99375,0,IN,24.0,0.125,28.0,0.125,0.421875,0.6666666666666666,32.0,1.0,0.6666666666666666,0.25,IN,IN,RS,0.09375
1005281636,18,100528,Absent,36,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,12,20,Unicorn_Absent,-1,-1.0,7,Unicorn_Present,334,0.875,1,IN,36.0,0.6666666666666666,50.0,0.5523809523809523,0.46875,1.0,31.0,0.99375,0.075,0.125,IN,RS,RS,0.6666666666666666
1005281636,19,100528,Present,9,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,28,4,Unicorn_Present,4,5.0,0,Unicorn_Present,362,0.975,20,RS,7.0,0.075,48.0,0.36136363636363633,0.6875,0.14705882352941177,12.0,0.875,0.07692307692307693,0.5523809523809523,IN,RS,RS,1.0
1005281636,20,100528,Present,7,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,7,Unicorn_Present,5,7.0,0,Unicorn_Absent,387,0.95625,4,RS,7.0,0.07692307692307693,62.0,0.6488833746898264,0.859375,0.14705882352941177,28.0,0.975,0.034482758620689655,0.36136363636363633,RS,RS,RS,0.14705882352941177
1005281636,21,100528,Absent,26,1,0,1,0,0,0,0,0,1,0,1,0,0,1,1,1,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,1,0,9,23,Unicorn_Absent,-1,-1.0,0,Unicorn_Absent,396,0.85625,7,RS,23.0,0.034482758620689655,64.0,0.9342672413793104,0.640625,0.359375,25.0,0.95625,0.1702127659574468,0.6488833746898264,RS,RS,RS,0.14705882352941177
