index,Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,Score,Joint,Is_there,where_x,where_y,Strategy,Is_there_LEAD,Category,Category1,RegionGo,indice,Cambio,avScGrpUniPresent,avScGrpUniPresent_LEAD,Ac_Score,Norm_Score,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Similarity,Norm_Score_LAG1,Consistency_LAG1,Dif_consist_LAG1,Joint_LAG1,Similarity_LAG1
0,10351028,1,10280,Absent,8,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,31,1,Unicorn_Absent,-1,-1.0,9,Unicorn_Present,RS,RS,RS,0,0,27.151408450704224,32.0,31,0.99375,8.0,,42.0,,0.640625,0.059105746561956225,,,,,
2,10351028,3,10280,Absent,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,30,2,Unicorn_Absent,-1,-1.0,9,Unicorn_Present,RS,RS,RS,2,0,27.151408450704224,-19.5,61,0.9875,8.0,0.06666666666666667,33.0,0.22500000000000003,0.484375,0.059105746561956225,0.99375,,,1,0.059105746561956225
7,10351028,8,10280,Absent,17,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,19,13,Unicorn_Absent,-1,-1.0,9,Unicorn_Absent,RS,RS,ALL,7,0,27.151408450704224,27.151408450704224,80,0.91875,17.0,0.041666666666666664,46.0,0.3664965986394558,0.515625,0.016194143319162562,0.9875,0.06666666666666667,0.22500000000000003,2,0.059105746561956225
8,10351028,9,10280,Absent,64,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,32,Unicorn_Absent,-1,-1.0,1,Unicorn_Present,ALL,ALL,UP,8,0,27.151408450704224,32.0,80,0.8,64.0,0.265625,64.0,0.15745192307692307,0.5,1.0,0.91875,0.041666666666666664,0.3664965986394558,13,0.016194143319162562
10,10351028,11,10280,Absent,32,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,8,Unicorn_Absent,-1,-1.0,4,Unicorn_Present,UP,UP,RS,10,0,27.151408450704224,-64.0,104,0.95,32.0,0.5,42.0,0.25,0.53125,1.0,0.8,0.265625,0.15745192307692307,32,1.0
12,10351028,13,10280,Absent,43,1,1,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,1,1,1,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,32,0,Unicorn_Absent,-1,-1.0,9,Unicorn_Absent,RS,RS,RS,12,0,27.151408450704224,27.151408450704224,136,1.0,29.0,0.24489795918367346,29.0,0.24489795918367346,0.453125,0.005537830714382473,0.95,0.5,0.25,8,1.0
13,10351028,14,10280,Absent,10,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,32,0,Unicorn_Absent,-1,-1.0,9,Unicorn_Absent,RS,RS,RS,13,0,27.151408450704224,27.151408450704224,168,1.0,10.0,0.18181818181818182,10.0,0.8181818181818181,0.15625,0.04232921962320499,1.0,0.24489795918367346,0.24489795918367346,0,0.005537830714382473
14,10351028,15,10280,Absent,14,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0,0,32,0,Unicorn_Absent,-1,-1.0,9,Unicorn_Absent,RS,RS,RS,14,0,27.151408450704224,27.151408450704224,200,1.0,12.0,0.15789473684210525,12.0,0.8421052631578947,0.1875,0.03130111324493289,1.0,0.18181818181818182,0.8181818181818181,0,0.04232921962320499
15,10351028,16,10280,Absent,28,0,0,0,0,1,0,0,0,1,0,0,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,-32,0,Unicorn_Absent,-1,-1.0,9,Unicorn_Present,RS,RS,RS,15,0,27.151408450704224,-32.333333333333336,168,0.6,20.0,0.06666666666666667,20.0,0.9333333333333333,0.3125,0.01142289099346694,1.0,0.15789473684210525,0.8421052631578947,0,0.03130111324493289
19,10351028,20,10280,Absent,18,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,17,15,Unicorn_Absent,-1,-1.0,9,Unicorn_Present,RS,RS,LEFT,19,0,27.151408450704224,-7.8,185,0.90625,15.0,0.25,64.0,0.25,0.765625,0.020796234419099814,0.6,0.06666666666666667,0.9333333333333333,0,0.01142289099346694
25,10351028,26,10280,Absent,32,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,32,0,Unicorn_Absent,-1,-1.0,5,Unicorn_Present,LEFT,LEFT,LEFT,25,0,27.151408450704224,32.0,217,1.0,32.0,0.23684210526315788,32.0,0.23684210526315788,0.5,1.0,0.90625,0.25,0.25,15,0.020796234419099814
27,10351028,28,10280,Absent,32,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,-3,0,Unicorn_Absent,-1,-1.0,5,Unicorn_Present,LEFT,LEFT,DOWN,27,0,27.151408450704224,-3.3333333333333335,214,0.78125,32.0,1.0,32.0,0.0,0.5,1.0,1.0,0.23684210526315788,0.23684210526315788,0,1.0
31,10351028,32,10280,Absent,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,16,Unicorn_Absent,-1,-1.0,3,Unicorn_Present,DOWN,DOWN,LEFT,31,0,27.151408450704224,27.833333333333332,230,0.9,32.0,0.3333333333333333,47.0,0.3333333333333333,0.484375,1.0,0.78125,1.0,0.0,0,1.0
