"Dyad","Model","wA","wN","wL","wI","alpha","beta","gamma","delta","epsilon","zeta","dev"
"140-615","MBiases","0.0217422370669503","0.0652118315449641","1.67316646648707e-10","0.249999999937441","0","0","0","0","0","0",66.2485224525535
"140-615","WSLS","0.0415745307414508","0.0416916986530835","3.42386924367943e-10","0.0636331529749893","24.3351024635044","999.860675252921","13.6513364118347","0","0","0",23.3462543861779
"140-615","FRA","0.0441396872835499","0.0444413946798544","8.25130563788523e-05","0.0312176512994255","24.8527245460903","999.84083977051","13.9558683252436","0.14719565394733","999.999998453642","0.76066987132322",22.4448269807543
"142-263","MBiases","0","0","0","1.38777878078145e-17","0","0","0","0","0","0",0
"142-263","WSLS","1.0754761779197e-05","1.2350205441658e-09","1.59358605200666e-08","9.42246397267477e-07","0.0598782676340393","999.000038867425","0.0171833942650714","0","0","0",0.0527841675640393
"142-263","FRA","4.0428170533513e-10","2.18920437333736e-10","3.55433737997402e-12","6.15509554383054e-06","999.999995365943","999.854951306205","31.8816562018614","987.505674002556","999.987419600866","0.999995314510988",0.0527841675640393
"151-962","MBiases","0","0","0","0","0","0","0","0","0","0",0
"151-962","WSLS","1.67824954336315e-07","1.22320132666803e-05","8.00983316992521e-07","6.73949492421833e-07","0.0043451548943918","999.000034844056","0.188820060141062","0","0","0",0.0415875259595461
"151-962","FRA","1.58686285028908e-06","1.33560627109397e-06","6.41204381607308e-06","4.72141597901432e-07","841.555758875698","999.864738990572","25.6659620779599","0.00362508541912332","999.810978800253","0.999905586874542",0.0415875259595461
"152-727","MBiases","0.18749804361176","0.0208262175334281","1.9130114159438e-12","1.98616123547879e-12","0","0","0","0","0","0",25.6171287425013
"152-727","WSLS","0.142824677050655","0.0219688671449801","2.02298396914657e-06","5.4852140969619e-07","0.714059892053809","999.946517685843","26.8542275913132","0","0","0",23.8659659662267
"152-727","FRA","0.142823502756358","0.0219841331068145","3.05721781224122e-10","3.31499776751176e-05","0.714185277915336","999.998342452488","25.655036468927","0.000100024988625158","999.864411479413","0.962585072225423",23.8657678646221
"216-713","MBiases","0.25","0","0","0","0","0","0","0","0","0",50.9225677326369
"216-713","WSLS","0.249999998821032","9.99936846172722e-05","0.000100006964109334","0.000100006064395142","999.995958424714","999.999986247178","5.09894076884506","0","0","0",50.9319063843208
"216-713","FRA","0.249999997831836","9.99995501575063e-05","9.99997101725214e-05","0.00010001087931337","473.117400458509","999.321975814954","31.3465452115958","4.10782519111308e-12","999.998064263056","0.9538178391786",50.9319061120728
"251-716","MBiases","0.0833395838543844","2.20587725863197e-09","1.2490009027033e-16","0","0","0","0","0","0","0",3.4420318262132
"251-716","WSLS","0.0833903985789372","2.7571658914316e-08","1.80411241501588e-16","6.08623290654364e-10","999.385597420562","999.345111525991","6.26308613236927","0","0","0",3.45042911398101
