Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,Score,Joint,Is_there,where_x,where_y,Strategy,Is_there_LEAD,Ac_Score,Norm_Score,Joint_LAG1,Category,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Similarity,Score_LAG1,Norm_Score_LAG1,Consistency_LEAD1,Dif_consist_LAG1,Category_LAG1,RegionGo,RegionGo2,Similarity_LAG1
1002439792,1,39792,Absent,60,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,0,1,0,1,0,1,0,0,0,1,1,0,1,1,1,1,1,1,0,0,0,1,1,1,1,0,1,23,9,Unicorn_Absent,-1,-1,9,Unicorn_Absent,23,0.94375,,RS,42.0,,50.0,,0.640625,0.65625,,,0.2553191489361702,,,RS,LEFT,
1002439792,2,39792,Absent,20,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,21,11,Unicorn_Absent,-1,-1,9,Unicorn_Present,44,0.93125,9,RS,17.0,0.2553191489361702,38.0,0.030319148936170187,0.421875,0.2894736842105263,23.0,0.94375,0.19230769230769232,,RS,LEFT,LEFT,0.65625
1002439792,3,39792,Present,14,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,8,Unicorn_Present,6,1.0,5,Unicorn_Present,68,0.95,11,LEFT,14.0,0.19230769230769232,21.0,0.2764423076923077,0.203125,0.4375,21.0,0.93125,0.8571428571428571,0.030319148936170187,RS,LEFT,LEFT,0.2894736842105263
1002439792,4,39792,Present,12,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,8,Unicorn_Present,4,1.0,5,Unicorn_Present,92,0.95,8,LEFT,12.0,0.8571428571428571,17.0,0.009523809523809601,0.140625,0.375,24.0,0.95,0.6666666666666666,0.2764423076923077,LEFT,LEFT,LEFT,0.4375
1002439792,5,39792,Present,8,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,4,Unicorn_Present,3,1.0,5,Unicorn_Absent,120,0.975,8,LEFT,8.0,0.6666666666666666,12.0,0.05128205128205121,0.125,0.25,24.0,0.95,0.25,0.009523809523809601,LEFT,LEFT,BOTTOM,0.375
1002439792,6,39792,Absent,32,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,16,16,Unicorn_Absent,-1,-1,5,Unicorn_Present,136,0.9,4,LEFT,32.0,0.25,48.0,0.0,0.5,1.0,28.0,0.975,0.11428571428571428,0.05128205128205121,LEFT,BOTTOM,BOTTOM,0.25
1002439792,7,39792,Present,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Present,6,4.0,3,Unicorn_Absent,168,1.0,16,BOTTOM,7.0,0.11428571428571428,14.0,0.10446428571428572,0.21875,0.21875,16.0,0.9,0.21875,0.0,LEFT,BOTTOM,LEFT,1.0
1002439792,8,39792,Absent,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,16,Unicorn_Absent,-1,-1,3,Unicorn_Present,184,0.9,0,BOTTOM,32.0,0.21875,48.0,0.0,0.5,1.0,32.0,1.0,0.2708333333333333,0.10446428571428572,BOTTOM,LEFT,BOTTOM,0.21875
1002439792,9,39792,Present,29,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,16,16,Unicorn_Present,5,3.0,5,Unicorn_Present,200,0.9,16,LEFT,29.0,0.2708333333333333,43.0,0.02083333333333337,0.421875,0.90625,16.0,0.9,0.12121212121212122,0.0,BOTTOM,BOTTOM,BOTTOM,1.0
1002439792,10,39792,Present,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Present,7,4.0,3,Unicorn_Present,232,1.0,16,BOTTOM,8.0,0.12121212121212122,16.0,0.14545454545454545,0.25,0.25,16.0,0.9,0.3076923076923077,0.02083333333333337,LEFT,BOTTOM,BOTTOM,0.90625
