Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,Score,Joint,Is_there,where_x,where_y,Strategy,Is_there_LEAD,Ac_Score,Norm_Score,Joint_LAG1,Category,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Similarity,Score_LAG1,Norm_Score_LAG1,Consistency_LEAD1,Dif_consist_LAG1,Category_LAG1,RegionGo,RegionGo2,Similarity_LAG1
1047660291,1,104764,Present,18,0,1,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,27,5,Unicorn_Present,6,4.0,0,Unicorn_Present,27,0.96875,,RS,19,,32,,0.421875,0.30952380952380953,,,0.18604651162790697,,,RIGHT,RIGHT,
1047660291,2,104764,Present,29,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,22,10,Unicorn_Present,4,7.0,6,Unicorn_Present,49,0.9375,5,RIGHT,32,0.18604651162790697,42,0.06839945280437756,0.5,1.0,27.0,0.96875,1.0,,RS,RIGHT,RIGHT,0.30952380952380953
1047660291,3,104764,Present,8,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,29,18,Unicorn_Present,2,2.0,6,Unicorn_Absent,78,0.98125,10,RIGHT,32,1.0,50,0.6976744186046512,0.5,1.0,22.0,0.9375,1.0,0.06839945280437756,RIGHT,RIGHT,OUT,1.0
1047660291,4,104764,Absent,32,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,14,18,Unicorn_Absent,-1,-1.0,6,Unicorn_Present,92,0.8875,3,RIGHT,32,1.0,50,0.0,0.5,1.0,29.0,0.98125,0.30434782608695654,0.6976744186046512,RIGHT,OUT,OUT,1.0
1047660291,5,104764,Absent,28,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,-78,14,Unicorn_Present,6,1.0,8,Unicorn_Present,14,0.3125,18,OUT,28,0.30434782608695654,46,0.055652173913043446,0.5,1.0,14.0,0.8875,1.0,0.0,RIGHT,OUT,OUT,1.0
1047660291,6,104764,Present,5,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,28,14,Unicorn_Present,4,0.0,8,Unicorn_Present,42,0.975,14,OUT,28,1.0,46,0.0,0.5,1.0,-78.0,0.3125,1.0,0.055652173913043446,OUT,OUT,OUT,1.0
1047660291,7,104764,Present,22,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,23,14,Unicorn_Present,1,5.0,8,Unicorn_Absent,65,0.94375,4,OUT,28,1.0,46,0.0,0.5,1.0,28.0,0.975,1.0,0.0,OUT,OUT,OUT,1.0
1047660291,8,104764,Absent,28,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,18,14,Unicorn_Absent,-1,-1.0,8,Unicorn_Present,83,0.9125,9,OUT,28,1.0,46,0.0,0.5,1.0,23.0,0.94375,1.0,0.0,OUT,OUT,OUT,1.0
1047660291,9,104764,Present,24,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,32,0,Unicorn_Present,3,7.0,8,Unicorn_Present,115,1.0,14,OUT,28,1.0,64,0.64,1.0,1.0,18.0,0.9125,1.0,0.0,OUT,OUT,OUT,1.0
1047660291,10,104764,Present,21,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,32,0,Unicorn_Present,0,7.0,8,Unicorn_Present,147,1.0,0,OUT,28,1.0,64,0.0,1.0,1.0,32.0,1.0,1.0,0.64,OUT,OUT,OUT,1.0
