Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,Score,Joint,Is_there,where_x,where_y,Strategy,Is_there_LEAD,Ac_Score,Norm_Score,Joint_LAG1,Category,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Similarity,Score_LAG1,Norm_Score_LAG1,Consistency_LEAD1,Dif_consist_LAG1,Category_LAG1,RegionGo,RegionGo2,Similarity_LAG1
1260443256,1,126044,Present,8,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,1,Unicorn_Present,4,0.0,0,Unicorn_Present,31,0.99375,,RS,7.0,,11.0,,0.15625,0.21875,,,0.10256410256410256,,,IN,LEFT,
1260443256,2,126044,Present,36,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,8,24,Unicorn_Present,0,5.0,7,Unicorn_Absent,39,0.85,1,IN,36.0,0.10256410256410256,53.0,0.007326007326007328,0.453125,1.0,31.0,0.99375,0.36,,RS,LEFT,NOTHING,0.21875
1260443256,3,126044,Absent,32,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,32,Unicorn_Absent,-1,-1,5,Unicorn_Absent,39,0.8,24,LEFT,32.0,0.36,32.0,0.04384615384615387,0.0,1.0,8.0,0.85,0.0,0.007326007326007328,IN,NOTHING,NOTHING,1.0
1260443256,4,126044,Absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1,2,Unicorn_Present,71,1.0,32,NOTHING,0.0,0.0,32.0,0.0,0.5,1.0,0.0,0.8,1.0,0.04384615384615387,LEFT,NOTHING,NOTHING,1.0
1260443256,5,126044,Present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Present,6,3.0,2,Unicorn_Present,103,1.0,0,NOTHING,0.0,1.0,31.0,0.6875,0.484375,1.0,32.0,1.0,1.0,0.0,NOTHING,NOTHING,ALL,1.0
1260443256,6,126044,Absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-64,0,Unicorn_Present,6,2.0,2,Unicorn_Present,39,0.4,0,NOTHING,0.0,1.0,28.0,0.7173913043478262,0.4375,1.0,32.0,1.0,0.0,0.6875,NOTHING,ALL,BOTTOM,1.0
1260443256,7,126044,Present,25,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,24,Unicorn_Present,0,3.0,1,Unicorn_Present,47,0.85,0,ALL,25.0,0.0,25.0,0.3,0.015625,0.78125,-64.0,0.4,0.0,0.7173913043478262,NOTHING,BOTTOM,LEFT,1.0
1260443256,8,126044,Present,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,26,6,Unicorn_Present,3,7.0,3,Unicorn_Absent,73,0.9625,24,BOTTOM,24.0,0.0,42.0,0.3333333333333333,0.5625,0.75,8.0,0.85,0.2727272727272727,0.3,ALL,LEFT,RS,0.78125
1260443256,9,126044,Absent,32,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,32,0,Unicorn_Absent,-1,-1,5,Unicorn_Absent,105,1.0,6,LEFT,32.0,0.2727272727272727,32.0,0.2727272727272727,0.5,1.0,26.0,0.9625,0.23076923076923078,0.3333333333333333,BOTTOM,RS,TOP,0.75
1260443256,10,126044,Absent,17,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,32,0,Unicorn_Absent,-1,-1,0,Unicorn_Absent,137,1.0,0,RS,16.0,0.23076923076923078,16.0,0.7692307692307692,0.25,0.2631578947368421,32.0,1.0,0.2631578947368421,0.2727272727272727,LEFT,TOP,OUT,1.0
1260443256,11,126044,Absent,32,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1,4,Unicorn_Present,169,1.0,0,TOP,32.0,0.2631578947368421,32.0,0.736842105263158,0.5,1.0,32.0,1.0,0.3888888888888889,0.7692307692307692,RS,OUT,OUT,0.2631578947368421
1260443256,12,126044,Present,18,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Present,7,5.0,8,Unicorn_Absent,201,1.0,0,OUT,18.0,0.3888888888888889,18.0,0.6111111111111112,0.28125,0.6428571428571429,32.0,1.0,0.6428571428571429,0.736842105263158,TOP,OUT,RIGHT,1.0
1260443256,13,126044,Absent,28,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,18,14,Unicorn_Absent,-1,-1,8,Unicorn_Present,219,0.9125,0,OUT,28.0,0.6428571428571429,46.0,0.6428571428571429,0.5,1.0,32.0,1.0,0.30434782608695654,0.6111111111111112,OUT,RIGHT,OUT,0.6428571428571429
1260443256,14,126044,Absent,32,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,-82,18,Unicorn_Present,0,7.0,6,Unicorn_Present,137,0.2875,14,RIGHT,32.0,0.30434782608695654,50.0,0.055652173913043446,0.5,1.0,18.0,0.9125,0.0,0.6428571428571429,OUT,OUT,ALL,1.0
1260443256,15,126044,Present,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Present,0,0.0,8,Unicorn_Absent,169,1.0,18,OUT,1.0,0.0,1.0,0.0,0.015625,0.03571428571428571,-82.0,0.2875,0.015625,0.055652173913043446,RIGHT,ALL,NOTHING,1.0
1260443256,16,126044,Absent,64,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,28,Unicorn_Absent,-1,-1,1,Unicorn_Present,173,0.825,0,ALL,64.0,0.015625,64.0,0.015625,0.5625,1.0,32.0,1.0,0.0,0.0,OUT,NOTHING,NOTHING,0.03571428571428571
1260443256,17,126044,Absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-64,0,Unicorn_Present,1,5.0,2,Unicorn_Absent,109,0.4,28,NOTHING,0.0,0.0,32.0,0.30434782608695654,0.5,1.0,4.0,0.825,1.0,0.015625,ALL,NOTHING,NOTHING,1.0
1260443256,18,126044,Absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1,2,Unicorn_Present,141,1.0,0,NOTHING,0.0,1.0,32.0,0.0,0.5,1.0,-64.0,0.4,1.0,0.30434782608695654,NOTHING,NOTHING,LEFT,1.0
1260443256,19,126044,Present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Present,7,5.0,2,Unicorn_Present,173,1.0,0,NOTHING,0.0,1.0,24.0,0.6,0.375,1.0,32.0,1.0,0.0,0.0,NOTHING,LEFT,TOP,1.0
1260443256,20,126044,Present,13,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Present,4,3.0,5,Unicorn_Present,205,1.0,0,LEFT,13.0,0.0,26.0,0.5416666666666666,0.40625,0.40625,32.0,1.0,0.4444444444444444,0.6,NOTHING,TOP,RIGHT,1.0
1260443256,21,126044,Present,13,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,12,Unicorn_Present,4,1.0,4,Unicorn_Absent,225,0.925,0,TOP,13.0,0.4444444444444444,13.0,0.25396825396825395,0.015625,0.40625,32.0,1.0,0.125,0.5416666666666666,LEFT,RIGHT,RIGHT,0.40625
1260443256,22,126044,Absent,32,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,32,Unicorn_Absent,-1,-1,6,Unicorn_Absent,225,0.8,12,RIGHT,32.0,0.125,32.0,0.024999999999999994,0.0,1.0,20.0,0.925,1.0,0.25396825396825395,TOP,RIGHT,OUT,0.40625
1260443256,23,126044,Absent,32,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,16,16,Unicorn_Absent,-1,-1,6,Unicorn_Present,241,0.9,32,RIGHT,32.0,1.0,48.0,0.6666666666666667,0.5,1.0,0.0,0.8,0.1794871794871795,0.024999999999999994,RIGHT,OUT,TOP,1.0
1260443256,24,126044,Present,14,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Present,7,3.0,8,Unicorn_Absent,273,1.0,16,OUT,14.0,0.1794871794871795,14.0,0.1794871794871795,0.21875,0.5,16.0,0.9,0.4375,0.6666666666666667,RIGHT,TOP,TOP,1.0
1260443256,25,126044,Absent,32,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1,4,Unicorn_Absent,305,1.0,0,TOP,32.0,0.4375,32.0,0.5625,0.5,1.0,32.0,1.0,1.0,0.1794871794871795,OUT,TOP,RIGHT,0.5
1260443256,26,126044,Absent,32,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,Unicorn_Absent,-1,-1,4,Unicorn_Present,305,0.8,0,TOP,32.0,1.0,32.0,1.0,0.0,1.0,32.0,1.0,0.3333333333333333,0.5625,TOP,RIGHT,OUT,1.0
1260443256,27,126044,Absent,32,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,-80,16,Unicorn_Present,3,3.0,6,Unicorn_Absent,225,0.3,32,RIGHT,32.0,0.3333333333333333,48.0,0.3333333333333333,0.5,1.0,0.0,0.8,0.30434782608695654,1.0,TOP,OUT,ALL,1.0
1260443256,28,126044,Absent,28,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,4,28,Unicorn_Absent,-1,-1,8,Unicorn_Present,229,0.825,16,OUT,28.0,0.30434782608695654,28.0,0.0,0.0,1.0,-80.0,0.3,0.3103448275862069,0.3333333333333333,RIGHT,ALL,RIGHT,1.0
1260443256,29,126044,Present,10,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,4,Unicorn_Present,1,1.0,1,Unicorn_Present,257,0.975,28,ALL,10.0,0.3103448275862069,15.0,0.1540948275862069,0.171875,0.3125,4.0,0.825,0.10526315789473684,0.0,OUT,RIGHT,BOTTOM,1.0
1260443256,30,126044,Absent,32,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,-64,0,Unicorn_Present,1,5.0,6,Unicorn_Present,193,0.4,4,RIGHT,32.0,0.10526315789473684,32.0,0.10526315789473684,0.5,1.0,28.0,0.975,0.2608695652173913,0.1540948275862069,ALL,BOTTOM,RIGHT,0.3125
