Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,Score,Joint,Is_there,where_x,where_y,Strategy,Is_there_LEAD,Ac_Score,Norm_Score,Joint_LAG1,Category,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Similarity,Score_LAG1,Norm_Score_LAG1,Consistency_LEAD1,Dif_consist_LAG1,Category_LAG1,RegionGo,RegionGo2,Similarity_LAG1
1604825202,1,25202,Absent,17,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,1,0,26,6,Unicorn_Absent,-1,-1.0,9,Unicorn_Present,26,0.9625,,RS,20,,33,,0.421875,0.3125,,,0.23809523809523808,,,BOTTOM,RS,
1604825202,2,25202,Absent,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-83,16,Unicorn_Present,4,0.0,3,Unicorn_Present,-57,0.28125,6,BOTTOM,32,0.23809523809523808,49,0.15476190476190477,0.515625,1.0,26.0,0.9625,0.2,,RS,RS,RS,0.3125
1604825202,3,25202,Absent,47,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,1,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,-74,10,Unicorn_Present,1,3.0,9,Unicorn_Absent,-131,0.3375,19,RS,22,0.2,38,0.17209302325581394,0.4375,0.34375,-83.0,0.28125,0.16216216216216217,0.15476190476190477,BOTTOM,RS,RS,1.0
1604825202,4,25202,Absent,27,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,1,21,10,Unicorn_Absent,-1,-1.0,9,Unicorn_Present,-110,0.93125,10,RS,21,0.16216216216216217,32,0.07467994310099571,0.34375,0.328125,-74.0,0.3375,0.30952380952380953,0.17209302325581394,RS,RS,RS,0.34375
1604825202,5,25202,Present,5,1,0,1,0,1,1,0,0,0,1,1,0,1,0,1,1,1,0,0,1,1,1,1,1,0,0,0,1,1,1,0,0,0,1,0,0,1,0,1,0,1,1,0,1,0,0,1,1,0,1,0,1,1,1,1,1,0,1,0,0,0,0,0,1,32,12,Unicorn_Present,7,1.0,9,Unicorn_Absent,-78,1.0,11,RS,34,0.30952380952380953,42,0.028273809523809534,0.46875,0.53125,21.0,0.93125,0.2826086956521739,0.07467994310099571,RS,RS,RS,0.328125
1604825202,6,25202,Absent,9,1,0,1,0,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0,1,1,0,26,11,Unicorn_Absent,-1,-1.0,9,Unicorn_Absent,-52,0.9625,0,RS,25,0.2826086956521739,40,0.07208237986270022,0.453125,0.390625,32.0,1.0,0.225,0.028273809523809534,RS,RS,RS,0.53125
1604825202,7,25202,Absent,12,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,0,0,0,1,0,0,0,1,1,0,1,1,0,1,0,0,1,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,28,8,Unicorn_Absent,-1,-1.0,9,Unicorn_Present,-24,0.975,6,RS,24,0.225,42,0.07499999999999998,0.53125,0.375,26.0,0.9625,0.21052631578947367,0.07208237986270022,RS,RS,ALL,0.390625
1604825202,8,25202,Present,25,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,1,1,0,0,0,0,20,22,Unicorn_Present,0,4.0,9,Unicorn_Present,-4,0.925,4,RS,22,0.21052631578947367,64,0.19572368421052633,0.65625,0.38095238095238093,28.0,0.975,0.34375,0.07499999999999998,RS,ALL,RS,0.375
1604825202,9,25202,Present,31,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,64,Unicorn_Present,7,3.0,1,Unicorn_Present,-3,0.80625,12,ALL,64,0.34375,64,0.65625,0.0,1.0,20.0,0.925,0.34375,0.19572368421052633,RS,RS,ALL,0.38095238095238093
1604825202,10,25202,Present,16,0,1,0,1,1,1,1,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,31,8,Unicorn_Present,1,3.0,9,Unicorn_Absent,28,0.99375,31,RS,22,0.34375,43,0.109375,0.546875,0.35,1.0,0.80625,0.34375,0.65625,ALL,ALL,RS,1.0
