Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,Score,Joint,Is_there,where_x,where_y,Strategy,Is_there_LEAD,Ac_Score,Norm_Score,Joint_LAG1,Category,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Similarity,Score_LAG1,Norm_Score_LAG1,Consistency_LEAD1,Dif_consist_LAG1,Category_LAG1,RegionGo,RegionGo2,Similarity_LAG1
1048668169,1,104868,Present,11,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Present,3,2.0,0,Unicorn_Absent,32,1.0,,RS,11.0,,19.0,,0.296875,0.2647058823529412,,,0.08,,,RS,BOTTOM,
1048668169,2,104868,Absent,18,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,26,6,Unicorn_Absent,-1,-1,0,Unicorn_Present,58,0.9625,0,RS,16.0,0.08,42.0,0.06285714285714285,0.5625,0.3333333333333333,32.0,1.0,0.4,,RS,BOTTOM,ALL,0.2647058823529412
1048668169,3,104868,Present,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,23,9,Unicorn_Present,1,7.0,3,Unicorn_Absent,81,0.94375,6,BOTTOM,26.0,0.4,42.0,0.38125,0.515625,0.8125,26.0,0.9625,0.40625,0.06285714285714285,RS,ALL,IN,0.3333333333333333
1048668169,4,104868,Absent,64,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,32,Unicorn_Absent,-1,-1,1,Unicorn_Present,81,0.8,9,ALL,64.0,0.40625,64.0,0.016006097560975596,0.5,1.0,23.0,0.94375,0.328125,0.38125,BOTTOM,IN,RS,0.8125
1048668169,5,104868,Present,21,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,5,Unicorn_Present,3,4.0,7,Unicorn_Absent,108,0.96875,32,IN,21.0,0.328125,35.0,0.11383928571428573,0.46875,0.5833333333333334,0.0,0.8,0.1724137931034483,0.016006097560975596,ALL,RS,BOTTOM,1.0
1048668169,6,104868,Absent,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,31,1,Unicorn_Absent,-1,-1,0,Unicorn_Absent,139,0.99375,5,RS,13.0,0.1724137931034483,23.0,0.018567639257294433,0.34375,0.203125,27.0,0.96875,0.18421052631578946,0.11383928571428573,IN,BOTTOM,IN,0.5833333333333334
1048668169,7,104868,Absent,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,18,Unicorn_Absent,-1,-1,3,Unicorn_Absent,153,0.8875,1,BOTTOM,32.0,0.18421052631578946,41.0,0.06656346749226005,0.359375,1.0,31.0,0.99375,0.36,0.018567639257294433,RS,IN,RS,0.203125
1048668169,8,104868,Absent,36,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,14,18,Unicorn_Absent,-1,-1,7,Unicorn_Absent,167,0.8875,18,IN,36.0,0.36,50.0,0.07902439024390245,0.5,1.0,14.0,0.8875,0.0975609756097561,0.06656346749226005,BOTTOM,RS,RS,1.0
1048668169,9,104868,Absent,9,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,28,4,Unicorn_Absent,-1,-1,0,Unicorn_Absent,195,0.975,18,RS,9.0,0.0975609756097561,26.0,0.19512195121951217,0.34375,0.17142857142857143,14.0,0.8875,0.13793103448275862,0.07902439024390245,IN,RS,RS,1.0
1048668169,10,104868,Absent,32,1,0,0,1,0,0,1,1,0,0,0,0,1,1,1,1,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,1,0,31,1,Unicorn_Absent,-1,-1,0,Unicorn_Present,226,0.99375,4,RS,24.0,0.13793103448275862,30.0,0.06100795755968169,0.453125,0.375,28.0,0.975,0.21212121212121213,0.19512195121951217,RS,RS,ALL,0.17142857142857143
1048668169,11,104868,Absent,22,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,-69,5,Unicorn_Present,7,6.0,0,Unicorn_Absent,157,0.36875,1,RS,16.0,0.21212121212121213,31.0,0.08712121212121213,0.40625,0.25,31.0,0.99375,0.25,0.06100795755968169,RS,ALL,RS,0.375
1048668169,12,104868,Absent,64,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,32,Unicorn_Absent,-1,-1,1,Unicorn_Absent,157,0.8,5,ALL,64.0,0.25,64.0,0.011904761904761918,0.5,1.0,-69.0,0.36875,0.046875,0.08712121212121213,RS,RS,BOTTOM,0.25
1048668169,13,104868,Absent,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,1,Unicorn_Absent,-1,-1,0,Unicorn_Absent,188,0.99375,32,RS,3.0,0.046875,28.0,0.2713068181818182,0.421875,0.08333333333333333,0.0,0.8,0.06060606060606061,0.011904761904761918,ALL,BOTTOM,RS,1.0
