Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,Score,Joint,Is_there,where_x,where_y,Strategy,Is_there_LEAD,Ac_Score,Norm_Score,Joint_LAG1,Category,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Similarity,Score_LAG1,Norm_Score_LAG1,Consistency_LEAD1,Dif_consist_LAG1,Category_LAG1,RegionGo,RegionGo2,Similarity_LAG1
1044813256,1,104482,Present,20,0,0,0,0,0,0,1,1,0,1,0,0,1,1,1,0,0,0,1,0,1,0,1,1,1,1,1,0,0,0,1,1,1,0,1,1,0,0,1,0,1,0,1,1,1,0,1,0,1,1,0,0,0,1,1,1,0,0,0,0,1,0,0,1,26,9,Unicorn_Present,1,5.0,0,Unicorn_Absent,26,0.9625,,RS,31,,47,,0.59375,0.484375,,,0.3404255319148936,,,BOTTOM,NOTHING,
1044813256,2,104482,Absent,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,18,Unicorn_Absent,-1,-1.0,3,Unicorn_Absent,40,0.8875,6,BOTTOM,32,0.3404255319148936,50,0.045938104448742745,0.5,1.0,26.0,0.9625,0.0,,RS,NOTHING,LEFT,0.484375
1044813256,3,104482,Absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1.0,2,Unicorn_Absent,72,1.0,18,NOTHING,0,0.0,29,0.4444444444444444,0.453125,1.0,14.0,0.8875,0.0,0.045938104448742745,BOTTOM,LEFT,OUT,1.0
1044813256,4,104482,Absent,32,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,32,0,Unicorn_Absent,-1,-1.0,5,Unicorn_Absent,104,1.0,0,LEFT,32,0.0,64,0.2978723404255319,1.0,1.0,32.0,1.0,0.30434782608695654,0.4444444444444444,NOTHING,OUT,LEFT,1.0
1044813256,5,104482,Absent,28,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,15,9,Unicorn_Absent,-1,-1.0,8,Unicorn_Present,119,0.89375,0,OUT,28,0.30434782608695654,44,0.008893280632411071,0.546875,1.0,32.0,1.0,0.30434782608695654,0.2978723404255319,LEFT,LEFT,NOTHING,1.0
1044813256,6,104482,Present,14,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,32,0,Unicorn_Present,1,3.0,5,Unicorn_Absent,151,1.0,17,LEFT,32,0.30434782608695654,64,0.008893280632411071,1.0,1.0,15.0,0.89375,0.0,0.008893280632411071,OUT,NOTHING,TOP,1.0
1044813256,7,104482,Absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1.0,2,Unicorn_Absent,183,1.0,0,NOTHING,0,0.0,28,0.30434782608695654,0.4375,1.0,32.0,1.0,0.0,0.008893280632411071,LEFT,TOP,RIGHT,1.0
1044813256,8,104482,Absent,32,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,14,Unicorn_Absent,-1,-1.0,4,Unicorn_Present,201,0.9125,0,TOP,32,0.0,46,1.0,0.5,1.0,32.0,1.0,0.3333333333333333,0.30434782608695654,NOTHING,RIGHT,OUT,1.0
1044813256,9,104482,Present,32,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,16,32,Unicorn_Present,1,4.0,6,Unicorn_Absent,217,0.9,14,RIGHT,32,0.3333333333333333,64,0.10416666666666669,0.5,1.0,18.0,0.9125,0.30434782608695654,1.0,TOP,OUT,OUT,1.0
1044813256,10,104482,Absent,28,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,18,14,Unicorn_Absent,-1,-1.0,8,Unicorn_Present,235,0.9125,16,OUT,28,0.30434782608695654,46,0.19565217391304346,0.5,1.0,16.0,0.9,1.0,0.10416666666666669,RIGHT,OUT,OUT,1.0
