index,Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,Score,Joint,Is_there,where_x,where_y,Strategy,Is_there_LEAD,Ac_Score,Norm_Score,Joint_LAG1,Category,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Similarity,Score_LAG1,Norm_Score_LAG1,Consistency_LEAD1,Dif_consist_LAG1,Category_LAG1,RegionGo,RegionGo2,Similarity_LAG1,Alpha
0,1114412411,1,111444,Absent,32,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,1,-73,9,Unicorn_Present,7,5.0,0,Unicorn_Absent,-73,0.34375,,RS,21,,34,,0.390625,0.328125,,,0.16666666666666666,,,RS,RS,,1.2
0,1114412411,2,111444,Absent,32,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,1,1,1,0,1,0,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,24,7,Unicorn_Absent,-1,-1.0,0,Unicorn_Absent,-49,0.95,9.0,RS,21,0.16666666666666666,37,0.11904761904761904,0.46875,0.328125,-73.0,0.34375,0.16216216216216217,,RS,RS,RS,0.328125,1.2
0,1114412411,3,111444,Absent,32,1,1,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,23,8,Unicorn_Absent,-1,-1.0,0,Unicorn_Absent,-26,0.94375,8.0,RS,22,0.16216216216216217,42,0.08174027686222807,0.53125,0.34375,24.0,0.95,0.35135135135135137,0.11904761904761904,RS,RS,RS,0.328125,1.2
0,1114412411,4,111444,Absent,32,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1,0,1,1,0,0,1,1,1,0,1,0,0,1,0,0,1,1,0,1,26,9,Unicorn_Absent,-1,-1.0,0,Unicorn_Present,0,0.9625,9.0,RS,28,0.35135135135135137,42,0.04365904365904366,0.515625,0.4375,23.0,0.94375,0.20930232558139536,0.08174027686222807,RS,RS,RS,0.34375,1.2
0,1114412411,5,111444,Present,26,1,0,0,1,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,25,12,Unicorn_Present,5,6.0,0,Unicorn_Present,25,0.95625,6.0,RS,24,0.20930232558139536,38,0.014180374361883158,0.40625,0.3953488372093023,26.0,0.9625,0.16216216216216217,0.04365904365904366,RS,RS,RS,0.4375,1.2
0,1114412411,6,111444,Present,27,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,27,9,Unicorn_Present,7,5.0,0,Unicorn_Absent,52,0.96875,7.0,RS,19,0.16216216216216217,41,0.07696827262044653,0.5,0.3076923076923077,25.0,0.95625,0.3939393939393939,0.014180374361883158,RS,RS,RS,0.3953488372093023,1.2
0,1114412411,7,111444,Absent,32,0,0,0,0,1,1,0,1,0,1,1,0,1,0,1,1,0,1,1,1,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,24,11,Unicorn_Absent,-1,-1.0,0,Unicorn_Absent,76,0.95,5.0,RS,27,0.3939393939393939,40,0.19828722002635044,0.453125,0.421875,27.0,0.96875,0.3076923076923077,0.07696827262044653,RS,RS,RS,0.3076923076923077,1.2
0,1114412411,8,111444,Absent,32,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,23,10,Unicorn_Absent,-1,-1.0,0,Unicorn_Absent,99,0.94375,8.0,RS,24,0.3076923076923077,39,0.018218623481781382,0.453125,0.375,24.0,0.95,0.2,0.19828722002635044,RS,RS,RS,0.421875,1.2
0,1114412411,9,111444,Absent,32,1,0,0,0,1,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,1,0,0,0,1,0,1,1,0,1,1,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,24,7,Unicorn_Absent,-1,-1.0,0,Unicorn_Absent,123,0.95,9.0,RS,24,0.2,43,0.04390243902439023,0.5625,0.375,23.0,0.94375,0.20512820512820512,0.018218623481781382,RS,RS,RS,0.375,1.2
0,1114412411,10,111444,Absent,32,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,1,24,12,Unicorn_Absent,-1,-1.0,0,Unicorn_Present,147,0.95,8.0,RS,23,0.20512820512820512,44,0.16696481812760883,0.5,0.359375,24.0,0.95,0.20454545454545456,0.04390243902439023,RS,RS,RS,0.375,1.2
