index,Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,Score,Joint,Is_there,where_x,where_y,Strategy,Is_there_LEAD,Ac_Score,Norm_Score,Joint_LAG1,Category,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Similarity,Score_LAG1,Norm_Score_LAG1,Consistency_LEAD1,Dif_consist_LAG1,Category_LAG1,RegionGo,RegionGo2,Similarity_LAG1,Alpha
0,790689227,1,9227,Present,3,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,1,1,0,32,7,Unicorn_Present,6,2.0,9,Unicorn_Absent,32,1.0,,RS,25,,41,,0.53125,0.390625,,,0.23809523809523808,,,RS,RS,,1
0,790689227,2,9227,Absent,32,1,0,0,1,0,1,0,1,0,0,0,0,1,1,1,1,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,1,1,0,1,1,0,0,1,1,0,0,1,0,1,0,0,20,12,Unicorn_Absent,-1,-1.0,9,Unicorn_Absent,52,0.925,0.0,RS,27,0.23809523809523808,41,0.04297328687572588,0.453125,0.421875,32.0,1.0,0.275,,RS,RS,RS,0.390625,1
0,790689227,3,9227,Absent,32,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,1,0,1,0,1,1,0,0,1,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,0,1,0,1,0,25,8,Unicorn_Absent,-1,-1.0,0,Unicorn_Present,77,0.95625,12.0,RS,24,0.275,38,0.07500000000000001,0.46875,0.375,20.0,0.925,0.23684210526315788,0.04297328687572588,RS,RS,RS,0.421875,1
0,790689227,4,9227,Present,18,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,1,1,1,0,0,0,0,0,25,10,Unicorn_Present,7,5.0,0,Unicorn_Present,102,0.95625,7.0,RS,23,0.23684210526315788,38,0.09050064184852374,0.4375,0.359375,25.0,0.95625,0.2564102564102564,0.07500000000000001,RS,RS,RS,0.375,1
0,790689227,5,9227,Present,9,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,1,1,1,0,0,1,0,0,1,0,1,1,1,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,1,1,0,1,0,31,9,Unicorn_Present,5,3.0,0,Unicorn_Absent,133,0.99375,7.0,RS,26,0.2564102564102564,37,0.07219973009446692,0.4375,0.40625,25.0,0.95625,0.11904761904761904,0.09050064184852374,RS,RS,RS,0.359375,1
0,790689227,6,9227,Absent,32,0,1,1,0,1,0,1,1,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,18,8,Unicorn_Absent,-1,-1.0,0,Unicorn_Absent,151,0.9125,1.0,RS,21,0.11904761904761904,33,0.007936507936507936,0.390625,0.328125,31.0,0.99375,0.22857142857142856,0.07219973009446692,RS,RS,RS,0.40625,1
0,790689227,7,9227,Absent,32,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,23,10,Unicorn_Absent,-1,-1.0,0,Unicorn_Absent,174,0.94375,14.0,RS,22,0.22857142857142856,44,0.03972125435540072,0.53125,0.35,18.0,0.9125,0.14285714285714285,0.007936507936507936,RS,RS,RS,0.328125,1
0,790689227,8,9227,Absent,32,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,1,1,25,7,Unicorn_Absent,-1,-1.0,0,Unicorn_Absent,199,0.95625,9.0,RS,18,0.14285714285714285,34,0.027355623100303955,0.421875,0.3888888888888889,23.0,0.94375,0.125,0.03972125435540072,RS,RS,RS,0.35,1
0,790689227,9,9227,Absent,32,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,23,7,Unicorn_Absent,-1,-1.0,0,Unicorn_Present,222,0.94375,7.0,RS,18,0.125,43,0.15406976744186046,0.5625,0.28205128205128205,25.0,0.95625,0.12121212121212122,0.027355623100303955,RS,RS,RS,0.3888888888888889,1
0,790689227,10,9227,Present,14,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,29,8,Unicorn_Present,3,5.0,0,Unicorn_Absent,251,0.98125,9.0,RS,19,0.12121212121212122,36,0.11791831357048749,0.4375,0.30952380952380953,23.0,0.94375,0.15789473684210525,0.15406976744186046,RS,RS,RS,0.28205128205128205,1
0,790689227,11,9227,Absent,32,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,1,1,0,0,1,0,1,0,1,1,0,1,0,24,9,Unicorn_Absent,-1,-1.0,0,Unicorn_Present,275,0.95,3.0,RS,25,0.15789473684210525,35,0.031294452347083945,0.40625,0.390625,29.0,0.98125,0.2727272727272727,0.11791831357048749,RS,RS,RS,0.30952380952380953,1
0,790689227,12,9227,Present,7,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,32,6,Unicorn_Present,4,3.0,0,Unicorn_Absent,307,1.0,8.0,RS,17,0.2727272727272727,37,0.012987012987012991,0.484375,0.265625,24.0,0.95,0.26666666666666666,0.031294452347083945,RS,RS,RS,0.390625,1
0,790689227,13,9227,Absent,32,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,1,1,1,0,1,1,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,24,8,Unicorn_Absent,-1,-1.0,0,Unicorn_Absent,331,0.95,0.0,RS,21,0.26666666666666666,38,0.022764227642276424,0.46875,0.328125,32.0,1.0,0.13513513513513514,0.012987012987012991,RS,RS,RS,0.265625,1
0,790689227,14,9227,Absent,32,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,1,1,1,0,1,1,1,23,8,Unicorn_Absent,-1,-1.0,0,Unicorn_Absent,354,0.94375,8.0,RS,21,0.13513513513513514,41,0.22383922383922383,0.515625,0.39473684210526316,24.0,0.95,0.23529411764705882,0.022764227642276424,RS,RS,RS,0.328125,1
0,790689227,15,9227,Absent,32,1,1,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,21,7,Unicorn_Absent,-1,-1.0,0,Unicorn_Absent,375,0.93125,9.0,RS,21,0.23529411764705882,31,0.019077901430842592,0.375,0.328125,23.0,0.94375,0.23684210526315788,0.22383922383922383,RS,RS,RS,0.39473684210526316,1
0,790689227,16,9227,Absent,32,0,0,1,0,0,1,1,0,1,0,0,0,1,1,0,1,1,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,21,8,Unicorn_Absent,-1,-1.0,0,Unicorn_Absent,396,0.93125,11.0,RS,26,0.23684210526315788,42,0.12873399715504977,0.53125,0.40625,21.0,0.93125,0.2826086956521739,0.019077901430842592,RS,RS,RS,0.328125,1
0,790689227,17,9227,Absent,32,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,1,1,22,12,Unicorn_Absent,-1,-1.0,0,Unicorn_Present,418,0.9375,11.0,RS,33,0.2826086956521739,42,0.12876254180602004,0.46875,0.515625,21.0,0.93125,0.4444444444444444,0.12873399715504977,RS,RS,RS,0.40625,1
0,790689227,18,9227,Present,9,0,1,1,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,0,0,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,1,1,1,1,30,11,Unicorn_Present,6,3.0,0,Unicorn_Absent,448,0.9875,10.0,RS,32,0.4444444444444444,41,0.23856209150326796,0.46875,0.5,22.0,0.9375,0.23255813953488372,0.12876254180602004,RS,RS,RS,0.515625,1
0,790689227,19,9227,Absent,32,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,24,10,Unicorn_Absent,-1,-1.0,0,Unicorn_Absent,472,0.95,2.0,RS,21,0.23255813953488372,37,0.010685103708359539,0.421875,0.35714285714285715,30.0,0.9875,0.2682926829268293,0.23856209150326796,RS,RS,RS,0.5,1
