index,Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,Score,Joint,Is_there,where_x,where_y,Strategy,Is_there_LEAD,Ac_Score,Norm_Score,Joint_LAG1,Category,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Similarity,Score_LAG1,Norm_Score_LAG1,Consistency_LEAD1,Dif_consist_LAG1,Category_LAG1,RegionGo,RegionGo2,Similarity_LAG1,Delta
0,502328428,1,8428,Present,14,1,0,0,1,1,0,0,1,0,1,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,1,0,0,1,0,1,0,0,0,26,10,Unicorn_Present,6,1.0,9,Unicorn_Absent,26,0.9625,,RS,23,,38,,0.4375,0.359375,,,0.21052631578947367,,,RS,RS,,1
0,502328428,2,8428,Absent,32,0,0,0,1,1,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,23,10,Unicorn_Absent,-1,-1.0,9,Unicorn_Present,49,0.94375,6.0,RS,23,0.21052631578947367,38,0.047735618115055056,0.4375,0.359375,26.0,0.9625,0.15,,RS,RS,RS,0.359375,1
0,502328428,3,8428,Absent,32,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,-77,9,Unicorn_Present,1,4.0,0,Unicorn_Present,-28,0.31875,9.0,RS,23,0.15,36,0.12027027027027029,0.421875,0.375,23.0,0.94375,0.19047619047619047,0.047735618115055056,RS,RS,RS,0.359375,1
0,502328428,4,8428,Absent,32,0,0,1,1,0,1,0,1,1,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,1,1,1,0,0,1,1,1,0,1,1,0,0,0,0,1,0,0,1,0,1,0,-72,11,Unicorn_Present,2,3.0,0,Unicorn_Present,-100,0.35,13.0,RS,27,0.19047619047619047,45,0.15162907268170428,0.53125,0.421875,-77.0,0.31875,0.225,0.12027027027027029,RS,RS,RS,0.375,1
0,502328428,5,8428,Present,9,0,1,0,1,1,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,30,7,Unicorn_Present,1,2.0,0,Unicorn_Present,-70,0.9875,8.0,RS,22,0.225,36,0.12635135135135137,0.453125,0.34375,-72.0,0.35,0.18421052631578946,0.15162907268170428,RS,RS,RS,0.421875,1
0,502328428,6,8428,Present,25,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,1,1,1,1,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,25,8,Unicorn_Present,0,4.0,0,Unicorn_Present,-45,0.95625,2.0,RS,23,0.18421052631578946,39,0.032005689900426765,0.484375,0.37209302325581395,30.0,0.9875,0.29411764705882354,0.12635135135135137,RS,RS,RS,0.34375,1
0,502328428,7,8428,Absent,32,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,1,1,1,0,0,0,0,0,1,0,-74,9,Unicorn_Present,2,5.0,0,Unicorn_Present,-119,0.3375,7.0,RS,21,0.29411764705882354,35,0.08898944193061842,0.40625,0.328125,25.0,0.95625,0.1891891891891892,0.032005689900426765,RS,RS,RS,0.37209302325581395,1
0,502328428,8,8428,Absent,32,0,0,1,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,1,-71,11,Unicorn_Present,3,3.0,0,Unicorn_Present,-190,0.35625,10.0,RS,23,0.1891891891891892,37,0.04633204633204635,0.40625,0.40476190476190477,-74.0,0.3375,0.10526315789473684,0.08898944193061842,RS,RS,RS,0.328125,1
0,502328428,9,8428,Present,4,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,1,0,1,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,31,5,Unicorn_Present,3,0.0,0,Unicorn_Present,-159,0.99375,7.0,RS,19,0.10526315789473684,33,0.08392603129445236,0.4375,0.296875,-71.0,0.35625,0.17073170731707318,0.04633204633204635,RS,RS,RS,0.40476190476190477,1
0,502328428,10,8428,Present,2,1,1,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,1,0,1,0,1,0,0,0,1,1,0,0,1,1,1,0,1,1,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,32,13,Unicorn_Present,2,2.0,0,Unicorn_Absent,-127,1.0,1.0,RS,29,0.17073170731707318,38,0.07169253510716925,0.390625,0.453125,31.0,0.99375,0.2564102564102564,0.08392603129445236,RS,RS,RS,0.296875,1
0,502328428,11,8428,Absent,32,0,0,1,0,1,0,0,1,0,0,0,1,1,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,1,0,21,9,Unicorn_Absent,-1,-1.0,0,Unicorn_Present,-106,0.93125,0.0,RS,20,0.2564102564102564,38,0.061288305190744186,0.453125,0.3125,32.0,1.0,0.1,0.07169253510716925,RS,RS,RS,0.453125,1
0,502328428,12,8428,Present,30,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,1,1,0,1,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,19,10,Unicorn_Present,5,2.0,0,Unicorn_Absent,-87,0.91875,11.0,RS,24,0.1,37,0.18205128205128204,0.421875,0.375,21.0,0.93125,0.21052631578947367,0.061288305190744186,RS,RS,RS,0.3125,1
0,502328428,13,8428,Absent,32,1,0,0,1,0,0,0,0,1,0,1,0,1,0,1,1,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,22,6,Unicorn_Absent,-1,-1.0,0,Unicorn_Absent,-65,0.9375,13.0,RS,22,0.21052631578947367,40,0.05974395448079661,0.53125,0.34375,19.0,0.91875,0.225,0.18205128205128204,RS,RS,RS,0.375,1
0,502328428,14,8428,Absent,32,0,1,1,0,0,0,0,1,1,1,0,0,1,1,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,20,12,Unicorn_Absent,-1,-1.0,0,Unicorn_Present,-45,0.925,10.0,RS,27,0.225,42,0.010714285714285732,0.46875,0.421875,22.0,0.9375,0.2391304347826087,0.05974395448079661,RS,RS,RS,0.34375,1
0,502328428,15,8428,Present,24,1,0,1,0,1,0,1,0,1,1,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,1,1,1,0,1,0,1,0,0,0,0,0,1,1,1,1,1,26,9,Unicorn_Present,5,5.0,0,Unicorn_Present,-19,0.9625,12.0,RS,30,0.2391304347826087,44,0.04865424430641824,0.546875,0.46875,20.0,0.925,0.26666666666666666,0.010714285714285732,RS,RS,RS,0.421875,1
0,502328428,16,8428,Present,16,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,1,1,0,0,0,1,1,1,0,1,0,1,1,0,1,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,26,7,Unicorn_Present,3,5.0,0,Unicorn_Absent,7,0.9625,6.0,RS,27,0.26666666666666666,41,0.04444444444444445,0.53125,0.421875,26.0,0.9625,0.34210526315789475,0.04865424430641824,RS,RS,RS,0.46875,1
0,502328428,17,8428,Absent,32,1,0,0,0,1,1,0,0,1,1,0,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,22,11,Unicorn_Absent,-1,-1.0,0,Unicorn_Absent,29,0.9375,6.0,RS,24,0.34210526315789475,37,0.15789473684210528,0.40625,0.375,26.0,0.9625,0.20512820512820512,0.04444444444444445,RS,RS,RS,0.421875,1
0,502328428,18,8428,Absent,32,1,0,0,0,1,1,0,1,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,1,1,0,1,0,0,1,0,0,15,8,Unicorn_Absent,-1,-1.0,0,Unicorn_Absent,44,0.89375,10.0,RS,23,0.20512820512820512,36,0.020917678812415658,0.4375,0.375,22.0,0.9375,0.2647058823529412,0.15789473684210528,RS,RS,RS,0.375,1
0,502328428,19,8428,Absent,32,0,0,0,1,0,1,0,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,1,0,0,0,1,1,0,22,8,Unicorn_Absent,-1,-1.0,0,Unicorn_Absent,66,0.9375,17.0,RS,20,0.2647058823529412,36,0.01470588235294118,0.4375,0.3125,15.0,0.89375,0.21052631578947367,0.020917678812415658,RS,RS,RS,0.375,1
0,502328428,20,8428,Absent,32,0,1,1,0,0,0,0,1,0,1,0,1,1,1,0,1,1,0,1,0,1,0,1,1,0,0,1,1,0,1,0,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,17,8,Unicorn_Absent,-1,-1.0,0,Unicorn_Present,83,0.90625,10.0,RS,26,0.21052631578947367,40,0.031039136302294185,0.5,0.40625,22.0,0.9375,0.2777777777777778,0.01470588235294118,RS,RS,RS,0.3125,1
0,502328428,21,8428,Present,27,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,1,0,26,9,Unicorn_Present,6,5.0,0,Unicorn_Present,109,0.9625,15.0,RS,20,0.2777777777777778,41,0.09595959595959597,0.5,0.3125,17.0,0.90625,0.20512820512820512,0.031039136302294185,RS,RS,RS,0.40625,1
