Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,Score,Joint,Is_there,where_x,where_y,Strategy,Is_there_LEAD,Ac_Score,Norm_Score,Joint_LAG1,Category,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Similarity,Score_LAG1,Norm_Score_LAG1,Consistency_LEAD1,Dif_consist_LAG1,Category_LAG1,RegionGo,RegionGo2,Similarity_LAG1
1397210209,1,13972,Present,38,0,1,1,1,1,0,0,0,1,1,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,1,0,1,1,1,1,0,0,1,0,1,1,1,1,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,19,13,Unicorn_Present,6,4.0,0,Unicorn_Absent,19,0.91875,,RS,31.0,,44.0,,0.484375,0.484375,,,0.3125,,,LEFT,IN,
1397210209,2,13972,Absent,32,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,29,3,Unicorn_Absent,-1,-1.0,5,Unicorn_Absent,48,0.98125,13,LEFT,32.0,0.3125,36.0,0.17456896551724138,0.515625,1.0,19.0,0.91875,0.36,,RS,IN,RS,0.484375
1397210209,3,13972,Absent,36,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,-4,36,Unicorn_Absent,-1,-1.0,7,Unicorn_Present,44,0.775,3,IN,36.0,0.36,64.0,0.250625,0.4375,1.0,29.0,0.98125,0.4,0.17456896551724138,LEFT,RS,IN,1.0
1397210209,4,13972,Absent,34,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,1,1,0,0,1,1,0,1,1,0,0,1,1,1,0,1,1,0,1,-73,9,Unicorn_Present,4,5.0,0,Unicorn_Present,-29,0.34375,36,RS,27.0,0.4,46.0,0.03749999999999998,0.578125,0.421875,-4.0,0.775,0.21621621621621623,0.250625,IN,IN,RS,1.0
1397210209,5,13972,Present,18,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,6,Unicorn_Present,6,3.0,7,Unicorn_Absent,-3,0.9625,9,IN,18.0,0.21621621621621623,29.0,0.10731319554848967,0.359375,0.5625,-73.0,0.34375,0.2631578947368421,0.03749999999999998,RS,RS,OUT,0.421875
1397210209,6,13972,Absent,42,1,1,1,0,0,0,1,0,0,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1,1,17,15,Unicorn_Absent,-1,-1.0,0,Unicorn_Present,14,0.90625,6,RS,30.0,0.2631578947368421,47.0,0.2680921052631579,0.5,0.46875,26.0,0.9625,0.0967741935483871,0.10731319554848967,IN,OUT,OUT,0.5625
1397210209,7,13972,Present,4,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Present,3,0.0,8,Unicorn_Present,46,1.0,15,OUT,4.0,0.0967741935483871,7.0,0.036168132942326486,0.109375,0.14285714285714285,17.0,0.90625,0.5,0.2680921052631579,RS,OUT,OUT,0.46875
1397210209,8,13972,Present,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Present,1,0.0,8,Unicorn_Absent,78,1.0,0,OUT,2.0,0.5,3.0,0.5,0.046875,0.07142857142857142,32.0,1.0,0.07142857142857142,0.036168132942326486,OUT,OUT,TOP,0.14285714285714285
1397210209,9,13972,Absent,28,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,18,14,Unicorn_Absent,-1,-1.0,8,Unicorn_Absent,96,0.9125,0,OUT,28.0,0.07142857142857142,46.0,0.07142857142857142,0.5,1.0,32.0,1.0,0.30434782608695654,0.5,OUT,TOP,LEFT,0.07142857142857142
1397210209,10,13972,Absent,32,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,9,Unicorn_Absent,-1,-1.0,4,Unicorn_Present,119,0.94375,14,TOP,32.0,0.30434782608695654,47.0,0.031620553359683834,0.59375,1.0,18.0,0.9125,0.47058823529411764,0.07142857142857142,OUT,LEFT,RS,1.0
