Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,Score,Joint,Is_there,where_x,where_y,Strategy,Is_there_LEAD,Ac_Score,Norm_Score,Joint_LAG1,Category,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Similarity,Score_LAG1,Norm_Score_LAG1,Consistency_LEAD1,Dif_consist_LAG1,Category_LAG1,RegionGo,RegionGo2,Similarity_LAG1
1159151883,1,115916,Absent,28,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,20,12,Unicorn_Absent,-1,-1.0,0,Unicorn_Absent,20,0.925,,RS,23.0,,42.0,,0.46875,0.359375,,,0.23684210526315788,,,RS,RS,
1159151883,2,115916,Absent,33,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,1,0,0,1,1,1,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,27,5,Unicorn_Absent,-1,-1.0,0,Unicorn_Present,47,0.96875,12,RS,24.0,0.23684210526315788,41.0,0.004283965728274164,0.5625,0.375,20.0,0.925,0.0625,,RS,RS,RS,0.359375
1159151883,3,115916,Present,11,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,31,1,Unicorn_Present,1,0.0,0,Unicorn_Present,78,0.99375,5,RS,10.0,0.0625,18.0,0.006465517241379309,0.265625,0.23529411764705882,27.0,0.96875,0.1935483870967742,0.004283965728274164,RS,RS,RS,0.375
1159151883,4,115916,Absent,34,0,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,1,1,0,1,1,0,0,0,1,0,-75,11,Unicorn_Present,0,4.0,0,Unicorn_Present,3,0.33125,1,RS,27.0,0.1935483870967742,43.0,0.10263929618768328,0.5,0.421875,31.0,0.99375,0.21875,0.006465517241379309,RS,RS,RS,0.23529411764705882
1159151883,5,115916,Present,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,27,5,Unicorn_Present,3,2.0,0,Unicorn_Absent,30,0.96875,11,RS,12.0,0.21875,33.0,0.10625000000000001,0.4375,0.2571428571428571,-75.0,0.33125,0.2,0.10263929618768328,RS,RS,RS,0.421875
1159151883,6,115916,Absent,41,1,1,0,1,1,1,0,0,1,0,0,0,0,1,0,1,1,1,1,0,1,1,0,0,1,1,1,0,1,1,0,0,1,1,0,1,0,0,1,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,15,17,Unicorn_Absent,-1,-1.0,0,Unicorn_Absent,45,0.89375,5,RS,30.0,0.2,45.0,0.18095238095238092,0.4375,0.46875,27.0,0.96875,0.23809523809523808,0.10625000000000001,RS,RS,RS,0.2571428571428571
1159151883,7,115916,Absent,27,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0,1,1,1,19,13,Unicorn_Absent,-1,-1.0,0,Unicorn_Absent,64,0.91875,17,RS,22.0,0.23809523809523808,37.0,0.013605442176870736,0.375,0.34375,15.0,0.89375,0.24390243902439024,0.18095238095238092,RS,RS,RS,0.46875
1159151883,8,115916,Absent,39,1,1,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,1,0,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,1,1,0,0,1,1,0,0,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1,17,15,Unicorn_Absent,-1,-1.0,0,Unicorn_Absent,81,0.90625,13,RS,29.0,0.24390243902439024,46.0,0.0060975609756097615,0.484375,0.453125,19.0,0.91875,0.3023255813953488,0.013605442176870736,RS,RS,NOTHING,0.34375
1159151883,9,115916,Absent,33,1,1,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,1,1,1,0,0,0,1,1,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,24,8,Unicorn_Absent,-1,-1.0,0,Unicorn_Present,105,0.95,15,RS,27.0,0.3023255813953488,39.0,0.034032898468519535,0.484375,0.421875,17.0,0.90625,0.0,0.0060975609756097615,RS,NOTHING,RIGHT,0.453125
1159151883,10,115916,Absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-64,0,Unicorn_Present,4,6.0,2,Unicorn_Present,41,0.4,8,NOTHING,0.0,0.0,24.0,0.2222222222222222,0.375,1.0,24.0,0.95,0.0,0.034032898468519535,RS,RIGHT,RS,0.421875
1159151883,11,115916,Present,4,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,3,Unicorn_Present,7,0.0,6,Unicorn_Present,70,0.98125,0,RIGHT,4.0,0.0,4.0,0.038461538461538464,0.015625,0.14285714285714285,-64.0,0.4,0.0625,0.2222222222222222,NOTHING,RS,NOTHING,1.0
1159151883,12,115916,Present,14,1,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,5,Unicorn_Present,0,6.0,0,Unicorn_Present,97,0.96875,3,RS,13.0,0.0625,21.0,0.0625,0.25,0.3235294117647059,29.0,0.98125,0.0,0.038461538461538464,RIGHT,NOTHING,RS,0.14285714285714285
1159151883,13,115916,Absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-64,0,Unicorn_Present,2,7.0,2,Unicorn_Absent,33,0.4,5,NOTHING,0.0,0.0,0.0,0.0,0.0,1.0,27.0,0.96875,0.0,0.0625,RS,RS,BOTTOM,0.3235294117647059
1159151883,14,115916,Absent,30,1,0,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,1,22,10,Unicorn_Absent,-1,-1.0,0,Unicorn_Absent,55,0.9375,0,RS,25.0,0.0,39.0,0.0,0.453125,0.390625,-64.0,0.4,0.29545454545454547,0.0,NOTHING,BOTTOM,IN,1.0
1159151883,15,115916,Absent,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,17,15,Unicorn_Absent,-1,-1.0,3,Unicorn_Absent,72,0.90625,10,BOTTOM,32.0,0.29545454545454547,52.0,0.045454545454545414,0.578125,1.0,22.0,0.9375,0.36,0.0,RS,IN,RS,0.390625
1159151883,16,115916,Absent,36,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,14,18,Unicorn_Absent,-1,-1.0,7,Unicorn_Present,86,0.8875,15,IN,36.0,0.36,50.0,0.06553191489361704,0.5,1.0,17.0,0.90625,0.19148936170212766,0.045454545454545414,BOTTOM,RS,RS,1.0
1159151883,17,115916,Absent,25,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,-71,7,Unicorn_Present,0,5.0,0,Unicorn_Present,15,0.35625,18,RS,20.0,0.19148936170212766,36.0,0.05851063829787234,0.453125,0.3333333333333333,14.0,0.8875,0.15151515151515152,0.06553191489361704,IN,RS,ALL,1.0
1159151883,18,115916,Present,22,0,1,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,1,25,7,Unicorn_Present,7,2.0,0,Unicorn_Absent,40,0.95625,7,RS,18.0,0.15151515151515152,35.0,0.0536130536130536,0.4375,0.28205128205128205,-71.0,0.35625,0.28125,0.05851063829787234,RS,ALL,RS,0.3333333333333333
1159151883,19,115916,Absent,64,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,32,Unicorn_Absent,-1,-1.0,1,Unicorn_Absent,40,0.8,7,ALL,64.0,0.28125,64.0,0.008522727272727293,0.5,1.0,25.0,0.95625,0.421875,0.0536130536130536,RS,RS,RS,0.28205128205128205
1159151883,20,115916,Absent,36,1,1,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,1,1,1,1,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,24,8,Unicorn_Absent,-1,-1.0,0,Unicorn_Present,64,0.95,32,RS,27.0,0.421875,44.0,0.2091090425531915,0.5625,0.421875,0.0,0.8,0.20930232558139536,0.008522727272727293,ALL,RS,RIGHT,1.0
1159151883,21,115916,Present,31,0,0,1,0,0,0,0,1,1,1,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,1,1,0,1,1,1,0,0,1,1,0,0,1,1,0,0,0,0,20,12,Unicorn_Present,6,7.0,0,Unicorn_Present,84,0.925,8,RS,25.0,0.20930232558139536,44.0,0.12403100775193796,0.5,0.390625,24.0,0.95,0.26666666666666666,0.2091090425531915,RS,RIGHT,OUT,0.421875
1159151883,22,115916,Absent,32,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,-74,10,Unicorn_Present,2,2.0,6,Unicorn_Present,10,0.3375,12,RIGHT,32.0,0.26666666666666666,43.0,0.0573643410852713,0.515625,1.0,20.0,0.925,0.0,0.12403100775193796,RS,OUT,OUT,0.390625
1159151883,23,115916,Present,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Present,2,0.0,8,Unicorn_Absent,42,1.0,10,OUT,3.0,0.0,5.0,0.045454545454545456,0.078125,0.10714285714285714,-74.0,0.3375,0.10714285714285714,0.0573643410852713,RIGHT,OUT,ALL,1.0
1159151883,24,115916,Absent,28,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,18,14,Unicorn_Absent,-1,-1.0,8,Unicorn_Present,60,0.9125,0,OUT,28.0,0.10714285714285714,46.0,0.04464285714285714,0.5,1.0,32.0,1.0,0.25,0.045454545454545456,OUT,ALL,ALL,0.10714285714285714
1159151883,25,115916,Present,7,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Present,2,6.0,1,Unicorn_Present,92,1.0,14,ALL,7.0,0.25,14.0,0.19594594594594594,0.21875,0.25,18.0,0.9125,0.30434782608695654,0.04464285714285714,OUT,ALL,LEFT,1.0
1159151883,26,115916,Present,23,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,6,Unicorn_Present,6,2.0,1,Unicorn_Absent,118,0.9625,0,ALL,23.0,0.30434782608695654,36.0,0.22101449275362323,0.46875,0.71875,32.0,1.0,0.27906976744186046,0.19594594594594594,ALL,LEFT,LEFT,0.25
1159151883,27,115916,Absent,32,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,32,0,Unicorn_Absent,-1,-1.0,5,Unicorn_Absent,150,1.0,6,LEFT,32.0,0.27906976744186046,32.0,0.27906976744186046,0.5,1.0,26.0,0.9625,1.0,0.22101449275362323,ALL,LEFT,LEFT,0.71875
1159151883,28,115916,Absent,32,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,32,0,Unicorn_Absent,-1,-1.0,5,Unicorn_Absent,182,1.0,0,LEFT,32.0,1.0,32.0,0.0,0.5,1.0,32.0,1.0,1.0,0.27906976744186046,LEFT,LEFT,LEFT,1.0
1159151883,29,115916,Absent,32,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,32,0,Unicorn_Absent,-1,-1.0,5,Unicorn_Present,214,1.0,0,LEFT,32.0,1.0,32.0,0.0,0.5,1.0,32.0,1.0,0.75,0.0,LEFT,LEFT,LEFT,1.0
1159151883,30,115916,Present,24,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Present,3,5.0,5,Unicorn_Present,246,1.0,0,LEFT,24.0,0.75,24.0,0.25,0.375,0.75,32.0,1.0,0.2916666666666667,0.0,LEFT,LEFT,LEFT,1.0
1159151883,31,115916,Present,7,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Present,2,1.0,5,Unicorn_Present,278,1.0,0,LEFT,7.0,0.2916666666666667,13.0,0.2916666666666667,0.203125,0.21875,32.0,1.0,0.21875,0.25,LEFT,LEFT,ALL,0.75
1159151883,32,115916,Absent,32,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,-74,10,Unicorn_Present,7,3.0,5,Unicorn_Absent,204,0.3375,0,LEFT,32.0,0.21875,43.0,0.09375,0.515625,1.0,32.0,1.0,0.5,0.2916666666666667,LEFT,ALL,ALL,0.21875
1159151883,33,115916,Absent,64,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,30,Unicorn_Absent,-1,-1.0,1,Unicorn_Present,206,0.8125,10,ALL,64.0,0.5,64.0,0.2857142857142857,0.53125,1.0,-74.0,0.3375,0.140625,0.09375,LEFT,ALL,RS,1.0
1159151883,34,115916,Present,9,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,2,Unicorn_Present,1,5.0,1,Unicorn_Present,236,0.9875,30,ALL,9.0,0.140625,16.0,0.05729166666666667,0.21875,0.32142857142857145,2.0,0.8125,0.09090909090909091,0.2857142857142857,ALL,RS,BOTTOM,1.0
1159151883,35,115916,Present,35,0,0,0,1,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,1,0,0,1,1,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,15,17,Unicorn_Present,2,7.0,0,Unicorn_Absent,251,0.89375,2,RS,27.0,0.09090909090909091,42.0,0.08051948051948052,0.390625,0.421875,30.0,0.9875,0.2826086956521739,0.05729166666666667,ALL,BOTTOM,RS,0.32142857142857145
1159151883,36,115916,Absent,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,22,10,Unicorn_Absent,-1,-1.0,3,Unicorn_Present,273,0.9375,17,BOTTOM,32.0,0.2826086956521739,46.0,0.019716885743174928,0.5625,1.0,15.0,0.89375,0.0,0.08051948051948052,RS,RS,IN,0.421875
1159151883,37,115916,Present,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Present,0,0.0,0,Unicorn_Present,305,1.0,10,RS,1.0,0.0,2.0,0.041666666666666664,0.03125,0.03571428571428571,22.0,0.9375,0.0,0.019716885743174928,BOTTOM,IN,IN,1.0
1159151883,38,115916,Present,29,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Present,5,5.0,7,Unicorn_Present,337,1.0,0,IN,29.0,0.0,57.0,0.03571428571428571,0.890625,0.8055555555555556,32.0,1.0,0.3448275862068966,0.041666666666666664,RS,IN,IN,0.03571428571428571
