Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,Score,Joint,Is_there,where_x,where_y,Strategy,Is_there_LEAD,Ac_Score,Norm_Score,Joint_LAG1,Category,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Similarity,Score_LAG1,Norm_Score_LAG1,Consistency_LEAD1,Dif_consist_LAG1,Category_LAG1,RegionGo,RegionGo2,Similarity_LAG1
1285743316,1,43316,Absent,39,0,0,0,0,1,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,1,1,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,-77,13,Unicorn_Present,7,2.0,9,Unicorn_Present,-77,0.31875,,RS,26.0,,44.0,,0.484375,0.40625,,,0.0,,,RS,IN,
1285743316,2,43316,Present,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Present,3,1.0,9,Unicorn_Present,-45,1.0,13,RS,2.0,0.0,5.0,0.030303030303030304,0.078125,0.05555555555555555,-77.0,0.31875,0.06666666666666667,,RS,IN,OUT,0.40625
1285743316,3,43316,Present,30,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,30,Unicorn_Present,1,6.0,7,Unicorn_Present,-43,0.8125,0,IN,30.0,0.06666666666666667,31.0,0.03010752688172043,0.015625,0.8333333333333334,32.0,1.0,0.0,0.030303030303030304,RS,OUT,NOTHING,0.05555555555555555
1285743316,4,43316,Absent,28,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,-64,0,Unicorn_Present,5,2.0,8,Unicorn_Present,-107,0.4,30,OUT,28.0,0.0,32.0,0.09375,0.5,1.0,2.0,0.8125,0.0,0.03010752688172043,IN,NOTHING,NOTHING,0.8333333333333334
1285743316,5,43316,Present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Present,7,5.0,2,Unicorn_Absent,-75,1.0,0,NOTHING,0.0,0.0,24.0,0.07692307692307693,0.375,1.0,-64.0,0.4,1.0,0.09375,OUT,NOTHING,NOTHING,1.0
1285743316,6,43316,Absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1,2,Unicorn_Present,-43,1.0,0,NOTHING,0.0,1.0,32.0,0.25,0.5,1.0,32.0,1.0,1.0,0.07692307692307693,NOTHING,NOTHING,RS,1.0
1285743316,7,43316,Absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-64,0,Unicorn_Present,1,4.0,2,Unicorn_Present,-107,0.4,0,NOTHING,0.0,1.0,32.0,0.0,0.5,1.0,32.0,1.0,0.0,0.25,NOTHING,RS,RIGHT,1.0
1285743316,8,43316,Present,24,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,1,1,0,1,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,24,8,Unicorn_Present,1,7.0,9,Unicorn_Absent,-83,0.95,0,RS,21.0,0.0,34.0,0.2926829268292683,0.40625,0.358974358974359,-64.0,0.4,0.15217391304347827,0.0,NOTHING,RIGHT,RS,1.0
1285743316,9,43316,Absent,32,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,18,14,Unicorn_Absent,-1,-1,6,Unicorn_Absent,-65,0.9125,8,RIGHT,32.0,0.15217391304347827,46.0,0.01263902932254804,0.5,1.0,24.0,0.95,0.35555555555555557,0.2926829268292683,RS,RS,RS,0.358974358974359
1285743316,10,43316,Absent,35,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,1,0,1,1,1,1,1,0,1,0,1,0,1,0,0,1,0,1,0,1,1,0,1,1,1,0,1,0,0,0,0,1,1,0,1,30,2,Unicorn_Absent,-1,-1,9,Unicorn_Absent,-35,0.9875,14,RS,29.0,0.35555555555555557,37.0,0.23790849673202616,0.546875,0.453125,18.0,0.9125,0.24528301886792453,0.01263902932254804,RIGHT,RS,ALL,1.0
