"Dyad","Model","wA","wN","wL","wI","alpha","beta","gamma","delta","epsilon","zeta","dev"
"140-615","MBiases","0.0330631335310118","0.0991350155837619","4.32737319311371e-10","0.119999999446459","0","0","0","0","0","0",76.4353527623761
"140-615","WSLS","0","0.12","4.412950205257e-09","0.0600608425996813","999.999742017953","999.999962131122","13.6131853273784","0","0","0",25.0355966803853
"140-615","FRA","0.000164774564428978","0.0470446936861034","1.26045597725954e-05","0.0318599602736747","999.765469684044","999.012069971335","13.9912868376163","0.145677870164229","999.4263698685","0.760599593445443",23.3601742547226
"142-263","MBiases","0","1.33226762955019e-17","0","0","0","0","0","0","0","0",0
"142-263","WSLS","8.00925992194834e-12","8.95116875621049e-08","1.90777457958591e-06","0","999.999994007552","999.000030548724","31.1686442715877","0","0","0",0.0527841675640393
"142-263","FRA","8.11601185280475e-05","1.72127567683145e-05","5.82648450819789e-09","1.78247096382922e-07","971.514681829947","999.998801991409","31.1240712206265","998.634961251609","999.994084339557","0.999697666420943",0.0527841675640393
"151-962","MBiases","0","0","0","0","0","0","0","0","0","0",0
"151-962","WSLS","6.07694316268059e-07","1.78779892889835e-07","1.80443810066278e-05","3.23998749383048e-07","999.840854864039","999.998678399203","31.9980677541182","0","0","0",0.0415875259595461
"151-962","FRA","9.33660236388745e-06","2.53223308988026e-11","3.6248683854545e-08","3.54185373395488e-06","999.882456969972","999.997739597146","31.9796750128021","969.140780786665","999.976706323482","0.998411725240656",0.0415875259595461
"152-727","MBiases","0.119999996866213","0.0225546077911147","0","0","0","0","0","0","0","0",26.5212790538427
"152-727","WSLS","0.119999804874399","0.0225591204131577","3.38558010160028e-08","9.99659311594536e-05","757.633006820972","999.280203760145","31.9926197500772","0","0","0",26.5493454106864
"152-727","FRA","0.119999927750544","0.022581983315615","8.43200842481906e-12","3.12104209143627e-10","954.26069058559","999.999999999826","31.9999999985661","0.334853000654167","999.000000142289","0.999999999999982",25.625070777939
"216-713","MBiases","0.12","0","0","0","0","0","0","0","0","0",80.1507860765864
"216-713","WSLS","0.119999830365257","0.000100027875330526","0.000100003541345153","0.000100010902153289","996.234973200844","999.948988322162","3.37522646133118","0","0","0",80.1588019565485
"216-713","FRA","0.119999450866303","9.99622008577661e-05","2.86135886903804e-05","0.000100028518093369","937.515555186056","999.002657643141","15.0181957413031","0.0471195803437019","999.989864458591","0.996379773593419",79.9250637527089
"251-716","MBiases","0.0832938637376665","8.8479938176178e-09","6.06847905260111e-15","4.50060855250456e-11","0","0","0","0","0","0",3.44203202632277
"251-716","WSLS","0.0832261621781266","3.0227147714168e-05","1.82553464880053e-06","8.52969816809246e-05","857.104671395598","999.989117729407","31.444815439273","0","0","0",3.45043123988207
"251-716","FRA","0.0833833396925987","4.82291186453709e-06","1.76807541274471e-08","1.95635161417407e-07","999.997453024765","999.991321337006","31.9999030536899","0","999.595636140452","0.999999998537504",3.45042910222487
"261-970","MBiases","0.12","0.12","0","0","0","0","0","0","0","0",57.4728091656444
"261-970","WSLS","0.119999140020287","0.11999746488181","6.59006182957e-14","0.000100003426846416","3.39799644904604","999.001618416667","4.25479256699992","0","0","0",39.1800645876497
"261-970","FRA","0.119999682446702","0.119993948852359","8.88115827546443e-10","9.99195056313984e-05","2.47722215518387e-05","999.004867251089","30.9566962832921","5.59058819559266","999.053675371629","0.999999981136396",37.7605673190991
"269-653","MBiases","0.119999995158445","0.0927011366426711","4.61497148496193e-09","0","0","0","0","0","0","0",36.0337337618623
"269-653","WSLS","0.119999207785682","0.0713907439925387","4.65896094370422e-09","4.7637080946572e-10","999.569859138814","999.997411498776","31.7526514518637","0","0","0",33.560074036821
