index,Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,Score,Joint,Is_there,where_x,where_y,Strategy,Is_there_LEAD,Ac_Score,Norm_Score,Joint_LAG1,Category,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Similarity,Score_LAG1,Norm_Score_LAG1,Consistency_LEAD1,Dif_consist_LAG1,Category_LAG1,RegionGo,RegionGo2,Similarity_LAG1
0,973396298,1,6298,Present,15,1,1,0,0,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,1,1,27,12,Unicorn_Present,0,5.0,9,Unicorn_Present,27,0.96875,,RS,27,,38,,0.40625,0.421875,,,0.37142857142857144,,,RS,RS,
0,973396298,2,6298,Present,14,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,1,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,1,0,0,0,27,9,Unicorn_Present,4,1.0,9,Unicorn_Absent,54,0.96875,5.0,RS,21,0.37142857142857144,39,0.15191637630662022,0.46875,0.328125,27.0,0.96875,0.125,,RS,RS,RS,0.421875
0,973396298,3,6298,Absent,32,0,0,1,1,0,1,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,1,1,0,19,6,Unicorn_Absent,-1,-1.0,9,Unicorn_Absent,73,0.91875,5.0,RS,24,0.125,36,0.09121621621621623,0.46875,0.375,27.0,0.96875,0.3333333333333333,0.15191637630662022,RS,RS,ALL,0.328125
0,973396298,4,6298,Absent,32,1,1,1,1,0,0,1,1,0,0,1,1,0,0,0,1,0,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,1,1,0,11,28,Unicorn_Absent,-1,-1.0,0,Unicorn_Present,84,0.86875,13.0,RS,28,0.3333333333333333,64,0.052083333333333315,0.5625,0.4375,19.0,0.91875,0.4375,0.09121621621621623,RS,ALL,ALL,0.375
0,973396298,5,6298,Present,38,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,64,Unicorn_Present,7,4.0,1,Unicorn_Present,93,0.85625,21.0,ALL,64,0.4375,64,0.5625,0.0,1.0,11.0,0.86875,1.0,0.052083333333333315,RS,ALL,ALL,0.4375
0,973396298,6,6298,Present,46,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,64,Unicorn_Present,7,5.0,1,Unicorn_Present,101,0.85,23.0,ALL,64,1.0,64,0.0,0.0,1.0,9.0,0.85625,1.0,0.5625,ALL,ALL,ALL,1.0
0,973396298,7,6298,Present,41,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,64,Unicorn_Present,3,5.0,1,Unicorn_Absent,105,0.825,24.0,ALL,64,1.0,64,0.0,0.0,1.0,8.0,0.85,1.0,0.0,ALL,ALL,NOTHING,1.0
0,973396298,8,6298,Absent,62,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-7,64,Unicorn_Absent,-1,-1.0,1,Unicorn_Absent,98,0.75625,28.0,ALL,64,1.0,64,0.0,0.0,1.0,4.0,0.825,0.0,0.0,ALL,NOTHING,RS,1.0
0,973396298,9,6298,Absent,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1.0,2,Unicorn_Present,130,1.0,39.0,NOTHING,0,0.0,0,0.0,0.0,1.0,-7.0,0.75625,0.0,0.0,ALL,RS,RS,1.0
0,973396298,10,6298,Present,9,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,31,11,Unicorn_Present,0,1.0,0,Unicorn_Absent,161,0.99375,0.0,RS,23,0.0,38,0.0,0.421875,0.359375,32.0,1.0,0.32432432432432434,0.0,NOTHING,RS,RS,1.0
