index,Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,Score,Joint,Is_there,where_x,where_y,Strategy,Is_there_LEAD,Ac_Score,Norm_Score,Joint_LAG1,Category,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Similarity,Score_LAG1,Norm_Score_LAG1,Consistency_LEAD1,Dif_consist_LAG1,Category_LAG1,RegionGo,RegionGo2,Similarity_LAG1
0,1004739415,1,100472,Present,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,32,0,Unicorn_Present,6,7.0,"[62, 51, 12, 0, 4, 34, 55, 14, 11, 47, 36, 55, 46, 6, 62, 12, 20, 29, 55, 26, 0, 49, 8, 55, 55, 8, 13, 10, 59, 50, 10, 27, 8, 50, 8, 11, 23, 44, 57, 31, 1, 7, 2, 36, 55, 5, 31, 40, 44, 58]",Unicorn_Present,32,1.0,,,1,,1,,0.015625,1,,,0.030303030303030304,,,,,
0,1004739415,2,100472,Absent,50,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,1,0,1,1,1,0,0,0,1,0,1,1,1,0,0,1,0,-70,6,Unicorn_Present,4,7.0,"[62, 51, 12, 0, 4, 34, 55, 14, 11, 47, 36, 55, 46, 6, 62, 12, 20, 29, 55, 26, 0, 49, 8, 55, 55, 8, 13, 10, 59, 50, 10, 27, 8, 50, 8, 11, 23, 44, 57, 31, 1, 7, 2, 36, 55, 5, 31, 40, 44, 58]",Unicorn_Present,-38,0.3625,0.0,,33,0.030303030303030304,37,0.030303030303030304,0.484375,27,32.0,1.0,0.21212121212121213,,,,,1.0
0,1004739415,3,100472,Present,7,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,31,1,Unicorn_Present,7,2.0,"[62, 51, 12, 0, 4, 34, 55, 14, 11, 47, 36, 55, 46, 6, 62, 12, 20, 29, 55, 26, 0, 49, 8, 55, 55, 8, 13, 10, 59, 50, 10, 27, 8, 50, 8, 11, 23, 44, 57, 31, 1, 7, 2, 36, 55, 5, 31, 40, 44, 58]",Unicorn_Present,-7,0.99375,6.0,,7,0.21212121212121213,12,0.3878787878787878,0.171875,7,-70.0,0.3625,1.0,0.030303030303030304,,,,27.0
0,1004739415,4,100472,Present,7,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,31,1,Unicorn_Present,7,2.0,"[62, 51, 12, 0, 4, 34, 55, 14, 11, 47, 36, 55, 46, 6, 62, 12, 20, 29, 55, 26, 0, 49, 8, 55, 55, 8, 13, 10, 59, 50, 10, 27, 8, 50, 8, 11, 23, 44, 57, 31, 1, 7, 2, 36, 55, 5, 31, 40, 44, 58]",Unicorn_Present,24,0.99375,1.0,,7,1.0,12,0.0,0.171875,7,31.0,0.99375,0.3684210526315789,0.3878787878787878,,,,7.0
0,1004739415,5,100472,Present,27,1,0,0,0,1,0,1,0,1,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,29,3,Unicorn_Present,5,1.0,"[62, 51, 12, 0, 4, 34, 55, 14, 11, 47, 36, 55, 46, 6, 62, 12, 20, 29, 55, 26, 0, 49, 8, 55, 55, 8, 13, 10, 59, 50, 10, 27, 8, 50, 8, 11, 23, 44, 57, 31, 1, 7, 2, 36, 55, 5, 31, 40, 44, 58]",Unicorn_Absent,53,0.98125,1.0,,19,0.3684210526315789,26,0.23157894736842105,0.359375,19,31.0,0.99375,0.5757575757575758,0.0,,,,7.0
0,1004739415,6,100472,Absent,50,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,1,0,1,1,1,0,0,0,1,0,1,1,1,0,0,1,0,26,6,Unicorn_Absent,-1,-1.0,"[62, 51, 12, 0, 4, 34, 55, 14, 11, 47, 36, 55, 46, 6, 62, 12, 20, 29, 55, 26, 0, 49, 8, 55, 55, 8, 13, 10, 59, 50, 10, 27, 8, 50, 8, 11, 23, 44, 57, 31, 1, 7, 2, 36, 55, 5, 31, 40, 44, 58]",Unicorn_Absent,79,0.9625,3.0,,33,0.5757575757575758,37,0.4242424242424242,0.484375,27,29.0,0.98125,0.3877551020408163,0.23157894736842105,,,,19.0
0,1004739415,7,100472,Absent,35,1,1,1,0,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,1,1,1,1,0,1,0,0,1,1,0,1,1,0,1,0,1,1,1,1,0,0,0,1,1,1,0,0,-3,35,Unicorn_Absent,-1,-1.0,"[0, 1, 2, 4, 5, 6, 7, 8, 9, 10, 13, 17, 19, 23, 27, 28, 29, 33, 36, 37, 38, 39, 41, 44, 45, 47, 48, 50, 52, 53, 54, 55, 59, 60, 61]",Unicorn_Present,76,0.78125,6.0,,35,0.3877551020408163,64,0.2315051020408163,0.453125,25,26.0,0.9625,0.36,0.4242424242424242,,,,27.0
0,1004739415,8,100472,Absent,33,0,0,1,1,0,1,0,1,0,1,1,0,0,1,0,1,1,0,1,0,0,0,1,1,0,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,-82,18,Unicorn_Present,0,3.0,"[2, 3, 5, 7, 9, 10, 13, 15, 16, 18, 22, 23, 25, 26, 28, 30, 31, 32, 33, 34, 35, 37, 39, 40, 41, 42, 43, 44, 45, 47, 53, 54, 59]",Unicorn_Absent,-6,0.2875,35.0,,33,0.36,47,0.14,0.453125,29,-3.0,0.78125,1.0,0.2315051020408163,,,,25.0
0,1004739415,9,100472,Absent,33,0,0,1,1,0,1,0,1,0,1,1,0,0,1,0,1,1,0,1,0,0,0,1,1,0,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,14,18,Unicorn_Absent,-1,-1.0,"[2, 3, 5, 7, 9, 10, 13, 15, 16, 18, 22, 23, 25, 26, 28, 30, 31, 32, 33, 34, 35, 37, 39, 40, 41, 42, 43, 44, 45, 47, 53, 54, 59]",Unicorn_Present,8,0.8875,18.0,,33,1.0,47,0.0,0.453125,29,-82.0,0.2875,0.48,0.14,,,,29.0
0,1004739415,10,100472,Absent,41,0,0,0,1,0,1,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,1,1,1,1,1,0,1,0,1,0,0,0,1,-83,19,Unicorn_Present,0,0.0,"[3, 5, 7, 8, 9, 10, 12, 13, 15, 16, 17, 18, 19, 20, 21, 25, 27, 28, 29, 31, 32, 35, 36, 37, 38, 39, 40, 41, 42, 44, 45, 48, 49, 51, 52, 53, 54, 55, 57, 59, 63]",Unicorn_Absent,-75,0.28125,18.0,,41,0.48,52,0.1608510638297872,0.515625,23,14.0,0.8875,1.0,0.0,,,,29.0
