index,Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,Score,Joint,Is_there,where_x,where_y,Strategy,Is_there_LEAD,Ac_Score,Norm_Score,Joint_LAG1,Category,indice,Cambio,avScGrpUniPresent,avScGrpUniPresent_LEAD,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Score_LAG1,Norm_Score_LAG1,Consistency_LAG1,Dif_consist_LAG1,Category_LAG1,RegionGo,RegionGo2
2.0,624315581,3,6243,Absent,36.0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,14.0,18,Unicorn_Absent,-1,-1.0,7,Unicorn_Absent,70.0,0.8875,8.0,IN,2,0,14.0,28.0,36,,50,,0.5,,,,,,RS,RS
3.0,624315581,4,6243,Absent,28.0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,1,1,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,28.0,4,Unicorn_Absent,-1,-1.0,0,Unicorn_Present,98.0,0.975,18.0,RS,3,0,28.0,-21.0,22,0.28888888888888886,36,0.03888888888888886,0.5,14.0,0.8875,,,IN,RS,RS
5.0,624315581,5,6243,Absent,10.0,1,1,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,1,0,1,1,1,0,0,1,1,1,0,1,1,0,1,0,1,0,1,0,0,1,0,1,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,1,1,1,1,0,1,-21.0,20,Unicorn_Absent,-1,-1.0,0,Unicorn_Absent,45.0,1.0,2.0,RS,4,0,-21.0,-21.0,35,0.2391304347826087,48,0.08003952569169961,0.4375,28.0,0.975,0.28888888888888886,0.03888888888888886,RS,RS,RS
6.0,624315581,7,6243,Absent,25.0,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,1,1,1,1,0,0,0,1,1,0,0,32.0,0,Unicorn_Absent,-1,-1.0,0,Unicorn_Absent,88.0,1.0,10.0,RS,7,0,32.0,32.0,22,0.1875,22,0.1875,0.34375,-21.0,1.0,0.2391304347826087,0.08003952569169961,RS,RS,IN
7.0,624315581,8,6243,Absent,29.0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,1,0,0,1,1,1,1,1,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,32.0,0,Unicorn_Absent,-1,-1.0,0,Unicorn_Present,120.0,1.0,0.0,RS,8,0,32.0,32.0,25,0.20512820512820512,25,0.7948717948717949,0.390625,32.0,1.0,0.1875,0.1875,RS,IN,IN
8.0,624315581,9,6243,Absent,19.0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,32.0,0,Unicorn_Absent,-1,-1.0,7,Unicorn_Absent,152.0,1.0,0.0,IN,9,0,32.0,32.0,36,0.2978723404255319,36,0.7021276595744681,0.5625,32.0,1.0,0.20512820512820512,0.7948717948717949,RS,IN,IN
9.0,624315581,10,6243,Absent,36.0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,32.0,0,Unicorn_Absent,-1,-1.0,7,Unicorn_Absent,184.0,1.0,0.0,IN,11,0,32.0,32.0,36,1.0,36,0.0,0.5625,32.0,1.0,0.2978723404255319,0.7021276595744681,IN,IN,RS
10.0,624315581,11,6243,Absent,36.0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,-16.0,0,Unicorn_Absent,-1,-1.0,7,Unicorn_Present,216.0,1.0,0.0,IN,12,0,32.0,-16.0,36,1.0,36,0.0,0.5625,32.0,1.0,1.0,0.0,IN,RS,RS
12.0,624315581,12,6243,Absent,20.0,0,1,1,1,0,1,1,0,1,0,0,1,1,1,0,1,1,0,1,0,0,1,1,1,0,0,1,0,0,0,0,1,1,1,0,0,1,1,1,0,1,1,0,1,1,1,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,1,-16.0,18,Unicorn_Absent,-1,-1.0,0,Unicorn_Absent,168.0,1.0,0.0,RS,13,0,-16.0,-16.0,33,0.35294117647058826,52,0.35294117647058826,0.53125,-16.0,1.0,1.0,0.0,IN,RS,RS
13.0,624315581,14,6243,Absent,25.0,0,0,0,1,1,1,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,24.0,8,Unicorn_Absent,-1,-1.0,0,Unicorn_Present,207.0,0.95,1.0,RS,16,0,24.0,29.0,21,0.17391304347826086,28,0.035389282103134495,0.3125,-16.0,1.0,0.35294117647058826,0.35294117647058826,RS,RS,ALL
