index,Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,b11,b12,b13,b14,b15,b16,b17,b18,b21,b22,b23,b24,b25,b26,b27,b28,b31,b32,b33,b34,b35,b36,b37,b38,b41,b42,b43,b44,b45,b46,b47,b48,b51,b52,b53,b54,b55,b56,b57,b58,b61,b62,b63,b64,b65,b66,b67,b68,b71,b72,b73,b74,b75,b76,b77,b78,b81,b82,b83,b84,b85,b86,b87,b88,Score,Joint,Is_there,where_x,where_y,Is_there_LEAD,Category,indice,Cambio,avScGrpUniPresent,avScGrpUniPresent_LEAD,Ac_Score,Norm_Score,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Similarity,Norm_Score_LAG1,Consistency_LAG1,Dif_consist_LAG1,Joint_LAG1,RegionGo,Similarity_LAG1
1204,313-199,5,313-199PL1,Absent,63430,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18,17,16,46,53,54,55,56,50,44,51,52,24,25,40,0,49,43,12,23,22,37,38,39,48,42,41,2,21,35,36,13,47,33,34,3,20,27,26,60,8,28,29,30,19,61,10,59,7,63,11,1,32,45,58,14,6,4,5,62,31,9,57,15,0,32,Unicorn_Absent,-1,-1,Unicorn_Present,ALL,1204,0,16.557488653555218,-96.0,-96,0.8,63,0.96875,63,0.03125,0.484375,0.3011942119122021,,,,,ALL,
1206,313-199,7,313-199PL1,Absent,40425,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,18,60,61,62,30,64,21,22,19,59,29,17,63,20,52,51,58,10,9,6,4,3,49,50,57,11,8,7,5,48,13,35,31,45,32,47,46,33,28,34,56,44,43,27,1,2,12,53,39,38,42,37,36,14,55,0,25,24,23,26,16,15,40,41,-31,63,Unicorn_Absent,-1,-1,Unicorn_Present,ALL,1206,0,16.557488653555218,-27.0,-127,0.60625,63,0.96875,64,0.46875,0.015625,0.3011942119122021,0.8,0.96875,0.03125,32.0,RS,0.3011942119122021
1209,313-199,10,313-199PL1,Present,8650,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,3,4,0,0,0,0,0,0,6,5,0,0,0,0,8,0,0,0,0,0,0,0,0,10,0,9,0,0,11,0,16,0,0,0,0,0,0,12,13,14,15,0,0,0,-65,1,Unicorn_Absent,-1,-1,Unicorn_Present,RS,1209,0,16.557488653555218,-41.333333333333336,-192,0.39375,15,0.2380952380952381,17,0.19122023809523808,0.25,0.009584768880023008,0.60625,0.96875,0.46875,63.0,RS,0.3011942119122021
1213,313-199,14,313-199PL1,Present,15543,0,0,1,1,1,0,0,0,1,1,1,0,1,0,1,0,1,0,1,0,1,1,0,0,0,0,1,1,1,0,1,1,1,1,0,0,1,1,0,0,1,0,1,0,1,1,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,36,34,33,0,0,0,22,37,21,0,20,0,32,0,23,0,9,0,38,30,0,0,0,0,10,7,6,0,39,28,11,12,0,0,18,45,0,0,26,0,4,0,15,46,27,43,0,0,0,0,0,47,0,0,24,0,0,1,0,0,40,41,-64,0,Unicorn_Absent,-1,-1,Unicorn_Absent,RS,1213,0,16.557488653555218,16.557488653555218,-256,0.4,32,0.175,32,0.175,0.5,0.001398058640491551,0.39375,0.2380952380952381,0.19122023809523808,1.0,RS,0.009584768880023008
1214,313-199,15,313-199PL1,Absent,14960,0,0,0,1,0,1,0,0,1,1,1,1,1,0,0,0,1,1,1,0,1,1,0,0,0,1,0,1,1,1,1,0,0,1,1,0,1,0,1,0,1,1,0,1,1,1,1,0,0,1,0,1,1,1,0,1,1,1,1,1,0,1,1,0,0,0,0,35,0,8,0,0,22,21,7,34,6,0,0,0,23,20,49,0,32,37,0,0,0,47,0,4,31,10,38,0,0,18,3,0,30,0,11,0,24,46,0,2,40,51,39,0,0,16,0,1,41,27,0,12,25,45,14,43,0,42,13,0,32,0,Unicorn_Absent,-1,-1,Unicorn_Absent,RS,1214,0,16.557488653555218,16.557488653555218,-224,1.0,38,0.4583333333333333,38,0.5416666666666667,0.59375,0.003593966140484057,0.4,0.175,0.175,0.0,RS,0.001398058640491551
1215,313-199,16,313-199PL1,Present,20967,1,1,1,0,1,0,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,0,1,1,1,1,1,58,56,26,0,55,0,54,53,0,12,59,28,29,24,0,52,0,14,60,20,61,62,23,51,0,39,10,19,63,64,65,66,0,40,0,9,70,2,6,67,44,43,74,16,71,69,50,68,45,46,73,0,72,21,0,33,0,47,0,36,48,35,49,34,-110,46,Unicorn_Absent,-1,-1,Unicorn_Absent,RS,1215,0,16.557488653555218,16.557488653555218,-334,0.1125,52,0.5,59,0.5,0.203125,0.015655672960895994,1.0,0.4583333333333333,0.5416666666666667,0.0,RS,0.003593966140484057
1216,313-199,17,313-199PL1,Present,27582,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,80,68,49,79,78,51,76,0,69,48,34,67,65,64,30,75,70,16,35,0,18,0,29,0,47,15,57,8,56,19,55,63,71,60,58,9,7,40,41,27,45,14,38,39,11,20,25,26,44,13,3,12,4,61,62,24,73,43,42,74,2,21,22,23,-65,1,Unicorn_Absent,-1,-1,Unicorn_Present,RS,1216,0,16.557488653555218,-16.5,-399,0.39375,60,0.75,60,0.75,0.921875,0.09071795328941253,0.1125,0.5,0.5,46.0,RS,0.015655672960895994
1219,313-199,20,313-199PL1,Absent,17645,0,1,1,0,0,1,1,0,0,1,1,1,1,0,1,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,0,56,55,0,0,52,51,0,0,57,10,54,53,0,50,0,0,39,40,41,5,6,0,49,38,12,11,4,0,42,7,47,58,36,0,3,16,18,43,46,0,32,34,2,15,20,19,45,0,31,1,14,0,21,22,0,30,29,27,26,25,24,0,23,20,12,Unicorn_Absent,-1,-1,Unicorn_Present,RS,1219,0,16.557488653555218,32.0,-379,0.925,48,0.7142857142857143,52,0.6517857142857143,0.625,0.00822974704902003,0.39375,0.75,0.75,1.0,RS,0.09071795328941253
1221,313-199,22,313-199PL1,Absent,8714,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,8,6,5,0,0,0,0,0,0,0,10,0,11,0,0,0,0,3,4,0,12,0,0,0,0,0,0,0,0,0,0,17,16,15,0,14,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-16,0,Unicorn_Absent,-1,-1,Unicorn_Present,RS,1221,0,16.557488653555218,-16.0,-395,0.7,14,0.21568627450980396,14,0.21568627450980396,0.21875,0.011220768761929843,0.925,0.7142857142857143,0.6517857142857143,12.0,RS,0.00822974704902003
1224,313-199,25,313-199PL1,Present,3132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,4,0,0,0,0,-64,0,Unicorn_Absent,-1,-1,Unicorn_Absent,RS,1224,0,16.557488653555218,16.557488653555218,-459,0.4,4,0.05882352941176471,4,0.9411764705882352,0.0625,0.09071795328941253,0.7,0.21568627450980396,0.21568627450980396,0.0,RS,0.011220768761929843
1225,313-199,26,313-199PL1,Absent,2478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,32,0,Unicorn_Absent,-1,-1,Unicorn_Absent,RS,1225,0,16.557488653555218,16.557488653555218,-427,1.0,3,0.16666666666666666,3,0.8333333333333334,0.046875,0.12512263168945895,0.4,0.05882352941176471,0.9411764705882352,0.0,NOTHING,0.09071795328941253
1226,313-199,27,313-199PL1,Present,1376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-64,0,Unicorn_Absent,-1,-1,Unicorn_Present,NOTHING,1226,0,16.557488653555218,-64.0,-491,0.4,0,0.0,0,1.0,0.0,1.0,1.0,0.16666666666666666,0.8333333333333334,0.0,RS,0.12512263168945895
