index,Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,b11,b12,b13,b14,b15,b16,b17,b18,b21,b22,b23,b24,b25,b26,b27,b28,b31,b32,b33,b34,b35,b36,b37,b38,b41,b42,b43,b44,b45,b46,b47,b48,b51,b52,b53,b54,b55,b56,b57,b58,b61,b62,b63,b64,b65,b66,b67,b68,b71,b72,b73,b74,b75,b76,b77,b78,b81,b82,b83,b84,b85,b86,b87,b88,Score,Joint,Is_there,where_x,where_y,Is_there_LEAD,Category,indice,Cambio,avScGrpUniPresent,avScGrpUniPresent_LEAD,Ac_Score,Norm_Score,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Similarity,Norm_Score_LAG1,Consistency_LAG1,Dif_consist_LAG1,Joint_LAG1,RegionGo,RegionGo2,Similarity_LAG1
1622,354-344,3,354-344PL2,Absent,35677,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,27,28,26,25,24,0,18,17,30,29,34,22,23,0,19,0,31,32,33,21,20,0,0,0,15,14,5,4,2,8,9,12,16,13,6,1,3,7,10,11,0,44,40,41,39,0,0,0,0,43,42,37,38,36,35,50,0,45,46,47,48,0,0,49,-3,35,Unicorn_Absent,-1,-1,Unicorn_Present,RS,1622,0,16.557488653555218,20.0,-15,0.78125,50,0.75,64,0.17372881355932202,0.453125,0.011220768761929843,,,,,RS,RS,
1624,354-344,5,354-344PL2,Absent,35231,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,37,40,41,31,32,30,29,28,38,39,42,34,33,55,56,57,43,44,0,35,36,54,49,50,0,45,46,3,2,53,52,51,0,47,48,4,1,5,6,0,0,0,13,19,18,26,12,0,24,25,14,15,17,10,11,27,23,22,21,20,16,9,8,7,1,31,Unicorn_Absent,-1,-1,Unicorn_Absent,RS,1624,0,16.557488653555218,16.557488653555218,-14,0.80625,57,0.7258064516129032,60,0.3424731182795699,0.453125,0.04179821794405796,0.78125,0.75,0.17372881355932202,35.0,RS,RS,0.011220768761929843
1625,354-344,6,354-344PL2,Absent,30100,1,0,0,1,0,0,1,1,0,1,0,1,1,1,0,1,1,1,1,0,1,1,0,1,0,1,0,1,1,0,0,1,1,1,0,0,1,0,0,1,1,1,0,1,1,1,0,1,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,1,14,0,0,29,0,0,28,27,0,15,0,30,31,32,0,26,39,38,16,0,34,33,0,25,0,37,0,17,35,0,0,24,40,36,0,0,18,0,0,23,41,42,0,1,2,19,0,22,12,13,11,0,0,0,20,21,9,8,7,0,5,6,4,3,16,16,Unicorn_Absent,-1,-1,Unicorn_Absent,RS,1625,0,16.557488653555218,16.557488653555218,2,0.9,41,0.5555555555555556,46,0.3599033816425121,0.46875,0.003166913489668913,0.80625,0.7258064516129032,0.3424731182795699,31.0,RS,RS,0.04179821794405796
1626,354-344,7,354-344PL2,Absent,26856,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,1,1,0,1,1,0,0,1,1,0,1,0,1,0,1,1,0,1,0,0,0,1,0,0,1,0,1,1,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,19,20,21,0,22,0,0,23,33,0,0,0,0,0,0,24,32,29,28,0,26,27,0,0,34,30,0,1,0,5,0,25,35,0,2,0,0,0,6,0,0,36,0,3,4,0,7,8,17,18,0,0,0,0,0,0,15,16,13,12,14,11,10,9,4,28,Unicorn_Absent,-1,-1,Unicorn_Present,RS,1626,0,16.557488653555218,-82.0,6,0.825,35,0.4901960784313725,55,0.11019607843137252,0.421875,0.004090488681861962,0.9,0.5555555555555556,0.3599033816425121,16.0,RS,RS,0.003166913489668913
1628,354-344,9,354-344PL2,Absent,28289,0,0,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,16,15,23,24,46,45,0,0,14,17,22,47,0,44,52,0,13,18,21,0,43,42,0,53,12,19,20,26,40,41,0,48,11,4,3,27,39,38,0,0,10,5,2,28,36,37,49,0,9,6,1,29,35,34,51,50,8,7,31,30,32,33,-1,33,Unicorn_Absent,-1,-1,Unicorn_Absent,RS,1628,0,16.557488653555218,16.557488653555218,5,0.79375,52,0.4262295081967213,64,0.20534943917169973,0.484375,0.015655672960895994,0.825,0.4901960784313725,0.11019607843137252,28.0,RS,RS,0.004090488681861962
1629,354-344,10,354-344PL2,Absent,22077,0,0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,1,0,1,1,0,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,0,0,34,0,35,0,36,37,0,38,0,0,33,0,32,0,8,9,0,10,0,0,0,0,0,7,6,11,0,29,30,31,0,28,27,5,12,13,14,15,0,0,0,0,4,0,3,16,0,25,26,19,0,18,0,17,24,0,23,20,22,21,1,2,9,23,Unicorn_Absent,-1,-1,Unicorn_Present,RS,1629,0,16.557488653555218,-92.0,14,0.85625,38,0.6071428571428571,55,0.003369272237196741,0.5,0.002201044152781217,0.79375,0.4262295081967213,0.20534943917169973,33.0,RS,RS,0.015655672960895994
1631,354-344,12,354-344PL2,Absent,29753,1,0,1,1,0,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,1,1,1,1,1,0,1,1,0,1,1,0,1,1,0,1,35,0,34,33,0,32,36,31,0,22,23,0,49,50,0,30,48,47,24,25,26,27,28,0,0,20,0,19,18,0,17,0,46,6,5,2,16,15,37,14,0,7,4,3,1,0,0,0,44,9,10,11,12,0,13,38,0,43,42,0,41,40,0,39,-14,46,Unicorn_Absent,-1,-1,Unicorn_Present,RS,1631,0,16.557488653555218,31.0,0,0.7125,46,0.4736842105263158,64,0.15131578947368424,0.28125,0.0061508264471411885,0.85625,0.6071428571428571,0.003369272237196741,23.0,RS,RS,0.002201044152781217
1634,354-344,15,354-344PL2,Absent,26977,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,0,1,0,0,0,1,1,1,1,0,1,1,0,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,13,12,0,48,49,52,51,50,11,14,10,0,9,0,8,0,47,46,45,0,44,0,0,0,19,20,15,6,0,43,7,0,18,17,40,41,0,42,0,38,24,0,25,5,4,32,33,37,0,21,0,2,3,35,31,34,23,22,26,1,27,36,28,29,-5,37,Unicorn_Absent,-1,-1,Unicorn_Absent,RS,1634,0,16.557488653555218,16.557488653555218,-5,0.76875,49,0.5573770491803278,63,0.23949795081967215,0.40625,0.009584768880023008,0.7125,0.4736842105263158,0.15131578947368424,46.0,RS,RS,0.0061508264471411885
1635,354-344,16,354-344PL2,Absent,23869,1,1,0,1,1,0,1,1,1,1,1,1,0,0,1,1,0,1,1,0,1,0,1,0,0,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,1,29,38,0,37,36,0,35,34,40,41,30,31,0,0,32,33,0,39,42,0,28,0,27,0,0,23,0,24,0,25,0,26,22,19,20,18,1,12,13,14,0,21,4,3,2,17,16,15,0,0,5,6,0,0,11,0,0,0,0,7,0,8,0,9,-1,33,Unicorn_Absent,-1,-1,Unicorn_Present,RS,1635,0,16.557488653555218,21.66666666666667,-6,0.79375,41,0.5789473684210527,59,0.06621392190152797,0.40625,0.003166913489668913,0.76875,0.5573770491803278,0.23949795081967215,37.0,RS,RS,0.009584768880023008
1639,354-344,20,354-344PL2,Absent,20272,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,34,0,0,33,0,32,31,0,0,0,0,0,0,0,30,0,0,35,0,0,0,0,0,36,0,0,26,27,28,0,29,0,0,0,25,19,2,1,16,17,9,18,24,20,3,4,15,13,12,11,23,21,22,5,6,14,7,8,16,16,Unicorn_Absent,-1,-1,Unicorn_Present,RS,1639,0,16.557488653555218,30.0,10,0.9,35,0.4074074074074074,64,0.11640211640211645,0.75,0.01868657834410481,0.79375,0.5789473684210527,0.06621392190152797,33.0,RS,DOWN,0.003166913489668913
