index,Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,b11,b12,b13,b14,b15,b16,b17,b18,b21,b22,b23,b24,b25,b26,b27,b28,b31,b32,b33,b34,b35,b36,b37,b38,b41,b42,b43,b44,b45,b46,b47,b48,b51,b52,b53,b54,b55,b56,b57,b58,b61,b62,b63,b64,b65,b66,b67,b68,b71,b72,b73,b74,b75,b76,b77,b78,b81,b82,b83,b84,b85,b86,b87,b88,Score,Joint,Is_there,where_x,where_y,Is_there_LEAD,Category,indice,Cambio,avScGrpUniPresent,avScGrpUniPresent_LEAD,Ac_Score,Norm_Score,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Similarity,Norm_Score_LAG1,Consistency_LAG1,Dif_consist_LAG1,Joint_LAG1,RegionGo,RegionGo2,Similarity_LAG1
5162,947-704,3,947-704PL1,Absent,22478,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,17,18,41,40,42,64,63,1,16,19,38,39,43,61,62,3,15,20,37,36,44,60,59,4,14,21,22,35,45,52,57,5,13,24,23,34,46,51,58,6,12,25,26,33,47,53,54,7,10,28,27,32,48,50,55,8,11,9,29,31,30,49,56,17,15,Unicorn_Absent,-1,-1,Unicorn_Absent,ALL,5162,0,16.557488653555218,16.557488653555218,25,0.90625,64,1.0,64,0.78125,0.765625,1.0,,,,,ALL,ALL,
5163,947-704,4,947-704PL1,Absent,22467,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,17,32,33,49,50,65,2,15,18,31,34,48,51,64,3,14,19,30,37,47,52,63,4,13,20,29,38,46,53,62,5,12,21,28,36,45,54,61,6,11,22,27,41,44,55,60,7,10,23,26,39,43,56,59,8,9,24,25,40,42,57,58,16,16,Unicorn_Absent,-1,-1,Unicorn_Present,ALL,5163,0,16.557488653555218,24.0,41,0.9,64,1.0,64,0.8076923076923077,0.75,1.0,0.90625,1.0,0.78125,15.0,ALL,ALL,1.0
5166,947-704,7,947-704PL1,Absent,21353,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,17,32,33,48,49,64,3,15,18,31,34,47,50,63,4,2,19,30,35,46,51,62,5,14,20,29,36,45,52,61,6,13,21,28,37,43,60,65,7,12,22,27,38,44,58,59,8,11,23,26,39,42,54,57,9,10,24,25,40,41,55,56,3,29,Unicorn_Absent,-1,-1,Unicorn_Absent,ALL,5166,0,16.557488653555218,16.557488653555218,44,0.81875,64,1.0,64,0.7837837837837838,0.546875,1.0,0.9,1.0,0.8076923076923077,16.0,ALL,ALL,1.0
5167,947-704,8,947-704PL1,Absent,24678,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,49,46,45,61,29,24,9,8,50,47,44,60,25,28,10,11,2,42,41,58,26,33,13,12,7,39,40,59,32,31,14,15,48,38,37,36,35,34,17,16,4,57,56,67,62,68,18,19,5,51,55,66,63,69,21,20,6,53,54,65,64,70,22,23,-20,52,Unicorn_Absent,-1,-1,Unicorn_Absent,ALL,5167,0,16.557488653555218,16.557488653555218,24,0.675,64,1.0,64,0.4716981132075472,0.1875,1.0,0.81875,1.0,0.7837837837837838,29.0,ALL,RS,1.0
5168,947-704,9,947-704PL1,Absent,23010,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,8,7,9,12,72,71,2,3,5,6,10,11,69,70,13,14,31,32,46,68,67,73,15,16,30,47,45,49,64,65,17,18,48,34,43,51,62,63,21,20,28,35,42,55,56,61,23,22,27,37,41,53,57,60,24,25,26,38,40,54,58,59,-21,53,Unicorn_Absent,-1,-1,Unicorn_Present,ALL,5168,0,16.557488653555218,-27.0,3,0.66875,64,1.0,64,0.30645161290322576,0.171875,1.0,0.675,1.0,0.4716981132075472,52.0,RS,RS,1.0
5171,947-704,12,947-704PL1,Absent,20451,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,1,0,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,1,1,1,1,1,0,0,0,1,9,17,33,0,0,0,0,2,10,18,25,0,0,0,0,3,11,19,26,0,0,0,0,4,13,20,27,0,34,0,0,5,12,21,29,36,0,0,0,6,14,22,30,37,35,0,0,7,15,23,31,0,0,0,0,8,16,24,32,38,0,0,0,16,16,Unicorn_Absent,-1,-1,Unicorn_Absent,RS,5171,0,16.557488653555218,16.557488653555218,19,0.9,37,0.578125,54,0.1204978813559322,0.59375,0.06833852792409179,0.66875,1.0,0.30645161290322576,53.0,RS,RS,1.0
5172,947-704,13,947-704PL1,Absent,22764,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,0,1,1,1,1,1,0,0,0,1,1,1,1,1,0,0,0,1,1,1,1,1,0,0,0,1,1,1,1,1,0,0,0,1,11,14,35,36,44,0,0,10,12,13,28,37,45,0,0,3,16,15,29,38,46,0,0,4,17,18,30,39,0,0,0,9,19,20,31,40,0,0,0,6,21,22,32,41,0,0,0,7,23,24,33,42,0,0,0,8,25,26,34,43,0,0,0,12,20,Unicorn_Absent,-1,-1,Unicorn_Present,RS,5172,0,16.557488653555218,-11.666666666666664,31,0.875,43,0.7777777777777778,60,0.34920634920634924,0.625,0.01868657834410481,0.9,0.578125,0.1204978813559322,16.0,RS,RS,0.06833852792409179
5176,947-704,17,947-704PL1,Absent,18887,1,1,1,1,1,0,0,0,1,1,1,1,1,0,0,0,1,1,1,1,1,0,0,0,1,1,1,1,1,0,0,0,1,1,1,1,1,0,0,0,1,1,1,1,1,0,0,0,1,1,1,1,1,0,0,0,1,1,1,1,1,0,0,0,1,12,20,32,43,0,0,0,10,52,21,33,44,0,0,0,9,13,23,34,46,0,0,0,11,14,24,36,47,0,0,0,4,15,26,37,48,0,0,0,5,16,27,39,49,0,0,0,6,17,28,41,50,0,0,0,8,19,30,42,51,0,0,0,15,17,Unicorn_Absent,-1,-1,Unicorn_Present,RS,5176,0,16.557488653555218,30.0,46,0.89375,40,0.9302325581395348,63,0.3902325581395349,0.71875,0.03357033295880646,0.875,0.7777777777777778,0.34920634920634924,20.0,RS,RS,0.01868657834410481
5178,947-704,19,947-704PL1,Absent,19787,1,1,1,1,0,0,0,0,1,1,1,1,0,1,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,1,0,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,1,10,22,30,0,0,0,0,2,11,23,31,0,44,0,0,3,21,24,32,0,0,0,0,9,19,29,38,0,0,0,0,4,20,25,34,0,42,0,43,5,15,26,35,0,0,0,0,7,16,27,39,0,0,0,0,8,18,28,37,0,0,40,41,14,18,Unicorn_Absent,-1,-1,Unicorn_Present,RS,5178,0,16.557488653555218,18.666666666666668,60,0.8875,37,0.7111111111111111,61,0.10326797385620924,0.671875,0.06833852792409179,0.89375,0.9302325581395348,0.3902325581395349,17.0,RS,RS,0.03357033295880646
5182,947-704,23,947-704PL1,Absent,23012,1,1,1,0,0,1,0,0,1,1,0,0,0,1,1,0,1,1,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,55,0,0,43,0,0,2,12,0,0,0,42,54,0,16,15,0,0,0,40,53,51,3,11,0,44,45,46,47,48,4,10,0,50,38,39,37,49,5,18,19,22,25,28,31,34,6,17,20,23,26,29,32,35,7,8,21,24,27,30,33,36,8,24,Unicorn_Absent,-1,-1,Unicorn_Absent,RS,5182,0,16.557488653555218,16.557488653555218,68,0.85,51,0.5172413793103449,64,0.10652709359605916,0.625,0.013211580405391629,0.8875,0.7111111111111111,0.10326797385620924,18.0,RS,RS,0.06833852792409179
