index,Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,Score,Joint,Is_there,where_x,where_y,Strategy,Ac_Score,Norm_Score,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Category,Category1,Similarity,Norm_Score_LAG1,Consistency_LAG1,Dif_consist_LAG1,Joint_LAG1,Similarity_LAG1
3240,10657275,1,106507,Absent,40,1,1,0,0,1,0,0,1,1,1,0,0,1,0,0,1,1,0,1,0,1,1,0,0,0,1,0,0,1,0,0,1,0,1,1,0,1,1,0,0,0,1,0,0,0,1,0,1,1,1,0,0,1,0,0,1,0,0,1,1,0,0,1,1,15,17,Unicorn_Absent,-1,-1.0,0,15,0.89375,30.0,1.0,51.0,0.0,0.53125,RS,RS,0.005034190088132767,,,,,
3242,10657275,2,106507,Absent,38,1,0,1,0,1,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,1,0,1,0,0,1,1,0,1,1,0,0,0,1,0,1,0,1,1,1,0,1,1,0,1,0,0,0,1,1,30,2,Unicorn_Absent,-1,-1.0,0,45,0.9875,29.0,0.3409090909090909,36.0,0.0,0.53125,RS,RS,0.006737946999085467,0.89375,1.0,0.0,17,0.005034190088132767
3244,10657275,3,106507,Absent,38,1,0,1,0,1,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,1,0,1,0,0,1,1,0,1,1,0,0,0,1,0,1,0,1,1,1,0,1,1,0,1,0,0,0,1,1,30,2,Unicorn_Absent,-1,-1.0,0,75,0.9875,29.0,1.0,36.0,0.19456762749445675,0.53125,RS,RS,0.006737946999085467,0.9875,0.3409090909090909,0.0,2,0.006737946999085467
3252,10657275,7,106507,Absent,21,1,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,24,8,Unicorn_Absent,-1,-1.0,0,99,0.95,21.0,0.25,49.0,0.19456762749445675,0.640625,RS,RS,0.010228516799093708,0.9875,1.0,0.19456762749445675,2,0.006737946999085467
3260,10657275,11,106507,Absent,9,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,24,8,Unicorn_Absent,-1,-1.0,0,123,0.95,8.0,0.07407407407407407,37.0,0.0,0.453125,RS,RS,0.059105746561956225,0.95,0.25,0.19456762749445675,8,0.010228516799093708
3262,10657275,12,106507,Absent,24,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,25,7,Unicorn_Absent,-1,-1.0,0,148,0.95625,21.0,0.03571428571428571,46.0,0.0,0.609375,RS,RS,0.010228516799093708,0.95,0.07407407407407407,0.0,8,0.059105746561956225
3266,10657275,14,106507,Absent,59,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,1,1,1,1,0,1,0,1,0,1,1,0,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,13,19,Unicorn_Absent,-1,-1.0,0,161,0.88125,40.0,0.24489795918367346,57.0,0.1524390243902439,0.59375,RS,RS,0.007454186295369829,0.95625,0.03571428571428571,0.0,7,0.010228516799093708
3270,10657275,16,106507,Absent,54,1,0,1,0,1,1,0,0,0,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,1,1,0,1,0,1,1,0,1,1,1,0,0,1,0,1,1,0,0,1,11,21,Unicorn_Absent,-1,-1.0,0,172,0.86875,35.0,0.41509433962264153,50.0,0.1524390243902439,0.453125,RS,RS,0.005537830714382473,0.88125,0.24489795918367346,0.1524390243902439,19,0.007454186295369829
3276,10657275,19,106507,Absent,32,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,14,18,Unicorn_Absent,-1,-1.0,6,186,0.8875,32.0,0.425531914893617,50.0,0.4467592592592593,0.5,RIGHT,RIGHT,1.0,0.86875,0.41509433962264153,0.1524390243902439,21,0.005537830714382473
3278,10657275,20,106507,Absent,32,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,14,18,Unicorn_Absent,-1,-1.0,6,200,0.8875,32.0,1.0,50.0,0.4467592592592593,0.5,RIGHT,RIGHT,1.0,0.8875,0.425531914893617,0.4467592592592593,18,1.0
