Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,Score,Joint,Is_there,where_x,where_y,Strategy,Is_there_LEAD,Ac_Score,Norm_Score,Joint_LAG1,Category,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Similarity,Score_LAG1,Norm_Score_LAG1,Consistency_LEAD1,Dif_consist_LAG1,Category_LAG1,RegionGo,RegionGo2,Similarity_LAG1
1018535615,1,101852,Absent,26,0,1,1,0,0,0,1,1,1,0,1,1,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,1,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,22,12,Unicorn_Absent,-1,-1.0,0,Unicorn_Absent,22,0.9375,,RS,26,,42,,0.46875,0.40625,,,0.40625,,,ALL,RIGHT,
1018535615,2,101852,Absent,64,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-28,32,Unicorn_Absent,-1,-1.0,1,Unicorn_Present,-6,0.625,10,ALL,64,0.40625,64,0.10190217391304346,0.5,1.0,22.0,0.9375,0.5,,RS,RIGHT,RIGHT,0.40625
1018535615,3,101852,Present,4,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,32,18,Unicorn_Present,4,1.0,6,Unicorn_Absent,26,1.0,60,RIGHT,32,0.5,50,0.14,0.5,1.0,-28.0,0.625,1.0,0.10190217391304346,ALL,RIGHT,OUT,1.0
1018535615,4,101852,Absent,40,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,18,Unicorn_Absent,-1,-1.0,6,Unicorn_Absent,26,0.8,0,RIGHT,32,1.0,50,0.0,0.5,1.0,32.0,1.0,0.30434782608695654,0.14,RIGHT,OUT,OUT,1.0
1018535615,5,101852,Absent,36,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,11,14,Unicorn_Absent,-1,-1.0,8,Unicorn_Absent,37,0.86875,32,OUT,28,0.30434782608695654,46,0.055652173913043446,0.5,1.0,0.0,0.8,1.0,0.0,RIGHT,OUT,OUT,1.0
1018535615,6,101852,Absent,36,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,11,14,Unicorn_Absent,-1,-1.0,8,Unicorn_Absent,48,0.86875,21,OUT,28,1.0,46,0.0,0.5,1.0,11.0,0.86875,1.0,0.055652173913043446,OUT,OUT,OUT,1.0
1018535615,7,101852,Absent,36,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,11,14,Unicorn_Absent,-1,-1.0,8,Unicorn_Absent,59,0.86875,21,OUT,28,1.0,46,0.0,0.5,1.0,11.0,0.86875,1.0,0.0,OUT,OUT,OUT,1.0
1018535615,8,101852,Absent,36,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,11,14,Unicorn_Absent,-1,-1.0,8,Unicorn_Absent,70,0.86875,21,OUT,28,1.0,46,0.0,0.5,1.0,11.0,0.86875,1.0,0.0,OUT,OUT,OUT,1.0
1018535615,9,101852,Absent,36,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,11,14,Unicorn_Absent,-1,-1.0,8,Unicorn_Absent,81,0.86875,21,OUT,28,1.0,46,0.0,0.5,1.0,11.0,0.86875,1.0,0.0,OUT,OUT,OUT,1.0
1018535615,10,101852,Absent,36,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,11,14,Unicorn_Absent,-1,-1.0,8,Unicorn_Absent,92,0.86875,21,OUT,28,1.0,46,0.0,0.5,1.0,11.0,0.86875,1.0,0.0,OUT,OUT,OUT,1.0
