level_0,index,Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,Score,Joint,Is_there,where_x,where_y,Strategy,Ac_Score,Norm_Score,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Category,Distancias,Norm_Score_LAG1,Consistency_LAG1,Dif_consist_LAG1,Joint_LAG1,Distancias_LAG1
1742,3480,10917957,1,109138,Absent,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1.0,0,32,1.0,2.0,1.0,5.0,0.0,0.078125,RS,0.5488116360940265,,,,,
1744,3482,10917957,2,109138,Absent,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1.0,0,64,1.0,2.0,1.0,5.0,0.0,0.078125,RS,0.5488116360940265,1.0,1.0,0.0,0,0.5488116360940265
1746,3484,10917957,3,109138,Absent,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1.0,0,96,1.0,2.0,1.0,5.0,0.0,0.078125,RS,0.5488116360940265,1.0,1.0,0.0,0,0.5488116360940265
1748,3486,10917957,4,109138,Absent,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1.0,0,128,1.0,2.0,1.0,5.0,0.0,0.078125,RS,0.5488116360940265,1.0,1.0,0.0,0,0.5488116360940265
1750,3490,10917957,6,109138,Absent,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,1,Unicorn_Absent,-1,-1.0,0,95,0.99375,2.0,0.0,26.0,0.0,0.390625,RS,0.5488116360940265,1.0,1.0,0.0,0,0.5488116360940265
1752,3494,10917957,8,109138,Absent,12,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,22,10,Unicorn_Absent,-1,-1.0,0,52,0.9375,12.0,0.07692307692307693,37.0,0.0,0.421875,RS,0.32546601999734803,0.99375,0.0,0.0,1,0.5488116360940265
1754,3498,10917957,10,109138,Absent,36,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,24,8,Unicorn_Absent,-1,-1.0,7,108,0.95,36.0,0.2,39.0,0.0,0.484375,IN,0.15734346296411772,0.9375,0.07692307692307693,0.0,10,0.32546601999734803
1756,3504,10917957,13,109138,Absent,32,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,14,Unicorn_Absent,-1,-1.0,4,76,0.9125,32.0,0.36,46.0,0.0,0.5,UP,0.18818508442027443,0.95,0.2,0.0,8,0.15734346296411772
1758,3508,10917957,15,109138,Absent,32,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,16,16,Unicorn_Absent,-1,-1.0,6,118,0.9,32.0,0.3333333333333333,48.0,0.037037037037037035,0.5,RIGHT,0.17389813739634405,0.9125,0.36,0.0,14,0.18818508442027443
1760,3512,10917957,17,109138,Absent,14,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,26,6,Unicorn_Absent,-1,-1.0,0,171,0.9625,14.0,0.21052631578947367,40.0,0.037037037037037035,0.53125,RS,0.30119421191220214,0.9,0.3333333333333333,0.037037037037037035,16,0.17389813739634405
