Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,Score,Joint,Is_there,where_x,where_y,Strategy,Is_there_LEAD,Ac_Score,Norm_Score,Joint_LAG1,Category,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Score_LAG1,Norm_Score_LAG1,Consistency_LAG1,Dif_consist_LAG1,Category_LAG1,RegionGo,RegionGo2
1139074080,1,11390,Absent,54,1,1,1,0,0,0,1,1,0,1,0,1,0,1,1,0,1,1,1,0,1,0,0,0,1,1,1,1,1,0,1,1,1,1,0,0,1,0,1,1,0,0,1,0,1,0,0,1,0,1,0,1,1,0,1,1,0,1,0,0,0,1,0,0,-80,20,Unicorn_Present,1,3.0,0,Unicorn_Present,-80,0.3,,RS,35,,49,,0.453125,,,,,,RS,RS
1139074080,2,11390,Absent,41,0,1,1,1,0,1,0,1,1,0,1,1,1,0,1,0,1,1,0,1,0,1,0,1,1,1,1,1,0,0,1,0,1,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,1,1,1,1,0,0,0,-81,15,Unicorn_Present,6,5.0,0,Unicorn_Absent,-161,0.29375,16.0,RS,34,0.35294117647058826,47,0.033792240300375476,0.5,-80.0,0.3,,,RS,RS,RS
1139074080,3,11390,Absent,45,1,0,1,1,1,1,1,0,0,1,1,0,1,1,1,0,0,0,0,1,1,0,1,0,1,0,1,1,1,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,1,1,13,18,Unicorn_Absent,-1,-1.0,0,Unicorn_Absent,-148,0.88125,17.0,RS,32,0.29411764705882354,49,0.00840336134453784,0.484375,-81.0,0.29375,0.35294117647058826,0.033792240300375476,RS,RS,RS
1139074080,4,11390,Absent,45,0,1,1,0,1,0,1,1,0,0,1,0,1,1,1,0,1,1,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,1,1,1,1,0,1,0,1,1,1,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,1,16,20,Unicorn_Absent,-1,-1.0,0,Unicorn_Absent,-132,0.9,19.0,RS,33,0.3,46,0.06,0.40625,13.0,0.88125,0.29411764705882354,0.00840336134453784,RS,RS,RS
1139074080,5,11390,Absent,54,1,1,0,1,1,1,1,1,0,0,1,1,1,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,0,1,0,0,0,1,1,0,0,0,1,0,1,1,0,1,7,16,Unicorn_Absent,-1,-1.0,0,Unicorn_Present,-125,0.84375,16.0,RS,36,0.46808510638297873,53,0.09308510638297873,0.578125,16.0,0.9,0.3,0.06,RS,RS,RS
1139074080,6,11390,Present,5,0,0,0,1,1,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,1,0,1,1,1,0,0,0,1,1,0,1,1,1,1,0,1,0,0,1,1,0,0,0,1,1,1,0,1,1,0,0,0,1,0,1,1,1,32,15,Unicorn_Present,3,2.0,0,Unicorn_Present,-93,1.0,25.0,RS,32,0.25925925925925924,46,0.08856682769726248,0.484375,7.0,0.84375,0.46808510638297873,0.09308510638297873,RS,RS,RS
1139074080,7,11390,Present,26,1,1,1,1,0,0,0,1,1,0,0,1,1,1,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,1,1,1,0,1,0,0,1,1,0,0,1,0,0,25,16,Unicorn_Present,3,2.0,0,Unicorn_Present,-68,0.95625,0.0,RS,29,0.2708333333333333,47,0.041666666666666685,0.484375,32.0,1.0,0.25925925925925924,0.08856682769726248,RS,RS,RS
1139074080,8,11390,Present,3,1,0,0,0,1,1,1,0,0,1,0,0,0,1,1,1,0,1,0,1,1,0,0,1,0,0,1,1,1,1,0,1,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,1,0,1,0,1,1,1,1,0,1,1,32,21,Unicorn_Present,6,7.0,0,Unicorn_Present,-36,1.0,7.0,RS,33,0.21568627450980393,55,0.210239651416122,0.53125,25.0,0.95625,0.2708333333333333,0.041666666666666685,RS,RS,RS
1139074080,9,11390,Present,5,0,0,1,1,1,0,0,1,1,0,1,1,0,0,1,1,0,1,0,1,1,1,1,0,0,0,1,0,0,1,1,0,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,1,0,1,1,0,0,1,31,15,Unicorn_Present,4,1.0,0,Unicorn_Present,-5,0.99375,0.0,RS,31,0.3617021276595745,55,0.12920696324951642,0.625,32.0,1.0,0.21568627450980393,0.210239651416122,RS,RS,RS
1139074080,10,11390,Present,24,0,1,1,1,0,1,1,0,0,1,0,0,1,1,0,0,0,1,0,0,1,1,1,0,1,1,0,1,1,0,0,1,1,1,1,0,0,1,0,0,0,1,0,0,1,0,1,1,0,1,1,1,1,1,0,0,0,1,1,1,0,0,1,0,23,19,Unicorn_Present,2,4.0,0,Unicorn_Absent,18,0.94375,1.0,RS,34,0.25,52,0.1839622641509434,0.515625,31.0,0.99375,0.3617021276595745,0.12920696324951642,RS,RS,RS
