Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,Score,Joint,Is_there,where_x,where_y,Strategy,Is_there_LEAD,Ac_Score,Norm_Score,Joint_LAG1,Category,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Score_LAG1,Norm_Score_LAG1,Consistency_LAG1,Dif_consist_LAG1,Category_LAG1,RegionGo,RegionGo2
441196724,1,6724,Present,15,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,1,0,0,0,1,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,31,11,Unicorn_Present,6,3.0,9,Unicorn_Present,31,0.99375,,RS,23,,35,,0.375,,,,,,RS,RS
441196724,2,6724,Present,10,0,0,1,0,1,1,0,1,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,1,1,0,1,1,1,0,1,31,16,Unicorn_Present,2,7.0,9,Unicorn_Absent,62,0.99375,1.0,RS,33,0.3023255813953488,42,0.23565891472868217,0.40625,31.0,0.99375,,,RS,RS,RS
441196724,3,6724,Absent,27,0,1,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,1,1,1,0,1,0,0,0,1,26,10,Unicorn_Absent,-1,-1.0,9,Unicorn_Absent,88,0.9625,1.0,RS,26,0.3409090909090909,41,0.025119617224880375,0.484375,31.0,0.99375,0.3023255813953488,0.23565891472868217,RS,RS,UP
441196724,4,6724,Absent,32,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,19,8,Unicorn_Absent,-1,-1.0,9,Unicorn_Absent,107,0.91875,6.0,RS,20,0.21052631578947367,38,0.09716599190283404,0.46875,26.0,0.9625,0.3409090909090909,0.025119617224880375,RS,UP,RS
441196724,5,6724,Absent,32,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,16,Unicorn_Absent,-1,-1.0,4,Unicorn_Absent,118,0.86875,13.0,UP,32,0.23809523809523808,43,0.1208791208791209,0.421875,19.0,0.91875,0.21052631578947367,0.09716599190283404,RS,RS,RS
441196724,6,6724,Absent,23,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,24,5,Unicorn_Absent,-1,-1.0,9,Unicorn_Present,142,0.95,21.0,RS,19,0.275,41,0.04772727272727276,0.5625,11.0,0.86875,0.23809523809523808,0.1208791208791209,UP,RS,RS
441196724,7,6724,Absent,24,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,1,0,0,1,1,0,0,1,1,1,0,0,0,0,1,0,0,-77,10,Unicorn_Present,7,4.0,9,Unicorn_Present,65,0.31875,8.0,RS,18,0.12121212121212122,44,0.1140819964349376,0.53125,24.0,0.95,0.275,0.04772727272727276,RS,RS,ALL
441196724,8,6724,Absent,27,1,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,-74,7,Unicorn_Present,2,1.0,9,Unicorn_Present,-9,0.3375,13.0,RS,20,0.15151515151515152,36,0.13109354413702237,0.453125,-77.0,0.31875,0.12121212121212122,0.1140819964349376,RS,ALL,LEFT
441196724,9,6724,Present,17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,28,23,Unicorn_Present,2,2.0,1,Unicorn_Absent,19,0.975,10.0,ALL,64,0.3125,64,0.10197368421052633,0.640625,-74.0,0.3375,0.15151515151515152,0.13109354413702237,RS,LEFT,RS
441196724,10,6724,Absent,32,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,16,16,Unicorn_Absent,-1,-1.0,5,Unicorn_Present,35,0.9,4.0,LEFT,32,0.5,48,0.2777777777777778,0.5,28.0,0.975,0.3125,0.10197368421052633,ALL,RS,RS
441196724,11,6724,Present,18,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,1,1,1,1,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,29,8,Unicorn_Present,0,6.0,9,Unicorn_Absent,64,0.98125,16.0,RS,24,0.21739130434782608,39,0.09213250517598345,0.484375,16.0,0.9,0.5,0.2777777777777778,LEFT,RS,UP
441196724,12,6724,Absent,47,1,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,1,1,1,0,17,15,Unicorn_Absent,-1,-1.0,9,Unicorn_Present,81,0.90625,3.0,RS,27,0.18604651162790697,36,0.011046511627906985,0.328125,29.0,0.98125,0.21739130434782608,0.09213250517598345,RS,UP,DOWN
441196724,13,6724,Present,25,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,18,Unicorn_Present,0,3.0,4,Unicorn_Present,101,0.925,15.0,UP,32,0.2826086956521739,50,0.006012950971322817,0.5,17.0,0.90625,0.18604651162790697,0.011046511627906985,RS,DOWN,RS
