Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,Score,Joint,Is_there,where_x,where_y,Strategy,Is_there_LEAD,Ac_Score,Norm_Score,Joint_LAG1,Category,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Score_LAG1,Norm_Score_LAG1,Consistency_LAG1,Dif_consist_LAG1,Category_LAG1,RegionGo,RegionGo2
1074687629,1,107460,Absent,21,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,1,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,26,4,Unicorn_Absent,-1,-1.0,0,Unicorn_Absent,26,0.9625,,RS,23,,36,,0.5,,,,,,RS,RS
1074687629,2,107460,Absent,20,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,23,9,Unicorn_Absent,-1,-1.0,0,Unicorn_Present,49,0.94375,6.0,RS,21,0.07317073170731707,37,0.12682926829268293,0.4375,26.0,0.9625,,,RS,RS,RS
1074687629,3,107460,Present,28,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,32,0,Unicorn_Present,6,7.0,0,Unicorn_Present,81,1.0,9.0,RS,23,0.2222222222222222,23,0.2222222222222222,0.359375,23.0,0.94375,0.07317073170731707,0.12682926829268293,RS,RS,RS
1074687629,4,107460,Present,16,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,32,0,Unicorn_Present,5,6.0,0,Unicorn_Present,113,1.0,0.0,RS,20,0.22857142857142856,20,0.7714285714285715,0.3125,32.0,1.0,0.2222222222222222,0.2222222222222222,RS,RS,RS
1074687629,5,107460,Absent,34,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,1,1,0,1,1,0,-64,0,Unicorn_Present,6,2.0,0,Unicorn_Present,49,0.4,0.0,RS,28,0.2972972972972973,28,0.7027027027027026,0.4375,32.0,1.0,0.22857142857142856,0.7714285714285715,RS,RS,RS
1074687629,6,107460,Present,15,1,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,29,7,Unicorn_Present,3,7.0,0,Unicorn_Absent,78,0.98125,0.0,RS,20,0.2,38,0.2,0.484375,-64.0,0.4,0.2972972972972973,0.7027027027027026,RS,RS,RIGHT
1074687629,7,107460,Absent,34,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1,1,0,0,17,9,Unicorn_Absent,-1,-1.0,0,Unicorn_Present,95,0.90625,3.0,RS,22,0.16666666666666666,38,0.11538461538461539,0.453125,29.0,0.98125,0.2,0.2,RS,RIGHT,RS
1074687629,8,107460,Absent,32,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,-96,32,Unicorn_Present,0,7.0,6,Unicorn_Absent,-1,0.2,15.0,RIGHT,32,0.3170731707317073,32,0.07317073170731708,0.0,17.0,0.90625,0.16666666666666666,0.11538461538461539,RS,RS,RS
1074687629,9,107460,Absent,40,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,18,9,Unicorn_Absent,-1,-1.0,0,Unicorn_Absent,17,0.9125,32.0,RS,23,0.1956521739130435,38,0.20434782608695654,0.453125,-96.0,0.2,0.3170731707317073,0.07317073170731708,RIGHT,RS,RS
1074687629,10,107460,Absent,33,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,1,22,12,Unicorn_Absent,-1,-1.0,0,Unicorn_Absent,39,0.9375,14.0,RS,25,0.2,42,0.09268292682926826,0.46875,18.0,0.9125,0.1956521739130435,0.20434782608695654,RS,RS,UP
