Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,Score,Joint,Is_there,where_x,where_y,Strategy,Is_there_LEAD,Ac_Score,Norm_Score,Joint_LAG1,Category,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Score_LAG1,Norm_Score_LAG1,Consistency_LAG1,Dif_consist_LAG1,Category_LAG1,RegionGo,RegionGo2
212652919,1,2919,Absent,23,0,0,1,1,0,1,0,0,1,1,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,-73,4,Unicorn_Present,4,5.0,9,Unicorn_Present,-73,0.34375,,RS,19,,38,,0.53125,,,,,,RS,DOWN
212652919,2,2919,Present,6,1,0,0,0,0,1,0,1,1,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,1,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,1,1,0,1,32,5,Unicorn_Present,7,6.0,9,Unicorn_Present,-41,1.0,9.0,RS,26,0.18421052631578946,39,0.04532163742690057,0.53125,-73.0,0.34375,,,RS,DOWN,DOWN
212652919,3,2919,Present,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,32,14,Unicorn_Present,6,0.0,3,Unicorn_Absent,-9,1.0,0.0,DOWN,32,0.3181818181818182,46,0.19623059866962306,0.5,32.0,1.0,0.18421052631578946,0.04532163742690057,RS,DOWN,RS
212652919,4,2919,Absent,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18,14,Unicorn_Absent,-1,-1.0,3,Unicorn_Absent,9,0.9125,0.0,DOWN,32,1.0,46,0.0,0.5,32.0,1.0,0.3181818181818182,0.19623059866962306,DOWN,RS,DOWN
212652919,5,2919,Absent,29,0,1,0,1,0,1,1,1,0,0,1,1,0,0,0,1,0,1,1,0,1,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,1,1,0,0,0,0,1,0,0,27,7,Unicorn_Absent,-1,-1.0,9,Unicorn_Present,36,0.96875,14.0,RS,26,0.23404255319148937,41,0.04800872885979268,0.53125,18.0,0.9125,1.0,0.0,DOWN,DOWN,ALL
212652919,6,2919,Absent,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-76,18,Unicorn_Present,2,1.0,3,Unicorn_Absent,-40,0.325,5.0,DOWN,32,0.23404255319148937,49,0.021276595744680854,0.484375,27.0,0.96875,0.23404255319148937,0.04800872885979268,RS,ALL,RS
212652919,7,2919,Absent,64,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,24,Unicorn_Absent,-1,-1.0,1,Unicorn_Absent,-37,0.81875,12.0,ALL,64,0.5,64,0.29591836734693877,0.625,-76.0,0.325,0.23404255319148937,0.021276595744680854,DOWN,RS,RS
212652919,8,2919,Absent,25,1,0,1,0,1,1,1,0,0,1,1,1,0,1,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,1,1,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,1,0,1,0,0,1,0,11,32,Unicorn_Absent,-1,-1.0,9,Unicorn_Present,-26,0.86875,29.0,RS,32,0.5,64,0.125,0.5,3.0,0.81875,0.5,0.29591836734693877,ALL,RS,RIGHT
212652919,9,2919,Absent,36,0,0,1,0,0,1,1,0,0,1,0,1,1,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,1,1,1,0,0,1,0,0,1,1,-73,5,Unicorn_Present,5,5.0,9,Unicorn_Absent,-99,0.34375,21.0,RS,24,0.36585365853658536,36,0.10022865853658536,0.484375,11.0,0.86875,0.5,0.125,RS,RIGHT,OUT
212652919,10,2919,Absent,32,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,15,6,Unicorn_Absent,-1,-1.0,6,Unicorn_Absent,-84,0.89375,9.0,RIGHT,32,0.36585365853658536,46,0.24464153732446414,0.625,-73.0,0.34375,0.36585365853658536,0.10022865853658536,RS,OUT,RS
