Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,Score,Joint,Is_there,where_x,where_y,Strategy,Is_there_LEAD,Ac_Score,Norm_Score,Joint_LAG1,Category,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Score_LAG1,Norm_Score_LAG1,Consistency_LAG1,Dif_consist_LAG1,Category_LAG1,RegionGo,RegionGo2
706393531,1,3531,Present,2,1,0,1,1,1,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,1,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,1,1,0,0,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,1,32,11,Unicorn_Present,7,2.0,9,Unicorn_Absent,32,1.0,,RS,28,,46,,0.546875,,,,,,IN,RS
706393531,2,3531,Absent,36,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,17,12,Unicorn_Absent,-1,-1.0,7,Unicorn_Absent,49,0.90625,0.0,IN,36,0.3333333333333333,47,0.06504065040650403,0.546875,32.0,1.0,,,RS,RS,RS
706393531,3,3531,Absent,45,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,1,10,12,Unicorn_Absent,-1,-1.0,9,Unicorn_Absent,59,0.8625,15.0,RS,22,0.20833333333333334,42,0.07073643410852712,0.46875,17.0,0.90625,0.3333333333333333,0.06504065040650403,IN,RS,RS
706393531,4,3531,Absent,42,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,1,0,1,0,1,0,1,0,0,1,1,1,0,0,0,1,1,1,1,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,1,1,1,14,16,Unicorn_Absent,-1,-1.0,9,Unicorn_Present,73,0.8875,22.0,RS,28,0.35135135135135137,44,0.018018018018018056,0.4375,10.0,0.8625,0.20833333333333334,0.07073643410852712,RS,RS,LEFT
706393531,5,3531,Absent,29,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-64,0,Unicorn_Present,3,2.0,9,Unicorn_Present,9,0.4,18.0,RS,17,0.18421052631578946,17,0.18421052631578946,0.265625,14.0,0.8875,0.35135135135135137,0.018018018018018056,RS,LEFT,RS
706393531,6,3531,Present,29,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,23,14,Unicorn_Present,4,3.0,5,Unicorn_Present,32,0.94375,0.0,LEFT,32,0.16666666666666666,41,0.16666666666666666,0.421875,-64.0,0.4,0.18421052631578946,0.18421052631578946,RS,RS,RIGHT
706393531,7,3531,Present,24,0,1,1,1,0,1,0,0,1,0,1,0,0,1,1,0,0,1,1,1,0,0,1,0,0,0,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,1,1,1,0,1,0,0,15,32,Unicorn_Present,4,7.0,9,Unicorn_Absent,47,0.89375,9.0,RS,32,0.3333333333333333,64,0.026041666666666685,0.5,23.0,0.94375,0.16666666666666666,0.16666666666666666,LEFT,RIGHT,RS
706393531,8,3531,Absent,32,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,18,14,Unicorn_Absent,-1,-1.0,6,Unicorn_Present,65,0.9125,17.0,RIGHT,32,0.3333333333333333,46,0.10416666666666669,0.5,15.0,0.89375,0.3333333333333333,0.026041666666666685,RS,RS,OUT
706393531,9,3531,Present,15,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,29,7,Unicorn_Present,7,5.0,9,Unicorn_Present,94,0.98125,14.0,RS,17,0.225,42,0.07934782608695654,0.546875,18.0,0.9125,0.3333333333333333,0.10416666666666669,RIGHT,OUT,RS
706393531,10,3531,Present,24,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,20,14,Unicorn_Present,3,7.0,8,Unicorn_Present,114,0.925,3.0,OUT,28,0.15384615384615385,46,0.15384615384615385,0.5,29.0,0.98125,0.225,0.07934782608695654,RS,RS,RS
706393531,11,3531,Absent,35,0,0,0,1,1,1,0,0,1,0,0,1,1,1,1,0,0,1,1,1,0,1,0,1,0,1,0,1,1,0,1,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,1,1,1,0,0,1,-69,9,Unicorn_Present,6,2.0,9,Unicorn_Absent,45,0.36875,12.0,RS,31,0.2826086956521739,47,0.06984273820536538,0.59375,20.0,0.925,0.15384615384615385,0.15384615384615385,OUT,RS,RS
706393531,12,3531,Absent,29,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,1,1,1,0,0,1,1,24,6,Unicorn_Absent,-1,-1.0,9,Unicorn_Absent,69,0.95,5.0,RS,25,0.3023255813953488,36,0.13565891472868216,0.46875,-69.0,0.36875,0.2826086956521739,0.06984273820536538,RS,RS,IN
706393531,13,3531,Absent,20,1,0,0,1,0,1,0,0,0,1,1,0,1,1,0,1,1,0,1,0,0,0,1,1,0,0,0,1,0,1,0,1,1,0,1,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,32,0,Unicorn_Absent,-1,-1.0,9,Unicorn_Present,101,1.0,8.0,RS,26,0.34210526315789475,26,0.34210526315789475,0.40625,24.0,0.95,0.3023255813953488,0.13565891472868216,RS,IN,IN
706393531,14,3531,Present,8,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Present,2,2.0,7,Unicorn_Present,133,1.0,0.0,IN,36,0.2653061224489796,36,0.7346938775510203,0.5625,32.0,1.0,0.34210526315789475,0.34210526315789475,RS,IN,UP
706393531,15,3531,Present,35,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Present,5,6.0,7,Unicorn_Present,165,1.0,0.0,IN,36,1.0,36,0.0,0.5625,32.0,1.0,0.2653061224489796,0.7346938775510203,IN,UP,UP
706393531,16,3531,Present,17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Present,0,2.0,4,Unicorn_Present,197,1.0,0.0,UP,32,0.36,32,0.64,0.5,32.0,1.0,1.0,0.0,IN,UP,RS
706393531,17,3531,Absent,32,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-64,0,Unicorn_Present,0,5.0,4,Unicorn_Absent,133,0.4,0.0,UP,32,1.0,32,0.0,0.5,32.0,1.0,0.36,0.64,UP,RS,DOWN
706393531,18,3531,Absent,23,0,0,0,1,0,0,1,0,0,1,0,1,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,1,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,25,8,Unicorn_Absent,-1,-1.0,9,Unicorn_Present,158,0.95625,0.0,RS,22,0.22727272727272727,35,0.22727272727272727,0.421875,-64.0,0.4,1.0,0.0,UP,DOWN,NOTHING
706393531,19,3531,Present,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,26,12,Unicorn_Present,5,6.0,3,Unicorn_Absent,184,0.9625,7.0,DOWN,32,0.2857142857142857,44,0.07792207792207795,0.5,25.0,0.95625,0.22727272727272727,0.22727272727272727,RS,NOTHING,NOTHING
706393531,20,3531,Absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1.0,2,Unicorn_Absent,216,1.0,6.0,NOTHING,0,0.0,29,0.2926829268292683,0.453125,26.0,0.9625,0.2857142857142857,0.07792207792207795,DOWN,NOTHING,NOTHING
706393531,21,3531,Absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1.0,2,Unicorn_Absent,248,1.0,0.0,NOTHING,0,1.0,64,0.546875,1.0,32.0,1.0,0.0,0.2926829268292683,NOTHING,NOTHING,LEFT
706393531,22,3531,Absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1.0,2,Unicorn_Absent,280,1.0,0.0,NOTHING,0,1.0,64,0.0,1.0,32.0,1.0,1.0,0.546875,NOTHING,LEFT,RS
706393531,23,3531,Absent,32,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,32,Unicorn_Absent,-1,-1.0,5,Unicorn_Absent,280,0.8,0.0,LEFT,32,0.0,64,1.0,0.5,32.0,1.0,1.0,0.0,NOTHING,RS,RS
706393531,24,3531,Absent,39,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,1,1,1,1,0,1,0,1,0,1,1,1,0,0,0,1,1,0,25,15,Unicorn_Absent,-1,-1.0,9,Unicorn_Absent,305,0.95625,32.0,RS,21,0.2926829268292683,40,0.23856707317073172,0.390625,0.0,0.8,0.0,1.0,LEFT,RS,IN
706393531,25,3531,Absent,37,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,1,1,0,0,0,0,0,1,0,20,9,Unicorn_Absent,-1,-1.0,9,Unicorn_Present,325,0.925,7.0,RS,23,0.3333333333333333,35,0.1631205673758865,0.40625,25.0,0.95625,0.2926829268292683,0.23856707317073172,RS,IN,RS
706393531,26,3531,Present,36,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,11,36,Unicorn_Present,6,6.0,7,Unicorn_Present,336,0.86875,12.0,IN,36,0.20408163265306123,64,0.12404336734693877,0.4375,20.0,0.925,0.3333333333333333,0.1631205673758865,RS,RS,RS
706393531,27,3531,Absent,36,0,0,0,0,0,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,1,1,1,1,1,0,0,1,0,1,0,1,1,0,1,0,0,1,1,1,0,0,1,0,1,-75,12,Unicorn_Present,0,4.0,9,Unicorn_Absent,261,0.33125,21.0,RS,28,0.30612244897959184,48,0.19387755102040816,0.5625,11.0,0.86875,0.20408163265306123,0.12404336734693877,IN,RS,UP
706393531,28,3531,Absent,24,1,0,1,0,0,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,1,1,1,0,0,0,1,0,1,1,1,1,1,0,0,1,1,0,20,11,Unicorn_Absent,-1,-1.0,9,Unicorn_Present,281,0.925,11.0,RS,29,0.29545454545454547,42,0.07039911308203989,0.484375,-75.0,0.33125,0.30612244897959184,0.19387755102040816,RS,UP,RS
706393531,29,3531,Absent,32,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-78,14,Unicorn_Present,5,5.0,4,Unicorn_Present,203,0.3125,12.0,UP,32,0.2978723404255319,46,0.029579657498702616,0.5,20.0,0.925,0.29545454545454547,0.07039911308203989,RS,RS,OUT
706393531,30,3531,Present,6,1,1,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,1,1,0,1,32,9,Unicorn_Present,3,5.0,9,Unicorn_Present,235,1.0,14.0,RS,21,0.23255813953488372,32,0.0017889087656529357,0.359375,-78.0,0.3125,0.2978723404255319,0.029579657498702616,UP,OUT,NOTHING
706393531,31,3531,Absent,28,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,-64,0,Unicorn_Present,6,5.0,8,Unicorn_Present,171,0.4,0.0,OUT,28,0.2894736842105263,28,0.2894736842105263,0.4375,32.0,1.0,0.23255813953488372,0.0017889087656529357,RS,NOTHING,RS
706393531,32,3531,Absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-64,0,Unicorn_Present,6,2.0,2,Unicorn_Present,107,0.4,0.0,NOTHING,0,0.0,28,0.0,0.4375,-64.0,0.4,0.2894736842105263,0.2894736842105263,OUT,RS,UP
706393531,33,3531,Present,6,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,1,1,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,1,0,0,1,1,1,1,1,1,1,0,1,0,0,0,0,1,32,9,Unicorn_Present,6,0.0,9,Unicorn_Present,139,1.0,0.0,RS,27,0.0,46,1.0,0.578125,-64.0,0.4,0.0,0.0,NOTHING,UP,RS
706393531,34,3531,Present,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,14,Unicorn_Present,2,0.0,4,Unicorn_Present,169,0.9875,0.0,UP,32,0.2553191489361702,46,0.7446808510638299,0.5,32.0,1.0,0.0,1.0,RS,RS,ALL
706393531,35,3531,Present,7,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,1,1,0,1,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,1,30,7,Unicorn_Present,1,7.0,9,Unicorn_Present,199,0.9875,2.0,RS,23,0.27906976744186046,43,0.0,0.5625,30.0,0.9875,0.2553191489361702,0.7446808510638299,UP,ALL,RS
706393531,36,3531,Present,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,31,24,Unicorn_Present,6,0.0,1,Unicorn_Present,230,0.99375,2.0,ALL,64,0.359375,64,0.14508928571428573,0.625,30.0,0.9875,0.27906976744186046,0.0,RS,RS,RS
706393531,37,3531,Absent,29,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,1,0,1,0,1,0,0,1,0,0,-71,12,Unicorn_Present,6,0.0,9,Unicorn_Present,159,0.35625,1.0,RS,31,0.484375,49,0.2571022727272727,0.578125,31.0,0.99375,0.359375,0.14508928571428573,ALL,RS,ALL
