Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,Score,Joint,Is_there,where_x,where_y,Strategy,Is_there_LEAD,Ac_Score,Norm_Score,Joint_LAG1,Category,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Score_LAG1,Norm_Score_LAG1,Consistency_LEAD1,Dif_consist_LAG1,Category_LAG1,RegionGo,RegionGo2
65187713,1,6518,Present,7,0,0,0,1,1,1,1,0,0,0,0,1,1,1,0,0,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,31,9,Unicorn_Present,7,3.0,0,Unicorn_Present,31,0.99375,,RS,22,,41,,0.5,,,0.23684210526315788,,,RS,RS
65187713,2,6518,Present,14,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,1,0,1,0,1,0,0,1,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,1,1,0,0,0,29,9,Unicorn_Present,6,2.0,0,Unicorn_Absent,60,0.98125,1.0,RS,25,0.23684210526315788,35,0.033428165007112404,0.40625,31.0,0.99375,0.3055555555555556,,RS,RS,RS
65187713,3,6518,Absent,49,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,18,8,Unicorn_Absent,-1,-1.0,0,Unicorn_Absent,78,0.9125,3.0,RS,22,0.3055555555555556,42,0.1305555555555556,0.53125,29.0,0.98125,0.21052631578947367,0.033428165007112404,RS,RS,RS
65187713,4,6518,Absent,44,1,0,1,0,0,1,0,1,1,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,1,1,0,0,1,1,1,21,16,Unicorn_Absent,-1,-1.0,0,Unicorn_Absent,99,0.93125,14.0,RS,24,0.21052631578947367,36,0.7894736842105263,0.3125,18.0,0.9125,0.225,0.1305555555555556,RS,RS,OUT
65187713,5,6518,Absent,53,0,1,1,1,1,0,1,1,0,0,0,0,1,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,15,10,Unicorn_Absent,-1,-1.0,0,Unicorn_Absent,114,0.89375,11.0,RS,25,0.225,41,0.0022727272727272596,0.484375,21.0,0.93125,0.358974358974359,0.7894736842105263,RS,OUT,OUT
65187713,6,6518,Absent,28,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,32,0,Unicorn_Absent,-1,-1.0,8,Unicorn_Present,146,1.0,17.0,OUT,28,0.358974358974359,64,0.011148272017837246,1.0,15.0,0.89375,1.0,0.0022727272727272596,RS,OUT,OUT
65187713,7,6518,Present,17,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,32,0,Unicorn_Present,0,5.0,8,Unicorn_Absent,178,1.0,0.0,OUT,28,1.0,64,0.0,1.0,32.0,1.0,1.0,0.011148272017837246,OUT,OUT,OUT
65187713,8,6518,Absent,28,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,32,0,Unicorn_Absent,-1,-1.0,8,Unicorn_Present,210,1.0,0.0,OUT,28,1.0,64,0.0,1.0,32.0,1.0,1.0,0.0,OUT,OUT,OUT
65187713,9,6518,Present,3,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,32,0,Unicorn_Present,3,1.0,8,Unicorn_Absent,242,1.0,0.0,OUT,28,1.0,64,0.0,1.0,32.0,1.0,1.0,0.0,OUT,OUT,RS
65187713,10,6518,Absent,28,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,32,0,Unicorn_Absent,-1,-1.0,8,Unicorn_Absent,274,1.0,0.0,OUT,28,1.0,64,0.0,1.0,32.0,1.0,0.25,0.0,OUT,RS,IN
65187713,11,6518,Absent,46,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,9,12,Unicorn_Absent,-1,-1.0,0,Unicorn_Absent,283,0.85625,0.0,RS,22,0.25,46,0.75,0.53125,32.0,1.0,0.2608695652173913,0.0,OUT,IN,IN
