Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,Score,Joint,Is_there,where_x,where_y,Strategy,Is_there_LEAD,Ac_Score,Norm_Score,Joint_LAG1,Category,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Score_LAG1,Norm_Score_LAG1,Consistency_LAG1,Dif_consist_LAG1,Category_LAG1,RegionGo,RegionGo2
741993666,1,7419,Absent,36,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,1,0,1,1,1,0,1,0,0,1,0,1,0,0,0,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,27,10,Unicorn_Absent,-1,-1.0,0,Unicorn_Present,27,0.96875,,RS,26,,41,,0.484375,,,,,,RS,RS
741993666,2,7419,Absent,43,0,1,0,0,1,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,1,0,0,-71,10,Unicorn_Present,5,2.0,0,Unicorn_Present,-44,0.35625,5.0,RS,21,0.2702702702702703,38,0.060967944688874925,0.4375,27.0,0.96875,,,RS,RS,RS
741993666,3,7419,Absent,29,1,0,0,0,1,1,0,1,1,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,1,0,1,1,1,0,1,0,0,1,1,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,1,1,1,0,1,1,0,0,0,0,1,0,-71,15,Unicorn_Present,1,3.0,0,Unicorn_Present,-115,0.35625,7.0,RS,29,0.19047619047619047,43,0.14285714285714285,0.4375,-71.0,0.35625,0.2702702702702703,0.060967944688874925,RS,RS,NOTHING
741993666,4,7419,Present,17,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,31,8,Unicorn_Present,2,2.0,0,Unicorn_Absent,-84,0.99375,7.0,RS,19,0.2,40,0.25,0.5,-71.0,0.35625,0.19047619047619047,0.14285714285714285,RS,NOTHING,NOTHING
741993666,5,7419,Absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1.0,2,Unicorn_Absent,-52,1.0,1.0,NOTHING,0,0.0,36,0.22641509433962265,0.5625,31.0,0.99375,0.2,0.25,RS,NOTHING,NOTHING
741993666,6,7419,Absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1.0,2,Unicorn_Present,-20,1.0,0.0,NOTHING,0,1.0,23,0.7446808510638299,0.359375,32.0,1.0,0.0,0.22641509433962265,NOTHING,NOTHING,NOTHING
741993666,7,7419,Absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-64,0,Unicorn_Present,4,2.0,2,Unicorn_Present,-84,0.4,0.0,NOTHING,0,1.0,30,0.7674418604651163,0.46875,32.0,1.0,1.0,0.7446808510638299,NOTHING,NOTHING,NOTHING
741993666,8,7419,Present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Present,6,3.0,2,Unicorn_Present,-52,1.0,0.0,NOTHING,0,1.0,28,0.7111111111111111,0.4375,-64.0,0.4,1.0,0.7674418604651163,NOTHING,NOTHING,NOTHING
741993666,9,7419,Absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-64,0,Unicorn_Present,7,1.0,2,Unicorn_Present,-116,0.4,0.0,NOTHING,0,1.0,31,0.6590909090909092,0.484375,32.0,1.0,1.0,0.7111111111111111,NOTHING,NOTHING,NOTHING
741993666,10,7419,Absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-64,0,Unicorn_Present,4,2.0,2,Unicorn_Absent,-180,0.4,0.0,NOTHING,0,1.0,32,0.6,0.5,-64.0,0.4,1.0,0.6590909090909092,NOTHING,NOTHING,NOTHING
