Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,Score,Joint,Is_there,where_x,where_y,Strategy,Is_there_LEAD,Ac_Score,Norm_Score,Joint_LAG1,Category,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Score_LAG1,Norm_Score_LAG1,Consistency_LEAD1,Dif_consist_LAG1,Category_LAG1,RegionGo,RegionGo2
1179955803,1,117995,Absent,32,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,1,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,1,1,0,1,0,0,0,1,1,1,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,-72,7,Unicorn_Present,0,1.0,0,Unicorn_Absent,-72,0.35,,RS,25,,43,,0.5625,,,0.28888888888888886,,,RS,RS
1179955803,2,117995,Absent,30,1,0,0,1,1,1,1,0,1,1,0,0,1,1,1,1,0,1,0,1,0,1,0,0,1,1,0,0,0,1,1,0,1,0,0,1,0,1,1,0,0,0,1,0,1,1,1,1,0,0,1,0,1,1,1,1,0,0,0,0,0,1,0,0,25,14,Unicorn_Absent,-1,-1.0,0,Unicorn_Absent,-47,0.95625,8,RS,33,0.28888888888888886,46,0.020596205962059577,0.5,-72.0,0.35,0.22727272727272727,,RS,RS,RS
1179955803,3,117995,Absent,19,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,1,1,1,0,0,0,1,0,0,0,0,1,0,1,1,0,25,4,Unicorn_Absent,-1,-1.0,0,Unicorn_Absent,-22,0.95625,7,RS,21,0.22727272727272727,38,0.003496503496503517,0.53125,25.0,0.95625,0.24242424242424243,0.020596205962059577,RS,RS,RS
1179955803,4,117995,Absent,33,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,20,12,Unicorn_Absent,-1,-1.0,0,Unicorn_Present,-2,0.925,7,RS,20,0.24242424242424243,37,0.07963354474982381,0.390625,25.0,0.95625,0.16216216216216217,0.003496503496503517,RS,RS,RS
1179955803,5,117995,Present,21,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,1,0,1,0,1,1,0,28,6,Unicorn_Present,7,6.0,0,Unicorn_Absent,26,0.975,12,RS,23,0.16216216216216217,42,0.12355212355212353,0.5625,20.0,0.925,0.2926829268292683,0.07963354474982381,RS,RS,RS
1179955803,6,117995,Absent,30,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1,1,1,0,0,1,1,1,0,0,0,1,1,1,1,0,0,0,1,0,0,0,1,1,0,1,0,1,1,0,1,1,17,7,Unicorn_Absent,-1,-1.0,0,Unicorn_Present,43,0.90625,4,RS,30,0.2926829268292683,43,0.10847240051347881,0.5625,28.0,0.975,0.358974358974359,0.12355212355212353,RS,RS,RS
1179955803,7,117995,Present,32,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,1,0,0,1,1,0,1,0,1,0,1,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,1,22,6,Unicorn_Present,3,5.0,0,Unicorn_Present,65,0.9375,15,RS,23,0.358974358974359,42,0.1747638326585695,0.5625,17.0,0.90625,0.1794871794871795,0.10847240051347881,RS,RS,RS
1179955803,8,117995,Absent,23,1,0,1,0,0,1,1,0,1,0,0,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,-73,10,Unicorn_Present,2,5.0,0,Unicorn_Absent,-8,0.34375,10,RS,23,0.1794871794871795,38,0.07051282051282051,0.4375,22.0,0.9375,0.23076923076923078,0.1747638326585695,RS,RS,RS
1179955803,9,117995,Absent,26,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,1,1,1,0,1,0,1,1,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,1,1,1,1,0,0,0,0,0,1,23,12,Unicorn_Absent,-1,-1.0,0,Unicorn_Present,15,0.94375,9,RS,25,0.23076923076923078,41,0.026223776223776224,0.453125,-73.0,0.34375,0.3,0.07051282051282051,RS,RS,RS
1179955803,10,117995,Present,11,0,0,0,0,1,1,1,1,1,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,0,1,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,31,9,Unicorn_Present,4,0.0,0,Unicorn_Absent,46,0.99375,9,RS,27,0.3,39,0.13333333333333333,0.46875,23.0,0.94375,0.17073170731707318,0.026223776223776224,RS,RS,RS
