Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,Score,Joint,Is_there,where_x,where_y,Strategy,Is_there_LEAD,Ac_Score,Norm_Score,Joint_LAG1,Category,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Score_LAG1,Norm_Score_LAG1,Consistency_LAG1,Dif_consist_LAG1,Category_LAG1,RegionGo,RegionGo2
1194191717,1,119418,Present,2,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,0,0,1,1,0,1,0,0,1,1,1,1,0,0,0,32,31,Unicorn_Present,4,0.0,0,Unicorn_Absent,32,1.0,,RS,45,,51,,0.3125,,,,,,LEFT,ALL
1194191717,2,119418,Absent,32,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,15,17,Unicorn_Absent,-1,-1.0,5,Unicorn_Absent,47,0.89375,0.0,LEFT,32,0.3508771929824561,48,0.021671826625387025,0.484375,32.0,1.0,,,RS,ALL,RS
1194191717,3,119418,Absent,64,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19,38,Unicorn_Absent,-1,-1.0,1,Unicorn_Absent,66,0.91875,17.0,ALL,64,0.5,64,0.10784313725490197,0.40625,15.0,0.89375,0.3508771929824561,0.021671826625387025,LEFT,RS,RS
1194191717,4,119418,Absent,42,0,1,1,0,0,0,1,1,0,0,1,0,1,1,0,1,1,0,0,0,0,1,0,1,0,0,1,1,0,0,1,1,1,1,0,1,0,1,1,1,1,1,0,0,1,0,0,1,0,1,1,1,0,1,0,1,0,0,0,0,1,1,1,1,24,15,Unicorn_Absent,-1,-1.0,0,Unicorn_Absent,90,0.95,13.0,RS,34,0.53125,45,0.22512755102040816,0.46875,19.0,0.91875,0.5,0.10784313725490197,ALL,RS,NOTHING
1194191717,5,119418,Absent,37,1,1,1,0,1,0,1,0,1,0,1,1,1,0,1,0,0,0,1,0,0,1,1,0,0,1,1,1,1,0,0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,0,1,0,1,1,0,1,1,0,0,1,1,26,22,Unicorn_Absent,-1,-1.0,0,Unicorn_Absent,116,0.9625,8.0,RS,41,0.41509433962264153,52,0.10398322851153041,0.46875,24.0,0.95,0.53125,0.22512755102040816,RS,NOTHING,NOTHING
1194191717,6,119418,Absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1.0,2,Unicorn_Absent,148,1.0,6.0,NOTHING,0,0.0,28,0.2978723404255319,0.4375,26.0,0.9625,0.41509433962264153,0.10398322851153041,RS,NOTHING,NOTHING
1194191717,7,119418,Absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1.0,2,Unicorn_Absent,180,1.0,0.0,NOTHING,0,1.0,28,0.0,0.4375,32.0,1.0,0.0,0.2978723404255319,NOTHING,NOTHING,NOTHING
1194191717,8,119418,Absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1.0,2,Unicorn_Absent,212,1.0,0.0,NOTHING,0,1.0,28,0.0,0.4375,32.0,1.0,1.0,0.0,NOTHING,NOTHING,NOTHING
1194191717,9,119418,Absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1.0,2,Unicorn_Absent,244,1.0,0.0,NOTHING,0,1.0,28,0.0,0.4375,32.0,1.0,1.0,0.0,NOTHING,NOTHING,NOTHING
1194191717,10,119418,Absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1.0,2,Unicorn_Absent,276,1.0,0.0,NOTHING,0,1.0,28,0.0,0.4375,32.0,1.0,1.0,0.0,NOTHING,NOTHING,NOTHING
1194191717,11,119418,Absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1.0,2,Unicorn_Present,308,1.0,0.0,NOTHING,0,1.0,28,0.0,0.4375,32.0,1.0,1.0,0.0,NOTHING,NOTHING,NOTHING
1194191717,12,119418,Present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Present,4,7.0,2,Unicorn_Absent,340,1.0,0.0,NOTHING,0,1.0,28,0.0,0.4375,32.0,1.0,1.0,0.0,NOTHING,NOTHING,NOTHING
1194191717,13,119418,Absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1.0,2,Unicorn_Present,372,1.0,0.0,NOTHING,0,1.0,28,0.0,0.4375,32.0,1.0,1.0,0.0,NOTHING,NOTHING,OUT
1194191717,14,119418,Absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-64,0,Unicorn_Present,6,5.0,2,Unicorn_Absent,308,0.4,0.0,NOTHING,0,1.0,28,0.0,0.4375,32.0,1.0,1.0,0.0,NOTHING,OUT,RS
1194191717,15,119418,Absent,28,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,19,13,Unicorn_Absent,-1,-1.0,8,Unicorn_Present,327,0.91875,0.0,OUT,28,0.0,49,0.2653061224489796,0.5625,-64.0,0.4,1.0,0.0,NOTHING,RS,RS
1194191717,16,119418,Present,33,1,1,1,1,1,1,0,0,1,1,0,1,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,1,1,1,0,1,0,1,0,0,1,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,0,1,1,1,1,1,14,35,Unicorn_Present,0,5.0,0,Unicorn_Absent,341,0.8875,13.0,RS,35,0.3404255319148936,64,0.1908244680851064,0.453125,19.0,0.91875,0.0,0.2653061224489796,OUT,RS,RIGHT
1194191717,17,119418,Absent,39,0,1,1,0,0,0,1,1,1,1,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,1,1,1,0,1,1,18,21,Unicorn_Absent,-1,-1.0,0,Unicorn_Present,359,0.9125,18.0,RS,31,0.3469387755102041,49,0.2624362244897959,0.4375,14.0,0.8875,0.3404255319148936,0.1908244680851064,RS,RIGHT,RS
1194191717,18,119418,Absent,32,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,-75,19,Unicorn_Present,2,0.0,6,Unicorn_Present,284,0.33125,14.0,RIGHT,32,0.2857142857142857,50,0.17582417582417587,0.484375,18.0,0.9125,0.3469387755102041,0.2624362244897959,RS,RS,RS
1194191717,19,119418,Absent,25,0,1,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,0,0,1,1,1,1,0,1,1,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,1,1,0,0,1,1,1,1,1,0,1,0,0,0,0,0,1,1,0,1,0,-64,0,Unicorn_Present,3,1.0,0,Unicorn_Present,220,0.4,11.0,RS,31,0.3125,31,0.3125,0.484375,-75.0,0.33125,0.2857142857142857,0.17582417582417587,RIGHT,RS,LEFT
1194191717,20,119418,Present,2,0,1,0,0,1,1,0,0,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,0,1,1,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,0,0,1,1,32,18,Unicorn_Present,0,6.0,0,Unicorn_Present,252,1.0,0.0,RS,36,0.3137254901960784,51,0.3137254901960784,0.515625,-64.0,0.4,0.3125,0.3125,RS,LEFT,LEFT
1194191717,21,119418,Present,3,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,31,22,Unicorn_Present,2,4.0,5,Unicorn_Absent,283,0.99375,0.0,LEFT,32,0.3877551020408163,42,0.16134000770119367,0.3125,32.0,1.0,0.3137254901960784,0.3137254901960784,RS,LEFT,RS
1194191717,22,119418,Absent,32,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,20,16,Unicorn_Absent,-1,-1.0,5,Unicorn_Absent,303,0.925,1.0,LEFT,32,1.0,50,0.6799999999999999,0.53125,31.0,0.99375,0.3877551020408163,0.16134000770119367,LEFT,RS,RS
1194191717,23,119418,Absent,30,1,1,1,0,0,0,0,0,1,1,0,1,0,1,1,0,0,0,1,1,0,1,0,0,0,1,0,1,0,1,1,0,1,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,1,1,1,1,1,0,1,0,1,0,1,0,1,0,0,23,15,Unicorn_Absent,-1,-1.0,0,Unicorn_Absent,326,0.94375,12.0,RS,30,0.4418604651162791,44,0.20656634746922026,0.453125,20.0,0.925,1.0,0.6799999999999999,LEFT,RS,RS
1194191717,24,119418,Absent,19,1,0,0,0,1,1,0,0,0,0,1,1,1,0,0,1,1,1,1,1,1,1,0,0,1,0,1,1,0,1,1,1,1,0,0,1,1,0,0,0,1,1,1,1,0,1,0,1,1,0,1,0,0,0,1,1,0,1,1,0,0,1,0,1,22,20,Unicorn_Absent,-1,-1.0,0,Unicorn_Present,348,0.9375,9.0,RS,36,0.32,52,0.020000000000000018,0.5,23.0,0.94375,0.4418604651162791,0.20656634746922026,RS,RS,UP
