Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,Score,Joint,Is_there,where_x,where_y,Strategy,Is_there_LEAD,Ac_Score,Norm_Score,Joint_LAG1,Category,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Score_LAG1,Norm_Score_LAG1,Consistency_LAG1,Dif_consist_LAG1,Category_LAG1,RegionGo,RegionGo2
1079959673,1,107993,Absent,29,0,1,1,0,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,1,1,0,1,0,0,0,0,1,0,1,0,0,1,-71,7,Unicorn_Present,4,5.0,0,Unicorn_Present,-71,0.35625,,RS,23,,38,,0.484375,,,,,,OUT,RS
1079959673,2,107993,Present,22,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,24,13,Unicorn_Present,1,7.0,8,Unicorn_Present,-47,0.95,7,OUT,28,0.275,38,0.09078947368421056,0.390625,-71.0,0.35625,,,RS,RS,RIGHT
1079959673,3,107993,Absent,23,1,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1,1,0,1,0,0,1,0,0,0,0,-66,9,Unicorn_Present,1,6.0,0,Unicorn_Present,-113,0.3875,8,RS,24,0.23809523809523808,41,0.08622908622908626,0.5,24.0,0.95,0.275,0.09078947368421056,OUT,RIGHT,RIGHT
1079959673,4,107993,Present,6,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,32,15,Unicorn_Present,6,7.0,6,Unicorn_Absent,-81,1.0,2,RIGHT,32,0.2727272727272727,41,0.11616161616161619,0.40625,-66.0,0.3875,0.23809523809523808,0.08622908622908626,RS,RIGHT,RS
1079959673,5,107993,Absent,32,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,22,14,Unicorn_Absent,-1,-1.0,6,Unicorn_Absent,-59,0.9375,0,RIGHT,32,1.0,39,0.875,0.390625,32.0,1.0,0.2727272727272727,0.11616161616161619,RIGHT,RS,RIGHT
1079959673,6,107993,Absent,38,0,0,1,0,1,1,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,1,1,1,0,1,1,0,1,0,0,1,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,16,15,Unicorn_Absent,-1,-1.0,0,Unicorn_Absent,-43,0.9,10,RS,28,0.3953488372093023,45,0.21757105943152452,0.46875,22.0,0.9375,1.0,0.875,RIGHT,RIGHT,UP
1079959673,7,107993,Absent,32,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,14,18,Unicorn_Absent,-1,-1.0,6,Unicorn_Absent,-29,0.8875,16,RIGHT,32,0.3953488372093023,50,0.03534883720930232,0.5,16.0,0.9,0.3953488372093023,0.21757105943152452,RS,UP,RS
1079959673,8,107993,Absent,32,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,12,Unicorn_Absent,-1,-1.0,4,Unicorn_Present,-10,0.91875,18,UP,32,0.3333333333333333,42,0.12499999999999997,0.46875,14.0,0.8875,0.3953488372093023,0.03534883720930232,RIGHT,RS,RS
1079959673,9,107993,Absent,20,1,1,1,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,1,0,1,1,0,0,0,0,1,0,0,1,-70,10,Unicorn_Present,4,4.0,0,Unicorn_Present,-80,0.3625,13,RS,26,0.28888888888888886,38,0.031746031746031744,0.4375,19.0,0.91875,0.3333333333333333,0.12499999999999997,UP,RS,RS
1079959673,10,107993,Absent,42,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,1,0,-75,7,Unicorn_Present,2,0.0,0,Unicorn_Absent,-155,0.33125,6,RS,17,0.19444444444444445,29,0.05555555555555555,0.34375,-70.0,0.3625,0.28888888888888886,0.031746031746031744,RS,RS,RS
1079959673,11,107993,Absent,33,1,0,1,0,0,0,0,1,1,1,1,1,1,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,1,0,1,0,0,1,0,0,28,11,Unicorn_Absent,-1,-1.0,0,Unicorn_Absent,-127,0.975,11,RS,24,0.10810810810810811,35,0.06332046332046332,0.375,-75.0,0.33125,0.19444444444444445,0.05555555555555555,RS,RS,RIGHT
1079959673,12,107993,Absent,29,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,1,1,1,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,23,10,Unicorn_Absent,-1,-1.0,0,Unicorn_Absent,-104,0.94375,4,RS,23,0.23684210526315788,33,0.10170697012802274,0.359375,28.0,0.975,0.10810810810810811,0.06332046332046332,RS,RIGHT,DOWN
1079959673,13,107993,Absent,32,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,32,Unicorn_Absent,-1,-1.0,6,Unicorn_Absent,-104,0.8,9,RIGHT,32,0.27906976744186046,32,0.1235142118863049,0.0,23.0,0.94375,0.23684210526315788,0.10170697012802274,RS,DOWN,RS
1079959673,14,107993,Absent,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19,13,Unicorn_Absent,-1,-1.0,3,Unicorn_Absent,-85,0.91875,32,DOWN,32,0.3333333333333333,44,0.037878787878787845,0.484375,0.0,0.8,0.27906976744186046,0.1235142118863049,RIGHT,RS,DOWN
1079959673,15,107993,Absent,31,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,0,1,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,1,0,22,12,Unicorn_Absent,-1,-1.0,0,Unicorn_Present,-63,0.9375,13,RS,25,0.26666666666666666,41,0.026016260162601612,0.453125,19.0,0.91875,0.3333333333333333,0.037878787878787845,DOWN,DOWN,RS
1079959673,16,107993,Present,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,30,15,Unicorn_Present,1,5.0,3,Unicorn_Absent,-33,0.9875,10,DOWN,32,0.26666666666666666,43,0.05040650406504066,0.4375,22.0,0.9375,0.26666666666666666,0.026016260162601612,RS,RS,RS
1079959673,17,107993,Absent,22,1,0,0,1,0,0,0,1,0,0,0,1,0,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,1,1,1,1,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,20,13,Unicorn_Absent,-1,-1.0,0,Unicorn_Absent,-13,0.925,2,RS,27,0.3111111111111111,50,0.04580498866213151,0.578125,30.0,0.9875,0.26666666666666666,0.05040650406504066,DOWN,RS,RS
1079959673,18,107993,Absent,39,1,0,0,1,0,1,0,1,0,1,1,0,0,0,1,1,0,1,0,1,1,0,1,0,0,0,1,0,1,0,1,1,0,0,0,1,1,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,14,6,Unicorn_Absent,-1,-1.0,0,Unicorn_Absent,1,0.8875,12,RS,26,0.2619047619047619,43,0.05782312925170069,0.578125,20.0,0.925,0.3111111111111111,0.04580498866213151,RS,RS,NOTHING
1079959673,19,107993,Absent,27,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,0,0,1,1,1,0,0,0,28,8,Unicorn_Absent,-1,-1.0,0,Unicorn_Absent,29,0.975,18,RS,19,0.18421052631578946,35,0.05263157894736842,0.421875,14.0,0.8875,0.2619047619047619,0.05782312925170069,RS,NOTHING,NOTHING
1079959673,20,107993,Absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1.0,2,Unicorn_Absent,61,1.0,4,NOTHING,0,0.0,22,0.24324324324324326,0.34375,28.0,0.975,0.18421052631578946,0.05263157894736842,RS,NOTHING,NOTHING
1079959673,21,107993,Absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1.0,2,Unicorn_Present,93,1.0,0,NOTHING,0,1.0,27,0.8333333333333334,0.421875,32.0,1.0,0.0,0.24324324324324326,NOTHING,NOTHING,NOTHING
1079959673,22,107993,Present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Present,3,4.0,2,Unicorn_Present,125,1.0,0,NOTHING,0,1.0,23,0.8095238095238095,0.359375,32.0,1.0,1.0,0.8333333333333334,NOTHING,NOTHING,NOTHING
