Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,Score,Joint,Is_there,where_x,where_y,Strategy,Is_there_LEAD,Ac_Score,Norm_Score,Joint_LAG1,Category,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Score_LAG1,Norm_Score_LAG1,Consistency_LAG1,Dif_consist_LAG1,Category_LAG1,RegionGo,RegionGo2
1558750346,1,155875,Present,8,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,1,0,1,1,1,0,0,1,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,1,1,0,31,12,Unicorn_Present,3,0.0,0,Unicorn_Absent,31,0.99375,,RS,25,,40,,0.4375,,,,,,RS,RS
1558750346,2,155875,Absent,37,1,1,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,1,0,1,1,0,1,0,0,0,0,0,1,0,0,1,1,0,1,1,19,13,Unicorn_Absent,-1,-1,0,Unicorn_Present,50,0.91875,1,RS,27,0.3684210526315789,42,0.006578947368421073,0.453125,31.0,0.99375,,,RS,RS,RS
1558750346,3,155875,Present,3,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,32,3,Unicorn_Present,1,0.0,0,Unicorn_Present,82,1.0,13,RS,18,0.21621621621621623,33,0.02702702702702703,0.46875,19.0,0.91875,0.3684210526315789,0.006578947368421073,RS,RS,RS
1558750346,4,155875,Absent,26,0,1,0,1,0,0,1,0,0,1,0,1,1,1,1,1,0,1,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,1,1,1,0,1,0,1,-72,13,Unicorn_Present,2,5.0,0,Unicorn_Present,10,0.35,0,RS,29,0.2702702702702703,35,0.0767218831734961,0.34375,32.0,1.0,0.21621621621621623,0.02702702702702703,RS,RS,RS
1558750346,5,155875,Absent,49,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,-75,9,Unicorn_Present,2,3.0,0,Unicorn_Absent,-65,0.33125,8,RS,22,0.18604651162790697,40,0.05719673161533628,0.484375,-72.0,0.35,0.2702702702702703,0.0767218831734961,RS,RS,RS
1558750346,6,155875,Absent,32,0,1,1,0,0,1,0,0,1,1,1,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,1,0,0,1,1,1,0,0,0,1,0,0,0,1,0,1,1,0,0,1,1,0,0,24,10,Unicorn_Absent,-1,-1,0,Unicorn_Absent,-41,0.95,11,RS,26,0.37142857142857144,41,0.038095238095238126,0.484375,-75.0,0.33125,0.18604651162790697,0.05719673161533628,RS,RS,RS
1558750346,7,155875,Absent,32,0,1,0,1,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,1,0,1,1,0,1,1,0,0,1,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,1,1,0,0,0,1,1,24,15,Unicorn_Absent,-1,-1,0,Unicorn_Absent,-17,0.95,8,RS,27,0.325,43,0.052272727272727304,0.4375,24.0,0.95,0.37142857142857144,0.038095238095238126,RS,RS,RS
1558750346,8,155875,Absent,28,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,23,7,Unicorn_Absent,-1,-1,0,Unicorn_Present,6,0.94375,8,RS,18,0.18421052631578946,34,0.03527435610302351,0.421875,24.0,0.95,0.325,0.052272727272727304,RS,RS,RS
1558750346,9,155875,Present,32,0,0,0,0,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,1,0,1,1,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,14,24,Unicorn_Present,2,5.0,0,Unicorn_Absent,20,0.8875,9,RS,24,0.16666666666666666,64,0.19270833333333334,0.625,23.0,0.94375,0.18421052631578946,0.03527435610302351,RS,RS,RS
1558750346,10,155875,Absent,37,0,1,0,0,1,0,0,1,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,1,1,0,1,1,1,0,0,0,1,0,0,1,1,1,0,0,1,1,0,0,1,0,0,0,1,0,0,1,1,1,1,0,0,1,1,1,0,1,0,1,21,13,Unicorn_Absent,-1,-1,0,Unicorn_Present,41,0.93125,18,RS,31,0.2222222222222222,47,0.2309027777777778,0.53125,14.0,0.8875,0.16666666666666666,0.19270833333333334,RS,RS,UP
