index,Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,Score,Joint,Is_there,where_x,where_y,Strategy,Ac_Score,Norm_Score,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Category,Category1,Similarity,Norm_Score_LAG1,Consistency_LAG1,Dif_consist_LAG1,Joint_LAG1,Similarity_LAG1,RS
722,10938884,2,109339,Absent,47,1,0,1,1,1,0,1,1,1,0,1,1,0,0,1,0,1,1,0,1,0,0,1,1,1,0,0,0,1,1,1,1,0,0,0,0,1,1,0,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,0,30,2,Unicorn_Absent,-1,-1,0,30,0.9875,35.0,1.0,35.0,0.0,0.515625,RS,RS,0.010228516799093708,,,,,,0.075
726,10938884,4,109339,Absent,47,1,0,1,1,1,0,1,1,1,0,1,1,0,0,1,0,1,1,0,1,0,0,1,1,1,0,0,0,1,1,1,1,0,0,0,0,1,1,0,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,0,30,2,Unicorn_Absent,-1,-1,0,60,0.9875,35.0,1.0,35.0,0.0,0.515625,RS,RS,0.010228516799093708,0.9875,1.0,0.0,2,0.010228516799093708,0.075
728,10938884,5,109339,Absent,47,1,0,1,1,1,0,1,1,1,0,1,1,0,0,1,0,1,1,0,1,0,0,1,1,1,0,0,0,1,1,1,1,0,0,0,0,1,1,0,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,0,30,2,Unicorn_Absent,-1,-1,0,90,0.9875,35.0,1.0,35.0,0.0,0.515625,RS,RS,0.010228516799093708,0.9875,1.0,0.0,2,0.010228516799093708,0.075
730,10938884,6,109339,Absent,47,1,0,1,1,1,0,1,1,1,0,1,1,0,0,1,0,1,1,0,1,0,0,1,1,1,0,0,0,1,1,1,1,0,0,0,0,1,1,0,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,0,30,2,Unicorn_Absent,-1,-1,0,120,0.9875,35.0,1.0,35.0,0.0,0.515625,RS,RS,0.010228516799093708,0.9875,1.0,0.0,2,0.010228516799093708,0.075
732,10938884,7,109339,Absent,47,1,0,1,1,1,0,1,1,1,0,1,1,0,0,1,0,1,1,0,1,0,0,1,1,1,0,0,0,1,1,1,1,0,0,0,0,1,1,0,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,0,30,2,Unicorn_Absent,-1,-1,0,150,0.9875,35.0,1.0,35.0,0.0,0.515625,RS,RS,0.010228516799093708,0.9875,1.0,0.0,2,0.010228516799093708,0.075
738,10938884,10,109339,Absent,47,1,0,1,1,1,0,1,1,1,0,1,1,0,0,1,0,1,1,0,1,0,0,1,1,1,0,0,0,1,1,1,1,0,0,0,0,1,1,0,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,0,30,2,Unicorn_Absent,-1,-1,0,180,0.9875,35.0,1.0,35.0,0.0,0.515625,RS,RS,0.010228516799093708,0.9875,1.0,0.0,2,0.010228516799093708,0.075
746,10938884,14,109339,Absent,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,21,11,Unicorn_Absent,-1,-1,3,201,0.93125,32.0,0.28846153846153844,42.0,0.0,0.484375,DOWN,DOWN,1.0,0.9875,1.0,0.0,2,0.010228516799093708,0.075
748,10938884,15,109339,Absent,32,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,21,11,Unicorn_Absent,-1,-1,6,222,0.93125,32.0,0.3333333333333333,43.0,0.0,0.5,RIGHT,RIGHT,1.0,0.93125,0.28846153846153844,0.0,11,1.0,0.075
754,10938884,18,109339,Absent,32,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,12,20,Unicorn_Absent,-1,-1,5,234,0.875,32.0,0.0,51.0,0.0,0.484375,LEFT,LEFT,1.0,0.93125,0.3333333333333333,0.0,11,1.0,0.075
756,10938884,19,109339,Absent,45,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,1,1,0,0,1,0,1,1,0,1,1,0,0,0,0,1,0,1,0,1,0,1,1,1,0,1,1,1,1,1,1,0,1,0,1,0,0,0,0,29,3,Unicorn_Absent,-1,-1,0,263,0.98125,30.0,0.4090909090909091,33.0,0.0,0.46875,RS,RS,0.0061027272741740034,0.875,0.0,0.0,20,1.0,0.075
