index,Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,Score,Joint,Is_there,where_x,where_y,Strategy,Ac_Score,Norm_Score,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Category,Category1,Similarity,Norm_Score_LAG1,Consistency_LAG1,Dif_consist_LAG1,Joint_LAG1,Similarity_LAG1,RS
3000,14304385,1,143051,Absent,53,1,1,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,0,1,0,1,1,0,0,0,1,1,1,1,0,1,0,1,1,1,0,0,0,0,1,0,0,0,1,0,1,1,1,0,1,1,1,0,1,0,0,25,7,Unicorn_Absent,-1,-1.0,0,25,0.95625,37.0,1.0,46.0,0.0,0.609375,RS,RS,0.005537830714382473,,,,,,0
3002,14304385,2,143051,Absent,16,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,27,5,Unicorn_Absent,-1,-1.0,0,52,0.96875,15.0,0.13043478260869565,32.0,0.0,0.421875,RS,RS,0.020796234419099814,0.95625,1.0,0.0,7,0.005537830714382473,0
3004,14304385,3,143051,Absent,55,0,1,1,0,1,1,1,0,1,1,1,0,0,0,1,0,0,1,1,1,1,1,1,0,1,0,1,1,0,1,0,0,1,0,0,1,1,0,1,1,0,1,1,1,0,0,1,0,0,1,0,1,1,0,1,1,0,0,1,0,0,1,0,0,14,18,Unicorn_Absent,-1,-1.0,0,66,0.8875,35.0,0.19047619047619047,45.0,0.012787723785166238,0.421875,RS,RS,0.006737946999085467,0.96875,0.13043478260869565,0.0,5,0.020796234419099814,0
3010,14304385,6,143051,Absent,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1.0,0,98,1.0,3.0,0.05555555555555555,20.0,0.012787723785166238,0.3125,RS,RS,0.17692120631776423,0.8875,0.19047619047619047,0.012787723785166238,18,0.006737946999085467,0
3012,14304385,7,143051,Absent,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1.0,0,130,1.0,3.0,1.0,20.0,0.09157509157509158,0.3125,RS,RS,0.17692120631776423,1.0,0.05555555555555555,0.012787723785166238,0,0.17692120631776423,0
3018,14304385,10,143051,Absent,16,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,23,9,Unicorn_Absent,-1,-1.0,0,153,0.94375,13.0,0.0,40.0,0.09157509157509158,0.484375,RS,RS,0.02717246117223556,1.0,1.0,0.09157509157509158,0,0.17692120631776423,0
3020,14304385,11,143051,Absent,41,1,1,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,1,1,1,1,0,0,1,1,0,1,0,1,0,1,1,1,1,1,0,1,0,1,0,1,0,0,0,0,1,1,15,17,Unicorn_Absent,-1,-1.0,0,168,0.89375,31.0,0.15789473684210525,55.0,0.1286549707602339,0.59375,RS,RS,0.006737946999085467,0.94375,0.0,0.09157509157509158,9,0.02717246117223556,0
3026,14304385,14,143051,Absent,42,1,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,1,1,21,11,Unicorn_Absent,-1,-1.0,0,189,0.93125,31.0,0.34782608695652173,40.0,0.1286549707602339,0.453125,RS,RS,0.005537830714382473,0.89375,0.15789473684210525,0.1286549707602339,17,0.006737946999085467,0
3040,14304385,21,143051,Absent,15,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,32,0,Unicorn_Absent,-1,-1.0,0,221,1.0,14.0,0.21621621621621623,19.0,0.0,0.296875,RS,RS,0.023714766002371646,0.93125,0.34782608695652173,0.1286549707602339,11,0.005537830714382473,0
3044,14304385,23,143051,Absent,35,0,0,1,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,1,1,0,1,0,1,1,0,1,1,1,0,1,1,0,0,1,0,1,0,1,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,1,0,27,5,Unicorn_Absent,-1,-1.0,0,248,0.96875,28.0,0.10526315789473684,33.0,0.0,0.4375,RS,RS,0.005034190088132767,1.0,0.21621621621621623,0.0,0,0.023714766002371646,0
