index,Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,Score,Joint,Is_there,where_x,where_y,Strategy,Is_there_LEAD,Category,Category1,RegionGo,indice,Cambio,avScGrpUniPresent,avScGrpUniPresent_LEAD,Ac_Score,Norm_Score,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Similarity,Norm_Score_LAG1,Consistency_LAG1,Dif_consist_LAG1,Joint_LAG1,Similarity_LAG1
0,13841684,1,138429,Absent,24,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,32,0,Unicorn_Absent,-1,-1,0,Unicorn_Absent,RS,RS,RS,0,0,24.491166077738516,24.491166077738516,32,1.0,19.0,,31.0,,0.484375,0.012792465124422179,,,,,
1,13841684,2,138429,Absent,59,0,1,0,0,1,0,1,0,0,1,1,1,1,0,0,1,1,1,0,0,0,0,1,0,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,0,1,0,1,0,1,1,1,1,1,0,1,1,1,1,0,1,7,25,Unicorn_Absent,-1,-1,0,Unicorn_Absent,RS,RS,UP,1,0,24.491166077738516,24.491166077738516,39,0.84375,41.0,0.25,49.0,0.06578947368421054,0.375,0.008264124158046258,1.0,,,0,0.012792465124422179
2,13841684,3,138429,Absent,32,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,Unicorn_Absent,-1,-1,4,Unicorn_Absent,UP,UP,DOWN,2,0,24.491166077738516,24.491166077738516,55,0.9,32.0,0.30357142857142855,48.0,0.0035714285714285587,0.5,1.0,0.84375,0.25,0.06578947368421054,25,0.008264124158046258
3,13841684,4,138429,Absent,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,13,19,Unicorn_Absent,-1,-1,3,Unicorn_Present,DOWN,DOWN,RS,3,0,24.491166077738516,-32.0,68,0.88125,32.0,0.0,52.0,0.42,0.515625,1.0,0.9,0.30357142857142855,0.0035714285714285587,16,1.0
7,13841684,8,138429,Absent,52,1,1,0,1,0,1,0,1,0,0,0,1,1,0,1,1,1,1,0,0,0,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,0,0,1,0,0,1,0,12,20,Unicorn_Absent,-1,-1,0,Unicorn_Present,RS,RS,RS,7,0,24.491166077738516,-64.0,80,0.875,39.0,0.39215686274509803,51.0,0.05253422123566409,0.484375,0.006737946999085467,0.88125,0.0,0.42,19,1.0
9,13841684,10,138429,Absent,48,0,0,0,0,1,1,1,1,0,0,0,1,1,0,1,1,1,1,1,1,1,0,0,0,1,1,0,0,0,1,0,0,1,1,0,1,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,0,1,1,1,0,0,1,1,1,0,1,0,-64,0,Unicorn_Absent,-1,-1,0,Unicorn_Present,RS,RS,NOTHING,9,0,24.491166077738516,-64.0,16,0.4,34.0,0.43137254901960786,34.0,0.43137254901960786,0.53125,0.004180913251655786,0.875,0.39215686274509803,0.05253422123566409,20,0.006737946999085467
12,13841684,13,138429,Absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1,2,Unicorn_Absent,NOTHING,NOTHING,NOTHING,12,0,24.491166077738516,24.491166077738516,48,1.0,0.0,0.0,32.0,0.0,0.5,1.0,0.4,0.43137254901960786,0.43137254901960786,0,0.004180913251655786
13,13841684,14,138429,Absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-16,0,Unicorn_Absent,-1,-1,2,Unicorn_Present,NOTHING,NOTHING,RS,13,0,24.491166077738516,-16.0,32,0.7,0.0,1.0,32.0,0.0,0.5,1.0,1.0,0.0,0.0,0,1.0
16,13841684,17,138429,Absent,36,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,1,1,1,1,1,0,1,1,1,0,1,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,0,0,0,0,1,-64,0,Unicorn_Absent,-1,-1,0,Unicorn_Present,RS,RS,DOWN,16,0,24.491166077738516,-64.0,-32,0.4,28.0,0.0,28.0,0.0,0.4375,0.0061027272741740034,0.7,1.0,0.0,0,1.0
18,13841684,19,138429,Absent,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18,14,Unicorn_Absent,-1,-1,3,Unicorn_Absent,DOWN,DOWN,RS,18,0,24.491166077738516,24.491166077738516,-14,0.9125,32.0,0.25,50.0,0.25,0.5625,1.0,0.4,0.0,0.0,0,0.0061027272741740034
