index,Answer,Dyad,Is_there,Joint,Player,Round,Score,Strategy,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,where_x,where_y,Is_there_LEAD,Category,Category1,RegionGo,indice,Cambio,avScGrpUniPresent,avScGrpUniPresent_LEAD,Ac_Score,Norm_Score,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Similarity,Norm_Score_LAG1,Consistency_LAG1,Dif_consist_LAG1,Joint_LAG1,Similarity_LAG1
0,Absent,10074912,Unicorn_Absent,12,100773,1,20,0,22,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,-1,-1.0,Unicorn_Present,RS,RS,NOTHING,0,0,27.65681896255582,-72.0,20,0.925,19.0,,38.0,,0.40625,0.012792465124422179,,,,,
2,Absent,10074912,Unicorn_Absent,0,100773,3,-64,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1.0,Unicorn_Present,NOTHING,NOTHING,RS,2,0,27.65681896255582,-64.0,-44,0.4,0.0,0.0,0.0,0.0,0.0,1.0,0.925,,,12,0.012792465124422179
4,Absent,10074912,Unicorn_Absent,19,100773,5,13,0,37,1,1,1,0,0,1,0,0,0,0,1,0,1,0,1,0,1,1,1,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,1,1,1,1,1,0,0,1,0,0,1,1,0,0,-1,-1.0,Unicorn_Present,RS,RS,DOWN,4,0,27.65681896255582,-74.0,-31,0.88125,28.0,0.0,44.0,0.0,0.390625,0.005034190088132767,0.4,0.0,0.0,0,1.0
6,Absent,10074912,Unicorn_Absent,16,100773,7,16,3,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1.0,Unicorn_Present,DOWN,DOWN,RS,6,0,27.65681896255582,27.5,-15,0.9,32.0,0.30434782608695654,48.0,0.15217391304347822,0.5,1.0,0.88125,0.0,0.0,19,0.005034190088132767
9,Absent,10074912,Unicorn_Absent,0,100773,10,32,0,58,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,1,0,1,1,1,0,1,1,1,1,0,0,1,1,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,-1,-1.0,Unicorn_Absent,RS,RS,RS,9,0,27.65681896255582,27.65681896255582,17,1.0,35.0,0.3958333333333333,35.0,0.3958333333333333,0.546875,0.004584084770106734,0.9,0.30434782608695654,0.15217391304347822,16,1.0
10,Absent,10074912,Unicorn_Absent,0,100773,11,32,0,23,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,-1,-1.0,Unicorn_Absent,RS,RS,RS,10,0,27.65681896255582,27.65681896255582,49,1.0,18.0,0.2619047619047619,18.0,0.7380952380952381,0.28125,0.01436959609043909,1.0,0.3958333333333333,0.3958333333333333,0,0.004584084770106734
11,Absent,10074912,Unicorn_Absent,0,100773,12,-64,0,20,1,1,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,-1,-1.0,Unicorn_Present,RS,RS,DOWN,11,0,27.65681896255582,-64.0,-15,0.4,19.0,0.1935483870967742,19.0,0.8064516129032258,0.296875,0.012792465124422179,1.0,0.2619047619047619,0.7380952380952381,0,0.01436959609043909
13,Absent,10074912,Unicorn_Absent,32,100773,14,0,3,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1.0,Unicorn_Absent,DOWN,DOWN,RS,13,0,27.65681896255582,27.65681896255582,-15,0.8,32.0,0.21428571428571427,64.0,0.21428571428571427,0.5,1.0,0.4,0.1935483870967742,0.8064516129032258,0,0.012792465124422179
14,Absent,10074912,Unicorn_Absent,12,100773,15,20,0,29,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,1,1,1,0,1,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,-1,-1.0,Unicorn_Present,RS,RS,LEFT,14,0,27.65681896255582,-64.0,5,0.925,23.0,0.25,43.0,0.25,0.484375,0.008264124158046258,0.8,0.21428571428571427,0.21428571428571427,32,1.0
17,Absent,10074912,Unicorn_Absent,0,100773,18,32,5,32,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,-1,-1.0,Unicorn_Present,LEFT,LEFT,LEFT,17,0,27.65681896255582,32.0,37,1.0,32.0,0.25,64.0,0.08333333333333331,1.0,1.0,0.925,0.25,0.25,12,0.008264124158046258
