index,Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,Score,Joint,Is_there,where_x,where_y,Strategy,Ac_Score,Norm_Score,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Category,Category1,Similarity,Norm_Score_LAG1,Consistency_LAG1,Dif_consist_LAG1,Joint_LAG1,Similarity_LAG1,Alpha
4320,10517245,1,105187,Absent,49,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,1,0,0,1,1,0,1,1,1,0,1,1,0,1,0,0,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,32,0,Unicorn_Absent,-1,-1,0,32,1.0,34.0,1.0,34.0,0.0,0.53125,RS,RS,0.005034190088132767,,,,,,150
4322,10517245,2,105187,Absent,49,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,1,0,0,1,1,0,1,1,1,0,1,1,0,1,0,0,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,32,0,Unicorn_Absent,-1,-1,0,64,1.0,34.0,1.0,34.0,0.0,0.53125,RS,RS,0.005034190088132767,1.0,1.0,0.0,0,0.005034190088132767,150
4324,10517245,3,105187,Absent,49,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,1,0,0,1,1,0,1,1,1,0,1,1,0,1,0,0,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,32,0,Unicorn_Absent,-1,-1,0,96,1.0,34.0,1.0,34.0,0.0,0.53125,RS,RS,0.005034190088132767,1.0,1.0,0.0,0,0.005034190088132767,150
4326,10517245,4,105187,Absent,49,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,1,0,0,1,1,0,1,1,1,0,1,1,0,1,0,0,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,32,0,Unicorn_Absent,-1,-1,0,128,1.0,34.0,1.0,34.0,0.0,0.53125,RS,RS,0.005034190088132767,1.0,1.0,0.0,0,0.005034190088132767,150
4328,10517245,5,105187,Absent,49,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,1,0,0,1,1,0,1,1,1,0,1,1,0,1,0,0,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,32,0,Unicorn_Absent,-1,-1,0,160,1.0,34.0,1.0,34.0,0.0,0.53125,RS,RS,0.005034190088132767,1.0,1.0,0.0,0,0.005034190088132767,150
4334,10517245,8,105187,Absent,36,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,17,15,Unicorn_Absent,-1,-1,7,177,0.90625,36.0,0.42857142857142855,48.0,0.0,0.515625,IN,IN,1.0,1.0,1.0,0.0,0,0.005034190088132767,150
4336,10517245,9,105187,Absent,32,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,32,0,Unicorn_Absent,-1,-1,6,209,1.0,32.0,0.36,32.0,0.0,0.5,RIGHT,RIGHT,1.0,0.90625,0.42857142857142855,0.0,15,1.0,150
4340,10517245,11,105187,Absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1,0,241,1.0,0.0,0.0,0.0,0.0,0.0,NOTHING,RS,1.0,1.0,0.36,0.0,0,1.0,150
4342,10517245,12,105187,Absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1,0,273,1.0,0.0,1.0,0.0,0.0,0.0,NOTHING,RS,1.0,1.0,0.0,0.0,0,1.0,150
4344,10517245,13,105187,Absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1,0,305,1.0,0.0,1.0,0.0,0.0,0.0,NOTHING,RS,1.0,1.0,1.0,0.0,0,1.0,150
