index,Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,Score,Joint,Is_there,where_x,where_y,Strategy,Ac_Score,Norm_Score,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Category,Category1,Similarity,Norm_Score_LAG1,Consistency_LAG1,Dif_consist_LAG1,Joint_LAG1,Similarity_LAG1,Delta
1082,12188965,2,121808,Absent,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,31,1,Unicorn_Absent,-1,-1.0,0,31,0.99375,3.0,1.0,28.0,0.0,0.421875,RS,RS,0.17692120631776423,,,,,,0
1084,12188965,3,121808,Absent,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,31,1,Unicorn_Absent,-1,-1.0,0,62,0.99375,3.0,1.0,28.0,0.0,0.421875,RS,RS,0.17692120631776423,0.99375,1.0,0.0,1,0.17692120631776423,0
1086,12188965,4,121808,Absent,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,31,1,Unicorn_Absent,-1,-1.0,0,93,0.99375,3.0,1.0,28.0,0.0,0.421875,RS,RS,0.17692120631776423,0.99375,1.0,0.0,1,0.17692120631776423,0
1088,12188965,5,121808,Absent,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,31,1,Unicorn_Absent,-1,-1.0,0,124,0.99375,3.0,1.0,28.0,0.0,0.421875,RS,RS,0.17692120631776423,0.99375,1.0,0.0,1,0.17692120631776423,0
1090,12188965,6,121808,Absent,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,31,1,Unicorn_Absent,-1,-1.0,0,155,0.99375,3.0,1.0,28.0,0.0,0.421875,RS,RS,0.17692120631776423,0.99375,1.0,0.0,1,0.17692120631776423,0
1096,12188965,9,121808,Absent,41,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,1,1,1,1,0,1,0,1,1,0,0,1,1,1,1,1,1,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1,1,0,1,0,1,1,1,0,0,0,0,1,0,1,1,1,13,19,Unicorn_Absent,-1,-1.0,0,168,0.88125,33.0,0.0,50.0,0.0,0.484375,RS,RS,0.006737946999085467,0.99375,1.0,0.0,1,0.17692120631776423,0
1104,12188965,13,121808,Absent,24,0,1,1,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,21,11,Unicorn_Absent,-1,-1.0,0,189,0.93125,21.0,0.22727272727272727,42.0,0.0,0.484375,RS,RS,0.010228516799093708,0.88125,0.0,0.0,19,0.006737946999085467,0
1106,12188965,14,121808,Absent,6,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,30,2,Unicorn_Absent,-1,-1.0,0,219,0.9875,6.0,0.038461538461538464,28.0,0.0,0.40625,RS,RS,0.08633762966036206,0.93125,0.22727272727272727,0.0,11,0.010228516799093708,0
1108,12188965,15,121808,Absent,6,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,30,2,Unicorn_Absent,-1,-1.0,0,249,0.9875,6.0,1.0,28.0,0.0,0.40625,RS,RS,0.08633762966036206,0.9875,0.038461538461538464,0.0,2,0.08633762966036206,0
1110,12188965,16,121808,Absent,6,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,30,2,Unicorn_Absent,-1,-1.0,0,279,0.9875,6.0,1.0,28.0,0.0,0.40625,RS,RS,0.08633762966036206,0.9875,1.0,0.0,2,0.08633762966036206,0
1116,12188965,19,121808,Absent,57,1,1,1,1,1,1,1,1,0,0,0,1,1,0,1,1,1,1,1,1,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,1,1,0,0,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,0,11,21,Unicorn_Absent,-1,-1.0,0,290,0.86875,40.0,0.12195121951219512,54.0,0.2916666666666667,0.515625,RS,RS,0.009182867495108389,0.9875,1.0,0.0,2,0.08633762966036206,0
1120,12188965,21,121808,Absent,63,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,0,0,1,1,0,1,1,0,0,0,0,1,1,0,1,0,1,0,1,1,0,1,1,1,1,1,1,0,1,0,1,0,1,0,1,1,1,0,0,1,1,0,0,1,1,7,25,Unicorn_Absent,-1,-1.0,0,297,0.84375,42.0,0.5471698113207547,52.0,0.2916666666666667,0.421875,RS,RS,0.009182867495108389,0.86875,0.12195121951219512,0.2916666666666667,21,0.009182867495108389,0
1122,12188965,22,121808,Absent,64,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,32,0,Unicorn_Absent,-1,-1.0,1,329,1.0,64.0,0.65625,64.0,0.13272727272727272,1.0,ALL,ALL,1.0,0.84375,0.5471698113207547,0.2916666666666667,25,0.009182867495108389,0
1134,12188965,28,121808,Absent,64,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,32,0,Unicorn_Absent,-1,-1.0,1,361,1.0,64.0,1.0,64.0,0.13272727272727272,1.0,ALL,ALL,1.0,1.0,0.65625,0.13272727272727272,0,1.0,0
