index,Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,Score,Joint,Is_there,where_x,where_y,Strategy,Ac_Score,Norm_Score,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Category,Category1,Similarity,Norm_Score_LAG1,Consistency_LAG1,Dif_consist_LAG1,Joint_LAG1,Similarity_LAG1,RS
4320,13581881,1,135882,Absent,56,0,0,1,1,1,1,1,0,1,0,0,1,1,0,1,1,0,0,0,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,1,0,1,1,0,1,0,1,1,0,0,1,1,1,1,0,1,1,1,1,1,0,1,0,1,0,1,11,21,Unicorn_Absent,-1,-1.0,0,11,0.86875,39.0,1.0,52.0,0.0,0.484375,RS,RS,0.006737946999085467,,,,,,0.05
4324,13581881,3,135882,Absent,9,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,26,6,Unicorn_Absent,-1,-1.0,0,37,0.9625,9.0,0.043478260869565216,41.0,0.0,0.546875,RS,RS,0.049787068367863944,0.86875,1.0,0.0,21,0.006737946999085467,0.05
4326,13581881,4,135882,Absent,61,0,1,1,1,1,0,1,0,1,0,1,1,1,1,0,1,1,1,0,0,0,1,0,1,0,0,1,0,0,1,1,1,1,1,1,0,1,0,1,1,0,0,0,1,1,1,0,0,1,1,1,0,0,1,0,0,1,0,0,1,1,1,1,0,21,11,Unicorn_Absent,-1,-1.0,0,58,0.93125,37.0,0.21052631578947367,44.0,0.3150123051681706,0.515625,RS,RS,0.005537830714382473,0.9625,0.043478260869565216,0.0,6,0.049787068367863944,0.05
4330,13581881,6,135882,Absent,41,0,0,0,0,1,1,1,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,1,1,1,0,0,0,1,1,0,1,1,1,0,0,0,1,1,1,0,1,0,0,0,1,1,0,0,1,0,0,1,15,17,Unicorn_Absent,-1,-1.0,0,73,0.89375,29.0,0.375,44.0,0.3150123051681706,0.421875,RS,RS,0.006737946999085467,0.93125,0.21052631578947367,0.3150123051681706,11,0.005537830714382473,0.05
4332,13581881,7,135882,Absent,49,0,0,1,1,1,1,0,0,1,0,0,0,1,1,1,1,1,0,1,0,0,0,1,0,1,1,1,0,1,0,1,0,1,1,1,0,0,1,0,1,0,1,1,1,1,1,0,1,0,0,0,0,0,1,1,0,1,1,0,1,0,1,0,0,22,10,Unicorn_Absent,-1,-1.0,0,95,0.9375,34.0,0.3125,43.0,0.062200956937799035,0.515625,RS,RS,0.004180913251655786,0.89375,0.375,0.3150123051681706,17,0.006737946999085467,0.05
4336,13581881,9,135882,Absent,32,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,16,16,Unicorn_Absent,-1,-1.0,6,111,0.9,32.0,0.3469387755102041,51.0,0.062200956937799035,0.546875,RIGHT,RIGHT,1.0,0.9375,0.3125,0.062200956937799035,10,0.004180913251655786,0.05
4342,13581881,12,135882,Absent,22,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,1,1,1,0,0,0,0,1,1,19,13,Unicorn_Absent,-1,-1.0,0,130,0.91875,19.0,0.275,38.0,0.18452380952380953,0.390625,RS,RS,0.012792465124422179,0.9,0.3469387755102041,0.062200956937799035,16,1.0,0.05
4350,13581881,16,135882,Absent,64,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,23,9,Unicorn_Absent,-1,-1.0,1,153,0.94375,64.0,0.296875,64.0,0.18452380952380953,0.859375,ALL,ALL,1.0,0.91875,0.275,0.18452380952380953,13,0.012792465124422179,0.05
4354,13581881,18,135882,Absent,36,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,19,13,Unicorn_Absent,-1,-1.0,7,172,0.91875,36.0,0.5625,45.0,0.03749999999999998,0.5,IN,IN,1.0,0.94375,0.296875,0.18452380952380953,9,1.0,0.05
4356,13581881,19,135882,Absent,60,0,0,1,0,1,0,0,1,0,1,1,1,1,0,0,0,1,1,1,1,1,0,1,1,0,0,1,1,0,1,1,1,1,0,0,1,0,1,1,1,1,0,0,1,0,0,1,1,0,1,1,0,1,1,0,0,1,0,1,1,1,1,1,0,-6,38,Unicorn_Absent,-1,-1.0,0,166,0.7625,38.0,0.4230769230769231,64.0,0.03749999999999998,0.40625,RS,RS,0.0061027272741740034,0.91875,0.5625,0.03749999999999998,13,1.0,0.05
4370,13581881,26,135882,Absent,58,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,0,0,1,1,1,1,1,0,0,0,0,0,1,1,0,0,1,0,1,1,1,0,1,0,1,1,1,0,1,0,1,0,1,0,1,1,0,0,1,1,0,1,0,1,18,14,Unicorn_Absent,-1,-1.0,0,184,0.9125,40.0,0.39285714285714285,48.0,0.06122448979591838,0.53125,RS,RS,0.007454186295369829,0.7625,0.4230769230769231,0.03749999999999998,38,0.0061027272741740034,0.05
4376,13581881,29,135882,Absent,47,1,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,1,1,0,1,1,0,0,1,1,0,1,0,1,1,1,0,0,1,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0,1,1,1,0,0,0,0,1,17,15,Unicorn_Absent,-1,-1.0,0,201,0.90625,33.0,0.37735849056603776,43.0,0.06122448979591838,0.4375,RS,RS,0.008264124158046258,0.9125,0.39285714285714285,0.06122448979591838,14,0.007454186295369829,0.05
4378,13581881,30,135882,Absent,61,1,1,1,0,0,1,1,1,1,0,1,1,0,1,0,1,1,0,0,1,1,1,0,1,0,1,1,1,1,0,0,0,1,0,1,1,0,1,1,0,1,0,0,1,0,1,0,1,0,0,1,1,0,1,0,0,1,1,1,1,1,1,0,0,13,19,Unicorn_Absent,-1,-1.0,0,214,0.88125,38.0,0.39215686274509803,45.0,0.065,0.40625,RS,RS,0.0061027272741740034,0.90625,0.37735849056603776,0.06122448979591838,15,0.008264124158046258,0.05
4386,13581881,34,135882,Absent,49,1,1,1,0,0,0,1,0,0,1,1,1,1,1,0,0,1,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,0,0,1,0,1,0,0,1,1,1,1,1,1,25,7,Unicorn_Absent,-1,-1.0,0,239,0.95625,37.0,0.5,42.0,0.065,0.546875,RS,RS,0.005537830714382473,0.88125,0.39215686274509803,0.065,19,0.0061027272741740034,0.05
4390,13581881,36,135882,Absent,19,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,23,9,Unicorn_Absent,-1,-1.0,0,262,0.94375,16.0,0.20454545454545456,44.0,0.12544642857142857,0.546875,RS,RS,0.01831563888873418,0.95625,0.5,0.065,7,0.005537830714382473,0.05
