index,Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,Score,Joint,Is_there,where_x,where_y,Strategy,Ac_Score,Norm_Score,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Category,Category1,Similarity,Norm_Score_LAG1,Consistency_LAG1,Dif_consist_LAG1,Joint_LAG1,Similarity_LAG1,Zeta
4440,13506407,1,135050,Absent,54,1,0,1,1,1,1,1,0,0,1,1,0,1,0,1,1,0,0,0,1,1,1,0,1,0,1,1,1,1,0,0,0,1,0,0,1,0,1,0,1,1,1,1,1,1,1,0,0,1,0,1,0,1,1,0,1,1,0,1,1,0,0,1,0,17,15,Unicorn_Absent,-1,-1.0,0,17,0.90625,38.0,1.0,45.0,0.0,0.46875,RS,RS,0.0061027272741740034,,,,,,0
4448,13506407,5,135050,Absent,29,1,0,1,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,1,1,1,24,8,Unicorn_Absent,-1,-1.0,0,41,0.95,24.0,0.37777777777777777,39.0,0.0,0.484375,RS,RS,0.007454186295369829,0.90625,1.0,0.0,15,0.0061027272741740034,0
4452,13506407,7,135050,Absent,40,1,1,1,1,0,1,1,0,0,0,1,1,0,1,0,1,1,1,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0,1,1,1,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,1,1,1,0,1,9,23,Unicorn_Absent,-1,-1.0,0,50,0.85625,32.0,0.3023255813953488,52.0,0.16156156156156154,0.453125,RS,RS,0.004180913251655786,0.95,0.37777777777777777,0.0,8,0.007454186295369829,0
4454,13506407,8,135050,Absent,61,1,0,1,0,0,1,1,1,1,1,0,1,0,1,0,0,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1,0,1,0,1,0,0,0,1,1,1,14,18,Unicorn_Absent,-1,-1.0,0,64,0.8875,37.0,0.38,51.0,0.16156156156156154,0.515625,RS,RS,0.005537830714382473,0.85625,0.3023255813953488,0.16156156156156154,23,0.004180913251655786,0
4458,13506407,10,135050,Absent,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,2,Unicorn_Absent,-1,-1.0,0,94,0.9875,4.0,0.025,36.0,0.10192973775358732,0.53125,RS,RS,0.1353352832366127,0.8875,0.38,0.16156156156156154,18,0.005537830714382473,0
4462,13506407,12,135050,Absent,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,1,Unicorn_Absent,-1,-1.0,0,125,0.99375,5.0,0.0,21.0,0.10192973775358732,0.3125,RS,RS,0.10687792566038574,0.9875,0.025,0.10192973775358732,2,0.1353352832366127,0
4464,13506407,13,135050,Absent,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,1,Unicorn_Absent,-1,-1.0,0,156,0.99375,5.0,1.0,21.0,0.062307692307692286,0.3125,RS,RS,0.10687792566038574,0.99375,0.0,0.10192973775358732,1,0.10687792566038574,0
4466,13506407,14,135050,Absent,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,1,Unicorn_Absent,-1,-1.0,0,187,0.99375,5.0,1.0,21.0,0.062307692307692286,0.3125,RS,RS,0.10687792566038574,0.99375,1.0,0.062307692307692286,1,0.10687792566038574,0
4472,13506407,17,135050,Absent,56,0,1,1,1,1,1,0,1,0,1,1,0,0,1,1,1,1,0,0,0,0,1,0,1,1,1,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,25,7,Unicorn_Absent,-1,-1.0,0,212,0.95625,37.0,0.024390243902439025,41.0,0.44166666666666665,0.53125,RS,RS,0.005537830714382473,0.99375,1.0,0.062307692307692286,1,0.10687792566038574,0
4474,13506407,18,135050,Absent,28,0,1,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,1,1,0,1,0,0,0,0,1,0,0,1,0,0,30,2,Unicorn_Absent,-1,-1.0,0,242,0.9875,24.0,0.22,28.0,0.44166666666666665,0.40625,RS,RS,0.007454186295369829,0.95625,0.024390243902439025,0.44166666666666665,7,0.005537830714382473,0
