index,Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,Score,Joint,Is_there,where_x,where_y,Strategy,Is_there_LEAD,Category,Category1,RegionGo,indice,Cambio,avScGrpUniPresent,avScGrpUniPresent_LEAD,Ac_Score,Norm_Score,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Similarity,Norm_Score_LAG1,Consistency_LAG1,Dif_consist_LAG1,Joint_LAG1,Similarity_LAG1
0,10658458,1,106506,Absent,26,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,23,9,Unicorn_Absent,-1,-1,0,Unicorn_Present,RS,RS,RS,0,0,26.85672299779574,-22.0,23,0.94375,22.0,,37.0,,0.4375,0.009182867495108389,,,,,
3,10658458,4,106506,Absent,44,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0,1,1,1,0,0,1,1,1,0,1,0,1,0,1,0,1,1,1,1,0,0,0,0,1,1,1,0,1,1,1,0,1,0,1,0,1,0,1,20,12,Unicorn_Absent,-1,-1,0,Unicorn_Present,RS,RS,LEFT,3,0,26.85672299779574,-16.0,43,0.925,34.0,0.4,40.0,0.1647058823529412,0.4375,0.0061027272741740034,0.94375,,,9,0.009182867495108389
6,10658458,7,106506,Absent,32,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,32,0,Unicorn_Absent,-1,-1,5,Unicorn_Absent,LEFT,LEFT,LEFT,6,0,26.85672299779574,26.85672299779574,75,1.0,32.0,0.43478260869565216,32.0,0.43478260869565216,0.5,1.0,0.925,0.4,0.1647058823529412,12,0.0061027272741740034
7,10658458,8,106506,Absent,32,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,32,0,Unicorn_Absent,-1,-1,5,Unicorn_Absent,LEFT,LEFT,LEFT,7,0,26.85672299779574,26.85672299779574,107,1.0,32.0,1.0,32.0,0.0,0.5,1.0,1.0,0.43478260869565216,0.43478260869565216,0,1.0
8,10658458,9,106506,Absent,32,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,-64,0,Unicorn_Absent,-1,-1,5,Unicorn_Present,LEFT,LEFT,RIGHT,8,0,26.85672299779574,-64.0,43,0.4,32.0,1.0,32.0,0.0,0.5,1.0,1.0,1.0,0.0,0,1.0
10,10658458,11,106506,Absent,32,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,24,8,Unicorn_Absent,-1,-1,6,Unicorn_Absent,RIGHT,RIGHT,RS,10,0,26.85672299779574,26.85672299779574,67,0.95,32.0,0.0,43.0,0.0,0.546875,1.0,0.4,1.0,0.0,0,1.0
11,10658458,12,106506,Absent,8,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,29,3,Unicorn_Absent,-1,-1,0,Unicorn_Present,RS,RS,RS,11,0,26.85672299779574,31.0,96,0.98125,7.0,0.11428571428571428,36.0,0.01904761904761905,0.515625,0.07095202666684558,0.95,0.0,0.0,8,1.0
13,10658458,14,106506,Absent,36,0,1,0,1,0,1,1,1,1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,1,1,0,0,1,0,1,0,0,1,0,1,0,20,12,Unicorn_Absent,-1,-1,0,Unicorn_Absent,RS,RS,NOTHING,13,0,26.85672299779574,26.85672299779574,116,0.925,28.0,0.25,43.0,0.03260869565217389,0.484375,0.005034190088132767,0.98125,0.11428571428571428,0.01904761904761905,3,0.07095202666684558
14,10658458,15,106506,Absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1,2,Unicorn_Present,NOTHING,NOTHING,NOTHING,14,0,26.85672299779574,32.0,148,1.0,0.0,0.0,1.0,0.037037037037037035,0.015625,1.0,0.925,0.25,0.03260869565217389,12,0.005034190088132767
16,10658458,17,106506,Absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-64,0,Unicorn_Absent,-1,-1,2,Unicorn_Present,NOTHING,NOTHING,DOWN,16,0,26.85672299779574,-64.0,84,0.4,0.0,1.0,30.0,0.9666666666666667,0.46875,1.0,1.0,0.0,0.037037037037037035,0,1.0
