index,Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,Score,Joint,Is_there,where_x,where_y,Strategy,Is_there_LEAD,Category,Category1,RegionGo,indice,Cambio,avScGrpUniPresent,avScGrpUniPresent_LEAD,Ac_Score,Norm_Score,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Similarity,Norm_Score_LAG1,Consistency_LAG1,Dif_consist_LAG1,Joint_LAG1,Similarity_LAG1
0,18938529,1,189338,Absent,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,27,5,Unicorn_Absent,-1,-1,0,Unicorn_Present,RS,RS,RS,0,0,23.666666666666668,-17.0,27,0.96875,9.0,,36.0,,0.484375,0.049787068367863944,,,,,
3,18938529,4,189338,Absent,11,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,31,1,Unicorn_Absent,-1,-1,0,Unicorn_Absent,RS,RS,RS,3,0,23.666666666666668,23.666666666666668,58,0.99375,11.0,0.1111111111111111,20.0,0.0888888888888889,0.296875,0.03627506129959581,0.96875,,,5,0.049787068367863944
4,18938529,5,189338,Absent,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-65,0,Unicorn_Absent,-1,-1,0,Unicorn_Present,RS,RS,RS,4,0,23.666666666666668,-65.0,-7,0.39375,3.0,0.0,11.0,0.125,0.171875,0.17692120631776423,0.99375,0.1111111111111111,0.0888888888888889,1,0.03627506129959581
6,18938529,7,189338,Absent,24,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,1,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,24,8,Unicorn_Absent,-1,-1,0,Unicorn_Absent,RS,RS,RS,6,0,23.666666666666668,23.666666666666668,17,0.95,20.0,0.15,44.0,0.007142857142857145,0.5625,0.01142289099346694,0.39375,0.0,0.125,0,0.17692120631776423
7,18938529,8,189338,Absent,58,0,1,0,1,1,0,1,1,0,1,0,0,1,1,1,0,1,1,0,0,1,0,0,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,0,0,0,1,0,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,1,1,10,22,Unicorn_Absent,-1,-1,0,Unicorn_Present,RS,RS,RS,7,0,23.666666666666668,31.5,27,0.8625,39.0,0.20408163265306123,55.0,0.1959183673469388,0.515625,0.006737946999085467,0.95,0.15,0.007142857142857145,8,0.01142289099346694
10,18938529,11,189338,Absent,52,1,1,1,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,1,1,1,0,1,0,1,1,0,0,0,1,1,1,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,1,0,17,15,Unicorn_Absent,-1,-1,0,Unicorn_Present,RS,RS,LEFT,10,0,23.666666666666668,-67.0,44,0.90625,32.0,0.42,49.0,0.019999999999999962,0.53125,0.005034190088132767,0.8625,0.20408163265306123,0.1959183673469388,22,0.006737946999085467
12,18938529,13,189338,Absent,32,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,31,1,Unicorn_Absent,-1,-1,5,Unicorn_Absent,LEFT,LEFT,LEFT,12,0,23.666666666666668,23.666666666666668,75,0.99375,32.0,0.391304347826087,33.0,0.36100131752305664,0.5,1.0,0.90625,0.42,0.019999999999999962,15,0.005034190088132767
13,18938529,14,189338,Absent,32,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,16,16,Unicorn_Absent,-1,-1,5,Unicorn_Absent,LEFT,LEFT,RS,13,0,23.666666666666668,23.666666666666668,91,0.9,32.0,1.0,48.0,0.9696969696969697,0.5,1.0,0.99375,0.391304347826087,0.36100131752305664,1,1.0
14,18938529,15,189338,Absent,56,0,0,0,0,1,0,0,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,1,0,0,1,0,1,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,1,1,1,0,1,0,0,30,2,Unicorn_Absent,-1,-1,0,Unicorn_Absent,RS,RS,RS,14,0,23.666666666666668,23.666666666666668,121,0.9875,35.0,0.425531914893617,38.0,0.33729662077596995,0.5625,0.005537830714382473,0.9,1.0,0.9696969696969697,16,1.0
15,18938529,16,189338,Absent,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,3,Unicorn_Absent,-1,-1,0,Unicorn_Absent,RS,RS,RS,15,0,23.666666666666668,23.666666666666668,150,0.98125,7.0,0.07692307692307693,42.0,0.025641025641025633,0.609375,0.07095202666684558,0.9875,0.425531914893617,0.33729662077596995,2,0.005537830714382473
