index,Answer,Dyad,Is_there,Joint,Player,Round,Score,Strategy,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,where_x,where_y,Is_there_LEAD,Category,Category1,RegionGo,indice,Cambio,avScGrpUniPresent,avScGrpUniPresent_LEAD,Ac_Score,Norm_Score,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Similarity,Norm_Score_LAG1,Consistency_LAG1,Dif_consist_LAG1,Joint_LAG1,Similarity_LAG1
0,Absent,10078517,Unicorn_Absent,17,100701,1,15,0,44,0,0,0,1,1,1,1,1,1,0,0,1,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1,1,0,1,1,1,0,1,0,0,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,0,1,0,1,1,0,1,1,0,0,0,0,1,-1,-1,Unicorn_Absent,RS,RS,RS,0,0,28.19078947368421,28.19078947368421,15,0.89375,36.0,,50.0,,0.515625,0.005034190088132767,,,,,
1,Absent,10078517,Unicorn_Absent,0,100701,2,-64,0,10,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,-1,-1,Unicorn_Present,RS,RS,RS,1,0,28.19078947368421,-64.0,-49,0.4,9.0,0.07142857142857142,9.0,0.07142857142857142,0.140625,0.049787068367863944,0.89375,,,17,0.005034190088132767
3,Absent,10078517,Unicorn_Absent,13,100701,4,19,0,41,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,-1,Unicorn_Present,RS,RS,LEFT,3,0,28.19078947368421,-20.5,-30,0.91875,32.0,0.07894736842105263,51.0,0.07894736842105263,0.59375,0.007454186295369829,0.4,0.07142857142857142,0.07142857142857142,0,0.049787068367863944
6,Absent,10078517,Unicorn_Absent,0,100701,7,32,5,32,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,-1,-1,Unicorn_Absent,LEFT,LEFT,LEFT,6,0,28.19078947368421,28.19078947368421,2,1.0,32.0,0.4222222222222222,32.0,0.4222222222222222,0.5,1.0,0.91875,0.07894736842105263,0.07894736842105263,13,0.007454186295369829
7,Absent,10078517,Unicorn_Absent,0,100701,8,32,5,32,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,-1,-1,Unicorn_Absent,LEFT,LEFT,LEFT,7,0,28.19078947368421,28.19078947368421,34,1.0,32.0,1.0,32.0,0.0,0.5,1.0,1.0,0.4222222222222222,0.4222222222222222,0,1.0
8,Absent,10078517,Unicorn_Absent,0,100701,9,32,5,32,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,-1,-1,Unicorn_Absent,LEFT,LEFT,LEFT,8,0,28.19078947368421,28.19078947368421,66,1.0,32.0,1.0,32.0,0.0,0.5,1.0,1.0,1.0,0.0,0,1.0
9,Absent,10078517,Unicorn_Absent,0,100701,10,-64,5,32,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,-1,-1,Unicorn_Present,LEFT,LEFT,NOTHING,9,0,28.19078947368421,-64.0,2,0.4,32.0,1.0,32.0,0.0,0.5,1.0,1.0,1.0,0.0,0,1.0
11,Absent,10078517,Unicorn_Absent,0,100701,12,32,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,Unicorn_Absent,NOTHING,NOTHING,NOTHING,11,0,28.19078947368421,28.19078947368421,34,1.0,0.0,0.0,32.0,0.0,0.5,1.0,0.4,1.0,0.0,0,1.0
12,Absent,10078517,Unicorn_Absent,0,100701,13,-64,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,Unicorn_Present,NOTHING,NOTHING,RS,12,0,28.19078947368421,-64.0,-30,0.4,0.0,1.0,32.0,0.0,0.5,1.0,1.0,0.0,0.0,0,1.0
14,Absent,10078517,Unicorn_Absent,0,100701,15,32,0,24,1,0,1,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,-1,-1,Unicorn_Absent,RS,RS,RS,14,0,28.19078947368421,28.19078947368421,2,1.0,21.0,0.0,21.0,0.0,0.328125,0.010228516799093708,0.4,1.0,0.0,0,1.0
15,Absent,10078517,Unicorn_Absent,0,100701,16,32,0,30,0,0,0,1,1,0,1,0,1,1,1,0,1,0,0,1,1,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,1,0,0,1,1,1,0,0,1,0,-1,-1,Unicorn_Absent,RS,RS,RS,15,0,28.19078947368421,28.19078947368421,34,1.0,26.0,0.09302325581395349,26.0,0.9069767441860466,0.40625,0.0061027272741740034,1.0,0.0,0.0,0,0.010228516799093708
16,Absent,10078517,Unicorn_Absent,0,100701,17,32,0,35,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,1,1,0,1,1,0,1,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,-1,-1,Unicorn_Absent,RS,RS,RS,16,0,28.19078947368421,28.19078947368421,66,1.0,28.0,0.2857142857142857,28.0,0.7142857142857143,0.4375,0.0061027272741740034,1.0,0.09302325581395349,0.9069767441860466,0,0.0061027272741740034
