level_0,index,Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,Score,Joint,Is_there,where_x,where_y,Strategy,Ac_Score,Norm_Score,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Category,Distancias,Norm_Score_LAG1,Consistency_LAG1,Dif_consist_LAG1,Joint_LAG1,Distancias_LAG1
1750,3604,10717487,3,10716,Absent,61,0,1,1,0,1,0,0,0,1,0,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,1,1,0,1,0,1,1,0,0,1,1,1,1,0,0,1,0,1,1,1,0,1,0,1,1,0,0,1,0,0,1,1,1,1,19,13,Unicorn_Absent,-1,-1.0,0,-27,0.91875,40.0,1.0,48.0,0.0,0.546875,RS,0.14646961601798344,,,,,
1752,3608,10717487,5,10716,Absent,61,0,1,1,0,1,0,0,0,1,0,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,1,1,0,1,0,1,1,0,0,1,1,1,1,0,0,1,0,1,1,1,0,1,0,1,1,0,0,1,0,0,1,1,1,1,19,13,Unicorn_Absent,-1,-1.0,0,-85,0.91875,40.0,1.0,48.0,0.0,0.546875,RS,0.14646961601798344,0.91875,1.0,0.0,13,0.14646961601798344
1754,3610,10717487,6,10716,Absent,61,0,1,1,0,1,0,0,0,1,0,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,1,1,0,1,0,1,1,0,0,1,1,1,1,0,0,1,0,1,1,1,0,1,0,1,1,0,0,1,0,0,1,1,1,1,19,13,Unicorn_Absent,-1,-1.0,0,-66,0.91875,40.0,1.0,48.0,0.0,0.546875,RS,0.14646961601798344,0.91875,1.0,0.0,13,0.14646961601798344
1756,3624,10717487,13,10716,Absent,60,0,0,0,1,0,1,1,1,1,0,1,1,0,1,0,1,1,1,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,14,18,Unicorn_Absent,-1,-1.0,0,-3,0.8875,39.0,0.3620689655172414,55.0,0.0,0.578125,RS,0.14646961601798344,0.91875,1.0,0.0,13,0.14646961601798344
1758,3632,10717487,17,10716,Absent,47,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,1,1,1,0,1,1,1,0,1,1,0,1,0,0,1,1,0,0,0,0,1,0,1,1,1,0,0,0,1,21,11,Unicorn_Absent,-1,-1.0,0,94,0.93125,32.0,0.4489795918367347,53.0,0.0,0.65625,RS,0.18818508442027443,0.8875,0.3620689655172414,0.0,18,0.14646961601798344
1760,3636,10717487,19,10716,Absent,15,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,26,6,Unicorn_Absent,-1,-1.0,0,152,0.9625,13.0,0.18421052631578946,41.0,0.0,0.546875,RS,0.32546601999734803,0.93125,0.4489795918367347,0.0,11,0.18818508442027443
1762,3638,10717487,20,10716,Absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1.0,2,184,1.0,0.0,0.0,34.0,0.13984674329501917,0.53125,NOTHING,0.6542510918525355,0.9625,0.18421052631578946,0.0,6,0.32546601999734803
1764,3640,10717487,21,10716,Absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1.0,2,216,1.0,0.0,1.0,37.0,0.13984674329501917,0.578125,NOTHING,0.6542510918525355,1.0,0.0,0.13984674329501917,0,0.6542510918525355
1766,3642,10717487,22,10716,Absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1.0,2,248,1.0,0.0,1.0,13.0,0.10204081632653061,0.203125,NOTHING,0.6542510918525355,1.0,1.0,0.13984674329501917,0,0.6542510918525355
1768,3646,10717487,24,10716,Absent,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,28,4,Unicorn_Absent,-1,-1.0,3,212,0.975,32.0,0.0,38.0,0.10204081632653061,0.53125,DOWN,0.17389813739634405,1.0,1.0,0.10204081632653061,0,0.6542510918525355
