index,Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,Score,Joint,Is_there,where_x,where_y,Strategy,Ac_Score,Norm_Score,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Category,Category1,Similarity,Norm_Score_LAG1,Consistency_LAG1,Dif_consist_LAG1,Joint_LAG1,Similarity_LAG1
4801,12953872,1,38728,Absent,23,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,30,2,Unicorn_Absent,-1,-1.0,9,30,0.9875,16.0,1.0,26.0,0.0,0.375,RS,RS,0.01831563888873418,,,,,
4805,12953872,3,38728,Absent,23,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,30,2,Unicorn_Absent,-1,-1.0,9,60,0.9875,16.0,1.0,26.0,0.0,0.375,RS,RS,0.01831563888873418,0.9875,1.0,0.0,2,0.01831563888873418
4811,12953872,6,38728,Absent,52,1,0,1,1,1,1,1,0,1,0,0,1,1,0,0,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,0,1,1,1,1,0,0,0,0,0,1,0,1,0,1,1,1,1,0,1,0,0,1,1,1,1,0,1,0,1,0,0,1,29,3,Unicorn_Absent,-1,-1.0,9,89,0.98125,39.0,0.1702127659574468,41.0,0.0,0.59375,RS,RS,0.006737946999085467,0.9875,1.0,0.0,2,0.01831563888873418
4819,12953872,10,38728,Absent,28,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,19,13,Unicorn_Absent,-1,-1.0,8,108,0.91875,28.0,0.3673469387755102,43.0,0.0,0.46875,OUT,OUT,1.0,0.98125,0.1702127659574468,0.0,3,0.006737946999085467
4823,12953872,12,38728,Absent,30,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,1,1,0,0,0,14,18,Unicorn_Absent,-1,-1.0,9,122,0.8875,24.0,0.23809523809523808,38.0,0.1702127659574468,0.3125,RS,RS,0.01142289099346694,0.91875,0.3673469387755102,0.0,13,1.0
4827,12953872,14,38728,Absent,40,0,1,1,1,1,1,0,1,0,0,0,1,1,0,1,0,1,1,1,1,1,0,1,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,1,1,0,0,0,1,0,0,1,1,0,12,20,Unicorn_Absent,-1,-1.0,9,134,0.875,31.0,0.1956521739130435,43.0,0.1702127659574468,0.359375,RS,RS,0.008264124158046258,0.8875,0.23809523809523808,0.1702127659574468,18,0.01142289099346694
4829,12953872,15,38728,Absent,32,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,18,14,Unicorn_Absent,-1,-1.0,6,152,0.9125,32.0,0.3125,41.0,0.30283080974325216,0.421875,RIGHT,RIGHT,1.0,0.875,0.1956521739130435,0.1702127659574468,20,0.008264124158046258
4831,12953872,16,38728,Absent,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1.0,9,184,1.0,1.0,0.0,43.0,0.30283080974325216,0.671875,RS,RS,0.36787944117144233,0.9125,0.3125,0.30283080974325216,14,1.0
4835,12953872,18,38728,Absent,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1.0,9,216,1.0,1.0,1.0,43.0,0.06625258799171846,0.671875,RS,RS,0.36787944117144233,1.0,0.0,0.30283080974325216,0,0.36787944117144233
4841,12953872,21,38728,Absent,36,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,14,18,Unicorn_Absent,-1,-1.0,7,230,0.8875,36.0,0.027777777777777776,50.0,0.06625258799171846,0.5,IN,IN,1.0,1.0,1.0,0.06625258799171846,0,0.36787944117144233
4843,12953872,22,38728,Absent,64,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,31,Unicorn_Absent,-1,-1.0,1,231,0.80625,64.0,0.5625,64.0,0.13768115942028983,0.515625,ALL,ALL,1.0,0.8875,0.027777777777777776,0.06625258799171846,18,1.0
4865,12953872,33,38728,Absent,13,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,25,7,Unicorn_Absent,-1,-1.0,9,256,0.95625,11.0,0.171875,36.0,0.13768115942028983,0.453125,RS,RS,0.03627506129959581,0.80625,0.5625,0.13768115942028983,31,1.0
4869,12953872,35,38728,Absent,59,1,1,1,0,1,1,1,1,0,0,0,1,1,1,0,1,0,0,1,1,0,0,0,1,1,1,0,0,0,1,1,1,1,1,0,0,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,0,0,1,0,1,1,1,0,1,0,23,9,Unicorn_Absent,-1,-1.0,9,279,0.94375,41.0,0.18181818181818182,45.0,0.0625,0.5625,RS,RS,0.008264124158046258,0.95625,0.171875,0.13768115942028983,7,0.03627506129959581
4873,12953872,37,38728,Absent,36,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1.0,7,311,1.0,36.0,0.4,64.0,0.0625,1.0,IN,IN,1.0,0.94375,0.18181818181818182,0.0625,9,0.008264124158046258
4875,12953872,38,38728,Absent,36,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1.0,7,343,1.0,36.0,1.0,64.0,0.3,1.0,IN,IN,1.0,1.0,0.4,0.0625,0,1.0
4877,12953872,39,38728,Absent,36,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1.0,7,375,1.0,36.0,1.0,64.0,0.3,1.0,IN,IN,1.0,1.0,1.0,0.3,0,1.0
4883,12953872,42,38728,Absent,36,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1.0,7,407,1.0,36.0,1.0,64.0,0.0,1.0,IN,IN,1.0,1.0,1.0,0.3,0,1.0
4891,12953872,46,38728,Absent,36,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1.0,7,439,1.0,36.0,1.0,64.0,0.0,1.0,IN,IN,1.0,1.0,1.0,0.0,0,1.0
4899,12953872,50,38728,Absent,36,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1.0,7,471,1.0,36.0,1.0,64.0,0.34259259259259256,1.0,IN,IN,1.0,1.0,1.0,0.0,0,1.0
4907,12953872,54,38728,Absent,36,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1.0,7,503,1.0,36.0,1.0,64.0,0.34259259259259256,1.0,IN,IN,1.0,1.0,1.0,0.34259259259259256,0,1.0
4911,12953872,56,38728,Absent,36,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1.0,7,535,1.0,36.0,1.0,64.0,0.25,1.0,IN,IN,1.0,1.0,1.0,0.34259259259259256,0,1.0
