level_0,index,Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,Score,Joint,Is_there,where_x,where_y,Strategy,Is_there_LEAD,Category,Category1,RegionGo,indice,Cambio,avScGrpUniPresent,avScGrpUniPresent_LEAD,Ac_Score,Norm_Score,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Similarity,Norm_Score_LAG1,Consistency_LAG1,Dif_consist_LAG1,Joint_LAG1,Similarity_LAG1
0,0,10155995,1,101598,Absent,45,0,0,1,0,0,1,1,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1,1,0,1,1,0,0,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,0,1,0,1,0,0,0,1,1,0,1,0,12,20,Unicorn_Absent,-1,-1.0,0,Unicorn_Absent,RS,RS,RS,0,0,21.992751180040457,21.992751180040457,12,0.875,35,,48.0,,0.4375,0.006737946999085467,,,,,
1,0,10155995,2,101598,Absent,45,0,0,1,0,0,1,1,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1,1,0,1,1,0,0,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,0,1,0,1,0,0,0,1,1,0,1,0,12,20,Unicorn_Absent,-1,-1.0,0,Unicorn_Absent,RS,RS,RS,1,0,21.992751180040457,21.992751180040457,24,0.875,35,1.0,48.0,0.0,0.4375,0.006737946999085467,0.875,,,20.0,0.006737946999085467
2,0,10155995,3,101598,Absent,45,0,0,1,0,0,1,1,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1,1,0,1,1,0,0,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,0,1,0,1,0,0,0,1,1,0,1,0,12,20,Unicorn_Absent,-1,-1.0,0,Unicorn_Present,RS,RS,RS,2,0,21.992751180040457,27.0,36,0.875,35,1.0,48.0,0.0,0.4375,0.006737946999085467,0.875,1.0,0.0,20.0,0.006737946999085467
5,0,10155995,6,101598,Absent,45,0,0,1,0,0,1,1,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1,1,0,1,1,0,0,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,0,1,0,1,0,0,0,1,1,0,1,0,12,20,Unicorn_Absent,-1,-1.0,0,Unicorn_Absent,RS,RS,RS,5,0,21.992751180040457,21.992751180040457,48,0.875,35,1.0,48.0,0.0,0.4375,0.006737946999085467,0.875,1.0,0.0,20.0,0.006737946999085467
6,0,10155995,7,101598,Absent,45,0,0,1,0,0,1,1,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1,1,0,1,1,0,0,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,0,1,0,1,0,0,0,1,1,0,1,0,12,20,Unicorn_Absent,-1,-1.0,0,Unicorn_Present,RS,RS,RS,6,0,21.992751180040457,19.0,60,0.875,35,1.0,48.0,0.0,0.4375,0.006737946999085467,0.875,1.0,0.0,20.0,0.006737946999085467
8,0,10155995,9,101598,Absent,45,0,0,1,0,0,1,1,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1,1,0,1,1,0,0,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,0,1,0,1,0,0,0,1,1,0,1,0,12,20,Unicorn_Absent,-1,-1.0,0,Unicorn_Absent,RS,RS,RS,8,0,21.992751180040457,21.992751180040457,72,0.875,35,1.0,48.0,0.0,0.4375,0.006737946999085467,0.875,1.0,0.0,20.0,0.006737946999085467
9,0,10155995,10,101598,Absent,45,0,0,1,0,0,1,1,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1,1,0,1,1,0,0,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,0,1,0,1,0,0,0,1,1,0,1,0,12,20,Unicorn_Absent,-1,-1.0,0,Unicorn_Present,RS,RS,RS,9,0,21.992751180040457,22.0,84,0.875,35,1.0,48.0,0.0,0.4375,0.006737946999085467,0.875,1.0,0.0,20.0,0.006737946999085467
11,0,10155995,12,101598,Absent,45,0,0,1,0,0,1,1,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1,1,0,1,1,0,0,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,0,1,0,1,0,0,0,1,1,0,1,0,12,20,Unicorn_Absent,-1,-1.0,0,Unicorn_Absent,RS,RS,RS,11,0,21.992751180040457,21.992751180040457,96,0.875,35,1.0,48.0,0.0,0.4375,0.006737946999085467,0.875,1.0,0.0,20.0,0.006737946999085467
12,0,10155995,13,101598,Absent,45,0,0,1,0,0,1,1,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1,1,0,1,1,0,0,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,0,1,0,1,0,0,0,1,1,0,1,0,12,20,Unicorn_Absent,-1,-1.0,0,Unicorn_Present,RS,RS,RS,12,0,21.992751180040457,-10.0,108,0.875,35,1.0,48.0,0.0,0.4375,0.006737946999085467,0.875,1.0,0.0,20.0,0.006737946999085467
16,0,10155995,17,101598,Absent,45,0,0,1,0,0,1,1,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1,1,0,1,1,0,0,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,0,1,0,1,0,0,0,1,1,0,1,0,12,20,Unicorn_Absent,-1,-1.0,0,Unicorn_Present,RS,RS,RS,16,0,21.992751180040457,14.0,120,0.875,35,1.0,48.0,0.0,0.4375,0.006737946999085467,0.875,1.0,0.0,20.0,0.006737946999085467
18,0,10155995,19,101598,Absent,45,0,0,1,0,0,1,1,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1,1,0,1,1,0,0,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,0,1,0,1,0,0,0,1,1,0,1,0,12,20,Unicorn_Absent,-1,-1.0,0,Unicorn_Present,RS,RS,RS,18,0,21.992751180040457,-84.0,132,0.875,35,1.0,48.0,0.0,0.4375,0.006737946999085467,0.875,1.0,0.0,20.0,0.006737946999085467
20,0,10155995,21,101598,Absent,45,0,0,1,0,0,1,1,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1,1,0,1,1,0,0,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,0,1,0,1,0,0,0,1,1,0,1,0,12,20,Unicorn_Absent,-1,-1.0,0,Unicorn_Present,RS,RS,RS,20,0,21.992751180040457,32.0,144,0.875,35,1.0,48.0,0.0,0.4375,0.006737946999085467,0.875,1.0,0.0,20.0,0.006737946999085467
22,0,10155995,23,101598,Absent,45,0,0,1,0,0,1,1,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1,1,0,1,1,0,0,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,0,1,0,1,0,0,0,1,1,0,1,0,12,20,Unicorn_Absent,-1,-1.0,0,Unicorn_Absent,RS,RS,RS,22,0,21.992751180040457,21.992751180040457,156,0.875,35,1.0,48.0,0.0,0.4375,0.006737946999085467,0.875,1.0,0.0,20.0,0.006737946999085467
23,0,10155995,24,101598,Absent,45,0,0,1,0,0,1,1,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1,1,0,1,1,0,0,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,0,1,0,1,0,0,0,1,1,0,1,0,12,20,Unicorn_Absent,-1,-1.0,0,Unicorn_Present,RS,RS,NOTHING,23,0,21.992751180040457,-10.333333333333334,168,0.875,35,1.0,48.0,0.0,0.4375,0.006737946999085467,0.875,1.0,0.0,20.0,0.006737946999085467
27,0,10155995,28,101598,Absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-44,0,Unicorn_Absent,-1,-1.0,2,Unicorn_Present,NOTHING,NOTHING,RS,27,0,21.992751180040457,-44.75,124,0.525,0,0.0,33.0,1.0,0.515625,1.0,0.875,1.0,0.0,20.0,0.006737946999085467
32,0,10155995,33,101598,Absent,14,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,20,12,Unicorn_Absent,-1,-1.0,0,Unicorn_Absent,RS,RS,RS,32,0,21.992751180040457,21.992751180040457,144,0.925,12,0.0,64.0,0.515625,0.8125,0.03130111324493289,0.525,0.0,1.0,0.0,1.0
33,0,10155995,34,101598,Absent,14,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,20,12,Unicorn_Absent,-1,-1.0,0,Unicorn_Present,RS,RS,RS,33,0,21.992751180040457,21.0,164,0.925,12,1.0,64.0,0.0,0.8125,0.03130111324493289,0.925,0.0,0.515625,12.0,0.03130111324493289
35,0,10155995,36,101598,Absent,14,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,20,12,Unicorn_Absent,-1,-1.0,0,Unicorn_Present,RS,RS,NOTHING,35,0,21.992751180040457,32.0,184,0.925,12,1.0,64.0,0.0,0.8125,0.03130111324493289,0.925,1.0,0.0,12.0,0.03130111324493289
37,0,10155995,38,101598,Absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1.0,2,Unicorn_Absent,NOTHING,NOTHING,NOTHING,37,0,21.992751180040457,21.992751180040457,216,1.0,0,0.0,43.0,0.671875,0.671875,1.0,0.925,1.0,0.0,12.0,0.03130111324493289
38,0,10155995,39,101598,Absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1.0,2,Unicorn_Absent,NOTHING,NOTHING,NOTHING,38,0,21.992751180040457,21.992751180040457,248,1.0,0,1.0,43.0,0.0,0.671875,1.0,1.0,0.0,0.671875,0.0,1.0
39,0,10155995,40,101598,Absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1.0,2,Unicorn_Absent,NOTHING,NOTHING,NOTHING,39,0,21.992751180040457,21.992751180040457,280,1.0,0,1.0,43.0,0.0,0.671875,1.0,1.0,1.0,0.0,0.0,1.0
40,0,10155995,41,101598,Absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-64,0,Unicorn_Absent,-1,-1.0,2,Unicorn_Present,NOTHING,NOTHING,RS,40,0,21.992751180040457,-64.0,216,0.4,0,1.0,43.0,0.0,0.671875,1.0,1.0,1.0,0.0,0.0,1.0
42,0,10155995,43,101598,Absent,14,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,21,11,Unicorn_Absent,-1,-1.0,0,Unicorn_Absent,RS,RS,RS,42,0,21.992751180040457,21.992751180040457,237,0.93125,14,0.0,46.0,1.0,0.546875,0.023714766002371646,0.4,1.0,0.0,0.0,1.0
43,0,10155995,44,101598,Absent,14,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,21,11,Unicorn_Absent,-1,-1.0,0,Unicorn_Present,RS,RS,RS,43,0,21.992751180040457,28.666666666666668,258,0.93125,14,1.0,46.0,0.0,0.546875,0.023714766002371646,0.93125,0.0,1.0,11.0,0.023714766002371646
47,0,10155995,48,101598,Absent,14,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,21,11,Unicorn_Absent,-1,-1.0,0,Unicorn_Absent,RS,RS,RS,47,0,21.992751180040457,21.992751180040457,279,0.93125,14,1.0,46.0,0.0,0.546875,0.023714766002371646,0.93125,1.0,0.0,11.0,0.023714766002371646
48,0,10155995,49,101598,Absent,14,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,21,11,Unicorn_Absent,-1,-1.0,0,Unicorn_Present,RS,RS,RS,48,0,21.992751180040457,-25.5,300,0.93125,14,1.0,46.0,0.0,0.546875,0.023714766002371646,0.93125,1.0,0.0,11.0,0.023714766002371646
51,0,10155995,52,101598,Absent,14,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,21,11,Unicorn_Absent,-1,-1.0,0,Unicorn_Absent,RS,RS,RS,51,0,21.992751180040457,21.992751180040457,321,0.93125,14,1.0,46.0,0.0,0.546875,0.023714766002371646,0.93125,1.0,0.0,11.0,0.023714766002371646
