level_0,index,Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,Score,Joint,Is_there,where_x,where_y,Strategy,Ac_Score,Norm_Score,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Category,Distancias,Norm_Score_LAG1,Consistency_LAG1,Dif_consist_LAG1,Joint_LAG1,Distancias_LAG1,Focal,Alpha
2180,4450,11972674,6,119704,Absent,54,0,1,1,1,1,0,1,0,1,0,1,1,0,1,0,1,1,1,1,0,1,0,1,0,1,1,0,0,1,0,0,1,0,0,1,0,1,1,1,0,1,0,1,0,0,0,1,1,0,1,0,0,1,1,1,0,1,0,1,1,0,1,1,0,8,24,Unicorn_Absent,-1,-1.0,0,44,0.85,36.0,1.0,54.0,0.0,0.46875,RS,0.1612452535498154,,,,,,0.05,150
2182,4452,11972674,7,119704,Absent,32,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,9,23,Unicorn_Absent,-1,-1.0,6,53,0.85625,32.0,0.36,51.0,0.0,0.4375,RIGHT,0.17389813739634405,0.85,1.0,0.0,24,0.1612452535498154,0.05,150
2184,4454,11972674,8,119704,Absent,28,1,1,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,13,19,Unicorn_Absent,-1,-1.0,0,66,0.88125,24.0,0.2727272727272727,47.0,0.64,0.4375,RS,0.23722423237162518,0.85625,0.36,0.0,23,0.17389813739634405,0.05,150
2186,4458,11972674,10,119704,Absent,64,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-10,42,Unicorn_Absent,-1,-1.0,1,-27,0.7375,64.0,0.375,64.0,0.64,0.34375,ALL,0.0924417853680727,0.88125,0.2727272727272727,0.64,19,0.23722423237162518,0.05,150
2188,4462,11972674,12,119704,Absent,32,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,19,Unicorn_Absent,-1,-1.0,4,15,0.88125,32.0,0.5,55.0,0.7272727272727273,0.5625,UP,0.18818508442027443,0.7375,0.375,0.64,42,0.0924417853680727,0.05,150
2190,4464,11972674,13,119704,Absent,21,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,22,10,Unicorn_Absent,-1,-1.0,0,37,0.9375,16.0,0.2,48.0,0.7272727272727273,0.59375,RS,0.2902735027026453,0.88125,0.5,0.7272727272727273,19,0.18818508442027443,0.05,150
2192,4466,11972674,14,119704,Absent,21,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,22,10,Unicorn_Absent,-1,-1.0,0,59,0.9375,16.0,1.0,48.0,0.625,0.59375,RS,0.2902735027026453,0.9375,0.2,0.7272727272727273,10,0.2902735027026453,0.05,150
2194,4468,11972674,15,119704,Absent,64,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-32,64,Unicorn_Absent,-1,-1.0,1,27,0.6,64.0,0.25,64.0,0.625,0.0,ALL,0.0924417853680727,0.9375,1.0,0.625,10,0.2902735027026453,0.05,150
2196,4470,11972674,16,119704,Absent,12,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,25,7,Unicorn_Absent,-1,-1.0,0,52,0.95625,12.0,0.1875,37.0,0.5,0.46875,RS,0.32546601999734803,0.6,0.25,0.625,64,0.0924417853680727,0.05,150
2198,4472,11972674,17,119704,Absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1.0,2,84,1.0,0.0,0.0,32.0,0.5,0.5,NOTHING,0.6542510918525355,0.95625,0.1875,0.5,7,0.32546601999734803,0.05,150
2200,4476,11972674,19,119704,Absent,32,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,15,Unicorn_Absent,-1,-1.0,4,37,0.90625,32.0,0.0,39.0,0.8,0.375,UP,0.18818508442027443,1.0,0.0,0.5,0,0.6542510918525355,0.05,150
2202,4478,11972674,20,119704,Absent,64,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-4,36,Unicorn_Absent,-1,-1.0,1,33,0.775,64.0,0.5,64.0,0.8,0.4375,ALL,0.0924417853680727,0.90625,0.0,0.8,15,0.18818508442027443,0.05,150
2204,4480,11972674,21,119704,Absent,62,0,0,0,1,1,0,0,1,1,0,0,1,0,1,1,1,1,1,1,0,1,1,1,1,0,0,0,1,0,0,0,1,1,1,0,1,1,1,1,1,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,0,0,1,1,1,1,0,1,0,21,11,Unicorn_Absent,-1,-1.0,0,54,0.93125,37.0,0.578125,48.0,0.0,0.578125,RS,0.1535852641307536,0.775,0.5,0.8,36,0.0924417853680727,0.05,150
2206,4482,11972674,22,119704,Absent,62,0,0,0,1,1,0,0,1,1,0,0,1,0,1,1,1,1,1,1,0,1,1,1,1,0,0,0,1,0,0,0,1,1,1,0,1,1,1,1,1,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,0,0,1,1,1,1,0,1,0,21,11,Unicorn_Absent,-1,-1.0,0,75,0.93125,37.0,1.0,48.0,0.0,0.578125,RS,0.1535852641307536,0.93125,0.578125,0.0,11,0.1535852641307536,0.05,150
