index,Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,Score,Joint,Is_there,where_x,where_y,Strategy,Ac_Score,Norm_Score,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Category,Category1,Similarity,Norm_Score_LAG1,Consistency_LAG1,Dif_consist_LAG1,Joint_LAG1,Similarity_LAG1
4920,12646894,1,126421,Absent,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,1,Unicorn_Absent,-1,-1,0,31,0.99375,1.0,1.0,37.0,0.0,0.5625,RS,RS,0.36787944117144233,,,,,
4924,12646894,3,126421,Absent,56,1,0,0,1,1,0,1,1,1,1,1,0,0,1,0,1,1,0,1,0,0,0,1,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,0,1,0,1,1,1,1,1,0,1,0,1,0,0,1,11,21,Unicorn_Absent,-1,-1,0,42,0.86875,36.0,0.0,48.0,0.0,0.421875,RS,RS,0.005034190088132767,0.99375,1.0,0.0,1,0.36787944117144233
4926,12646894,4,126421,Absent,48,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,1,1,1,1,1,0,1,1,0,1,0,1,1,1,0,1,1,0,0,1,1,0,1,1,1,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,1,1,0,1,0,1,0,0,14,18,Unicorn_Absent,-1,-1,0,56,0.8875,32.0,0.36,51.0,0.34615384615384615,0.515625,RS,RS,0.004180913251655786,0.86875,0.0,0.0,21,0.005034190088132767
4932,12646894,7,126421,Absent,59,0,1,0,0,1,0,0,1,1,1,1,0,0,1,0,1,1,0,1,1,1,0,1,1,0,0,1,1,0,1,0,1,0,1,0,0,1,1,1,1,1,1,0,1,0,1,1,1,0,0,1,1,1,0,0,1,1,0,1,1,1,1,1,1,32,0,Unicorn_Absent,-1,-1,0,88,1.0,40.0,0.44,40.0,0.34615384615384615,0.625,RS,RS,0.007454186295369829,0.8875,0.36,0.34615384615384615,18,0.004180913251655786
4934,12646894,8,126421,Absent,59,0,1,0,0,1,0,0,1,1,1,1,0,0,1,0,1,1,0,1,1,1,0,1,1,0,0,1,1,0,1,0,1,0,1,0,0,1,1,1,1,1,1,0,1,0,1,1,1,0,0,1,1,1,0,0,1,1,0,1,1,1,1,1,1,11,21,Unicorn_Absent,-1,-1,0,99,0.86875,40.0,1.0,51.0,0.01254901960784316,0.46875,RS,RS,0.007454186295369829,1.0,0.44,0.34615384615384615,0,0.007454186295369829
4936,12646894,9,126421,Absent,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1,0,131,1.0,1.0,0.025,37.0,0.01254901960784316,0.578125,RS,RS,0.36787944117144233,0.86875,1.0,0.01254901960784316,21,0.007454186295369829
4940,12646894,11,126421,Absent,25,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,1,0,1,1,1,1,0,0,1,1,1,0,0,0,1,22,10,Unicorn_Absent,-1,-1,0,153,0.9375,23.0,0.043478260869565216,35.0,0.44,0.390625,RS,RS,0.008264124158046258,1.0,0.025,0.01254901960784316,0,0.36787944117144233
4942,12646894,12,126421,Absent,54,0,0,1,1,0,1,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,1,1,1,1,1,1,0,0,1,0,1,1,0,1,1,1,0,0,1,1,1,0,0,1,1,1,28,4,Unicorn_Absent,-1,-1,0,181,0.975,33.0,0.36585365853658536,36.0,0.44,0.5,RS,RS,0.008264124158046258,0.9375,0.043478260869565216,0.44,10,0.008264124158046258
4944,12646894,13,126421,Absent,24,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,1,1,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,30,2,Unicorn_Absent,-1,-1,0,211,0.9875,22.0,0.2222222222222222,23.0,1.0,0.328125,RS,RS,0.009182867495108389,0.975,0.36585365853658536,0.44,4,0.008264124158046258
4948,12646894,15,126421,Absent,24,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,1,1,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,30,2,Unicorn_Absent,-1,-1,0,241,0.9875,22.0,1.0,23.0,1.0,0.328125,RS,RS,0.009182867495108389,0.9875,0.2222222222222222,1.0,2,0.009182867495108389
4952,12646894,17,126421,Absent,15,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,30,2,Unicorn_Absent,-1,-1,0,271,0.9875,14.0,0.16129032258064516,32.0,0.33499999999999996,0.46875,RS,RS,0.023714766002371646,0.9875,1.0,1.0,2,0.009182867495108389
4954,12646894,18,126421,Absent,15,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,30,2,Unicorn_Absent,-1,-1,0,301,0.9875,14.0,1.0,32.0,0.33499999999999996,0.46875,RS,RS,0.023714766002371646,0.9875,0.16129032258064516,0.33499999999999996,2,0.023714766002371646
4960,12646894,21,126421,Absent,15,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,30,2,Unicorn_Absent,-1,-1,0,331,0.9875,14.0,1.0,32.0,0.16485507246376813,0.46875,RS,RS,0.023714766002371646,0.9875,1.0,0.33499999999999996,2,0.023714766002371646
4964,12646894,23,126421,Absent,15,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,30,2,Unicorn_Absent,-1,-1,0,361,0.9875,14.0,1.0,32.0,0.16485507246376813,0.46875,RS,RS,0.023714766002371646,0.9875,1.0,0.16485507246376813,2,0.023714766002371646
4968,12646894,25,126421,Absent,15,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,30,2,Unicorn_Absent,-1,-1,0,391,0.9875,14.0,1.0,32.0,0.25046904315196994,0.46875,RS,RS,0.023714766002371646,0.9875,1.0,0.16485507246376813,2,0.023714766002371646
4970,12646894,26,126421,Absent,15,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,30,2,Unicorn_Absent,-1,-1,0,421,0.9875,14.0,1.0,32.0,0.25046904315196994,0.46875,RS,RS,0.023714766002371646,0.9875,1.0,0.25046904315196994,2,0.023714766002371646
