Dyad,Player,Round,Category,RegionGo,Score,FRASim
1181221965,118125,2,RS,RS,14,0.6295
1181221965,118125,6,RS,RS,14,0.4941
1181221965,118125,9,RS,RS,18,0.4503
1181221965,118125,10,RS,RS,14,0.5136
1181221965,118125,11,RS,RS,18,0.4326
1181221965,118125,12,RS,RS,9,0.5692
1181221965,118125,13,RS,RS,12,0.5649
1181221965,118125,14,RS,OUT,14,0.5528
1181221965,118125,19,OUT,OUT,32,0.3043
1181221965,118125,24,OUT,OUT,32,0.3043
1181221965,118125,25,OUT,OUT,32,0.3043
1181221965,118125,27,OUT,OUT,32,0.3043
1181221965,118125,28,OUT,OUT,32,0.3043
1181221965,118125,29,OUT,OUT,32,0.3043
1181221965,118125,30,OUT,OUT,32,0.3043
1181221965,118125,31,OUT,OUT,32,0.3043
1181221965,118125,33,OUT,OUT,32,0.3043
1181221965,118125,35,OUT,OUT,32,0.3043
1181221965,118125,37,OUT,OUT,32,0.3043
1181221965,118125,39,OUT,OUT,32,0.3043
1181221965,118125,41,OUT,OUT,32,0.3043
1181221965,118125,44,OUT,OUT,32,0.3043
1181221965,118125,45,OUT,OUT,32,0.3043
1181221965,118125,47,OUT,OUT,32,0.3043
1181221965,118125,49,OUT,OUT,32,0.3043
1181221965,118125,55,OUT,OUT,32,0.3043
1181221965,118125,56,OUT,OUT,32,0.3043
1181221965,118125,57,OUT,OUT,32,0.3043
1181221965,118125,58,OUT,OUT,32,0.3043
1181221965,118125,60,OUT,,32,
1181221965,219655,2,RS,RS,14,0.5628
1181221965,219655,6,RS,RS,14,0.5778
1181221965,219655,9,RS,RS,18,0.5431
1181221965,219655,10,RS,RS,14,0.5737
1181221965,219655,11,RS,RS,18,0.4561
1181221965,219655,12,RS,RS,9,0.5692
1181221965,219655,13,RS,RS,12,0.5971
1181221965,219655,14,RS,IN,14,0.5891
1181221965,219655,19,IN,IN,32,0.36
1181221965,219655,24,IN,IN,32,0.36
1181221965,219655,25,IN,IN,32,0.36
1181221965,219655,27,IN,IN,32,0.36
1181221965,219655,28,IN,IN,32,0.36
1181221965,219655,29,IN,IN,32,0.36
1181221965,219655,30,IN,IN,32,0.36
1181221965,219655,31,IN,IN,32,0.36
1181221965,219655,33,IN,IN,32,0.36
1181221965,219655,35,IN,IN,32,0.36
1181221965,219655,37,IN,IN,32,0.36
1181221965,219655,39,IN,IN,32,0.36
