Dyad,Player,Round,Category,RegionGo,Score,FRASim
140-615,140-615PL1,2,RS,RS,25,0.6176
140-615,140-615PL1,6,RS,RS,18,0.5479
140-615,140-615PL1,9,RS,NOTHING,27,0.2623
140-615,140-615PL1,10,NOTHING,NOTHING,32,0.0
140-615,140-615PL1,11,NOTHING,NOTHING,32,0.0
140-615,140-615PL1,12,NOTHING,OUT,12,0.0
140-615,140-615PL1,18,OUT,OUT,22,0.4928
140-615,140-615PL1,20,OUT,OUT,22,0.4395
140-615,140-615PL1,23,OUT,OUT,26,0.3599
140-615,140-615PL1,28,OUT,OUT,25,0.4186
140-615,140-615PL1,30,OUT,OUT,26,0.3901
140-615,140-615PL1,33,OUT,ALL,22,0.471
140-615,140-615PL1,39,ALL,OUT,3,0.7979
140-615,140-615PL1,40,OUT,OUT,14,0.6201
140-615,140-615PL1,41,OUT,OUT,15,0.471
140-615,140-615PL1,42,OUT,OUT,23,0.4432
140-615,140-615PL1,43,OUT,OUT,16,0.5043
140-615,140-615PL1,45,OUT,OUT,21,0.4665
140-615,140-615PL1,47,OUT,OUT,31,0.3043
140-615,140-615PL1,49,OUT,OUT,32,0.3043
140-615,140-615PL1,50,OUT,OUT,32,0.3043
140-615,140-615PL1,51,OUT,OUT,32,0.3043
140-615,140-615PL1,52,OUT,OUT,32,0.3043
140-615,140-615PL1,56,OUT,OUT,32,0.3043
140-615,140-615PL1,57,OUT,OUT,32,0.3043
140-615,140-615PL1,59,OUT,,32,
140-615,140-615PL2,2,RS,RS,25,0.2221
140-615,140-615PL2,6,RS,RS,18,0.4295
140-615,140-615PL2,9,RS,RS,27,0.5117
140-615,140-615PL2,10,RS,RS,32,0.2553
140-615,140-615PL2,11,RS,RS,32,0.4667
140-615,140-615PL2,12,RS,RS,12,0.3958
140-615,140-615PL2,18,RS,RS,22,0.5136
140-615,140-615PL2,20,RS,RS,22,0.4559
140-615,140-615PL2,23,RS,RS,26,0.3889
140-615,140-615PL2,28,RS,RS,25,0.3338
140-615,140-615PL2,30,RS,RS,26,0.3302
140-615,140-615PL2,33,RS,RS,22,0.4848
140-615,140-615PL2,39,RS,RS,3,0.624
140-615,140-615PL2,40,RS,RS,14,0.6743
140-615,140-615PL2,41,RS,RS,15,0.5417
140-615,140-615PL2,42,RS,RS,23,0.3838
140-615,140-615PL2,43,RS,RS,16,0.5889
140-615,140-615PL2,45,RS,IN,21,0.4122
140-615,140-615PL2,47,IN,IN,31,0.38
140-615,140-615PL2,49,IN,IN,32,0.36
140-615,140-615PL2,50,IN,IN,32,0.36
140-615,140-615PL2,51,IN,IN,32,0.36
140-615,140-615PL2,52,IN,IN,32,0.36
140-615,140-615PL2,56,IN,IN,32,0.36
140-615,140-615PL2,57,IN,IN,32,0.36
140-615,140-615PL2,59,IN,,32,
142-263,142-263PL1,3,RS,RS,13,0.4939
142-263,142-263PL1,4,RS,RS,11,0.5526
142-263,142-263PL1,5,RS,RS,8,0.5852
142-263,142-263PL1,6,RS,RS,25,0.3194
142-263,142-263PL1,7,RS,RS,18,0.4586
142-263,142-263PL1,8,RS,RS,23,0.3416
