Dyad,Player,Round,Category,RegionCoded,RegionGo,Score,JointRegion
435-261,435-261PL1,2,RS,gjvBHNS,RS,-17,
435-261,435-261PL1,5,RS,aegkmrwyBLPRV1467;,RS,26,ewyBR4
435-261,435-261PL1,6,RS,hjmpvwxAEIPZ2569:,RS,28,jm2:
435-261,435-261PL1,7,RS,ckpvzBEHTVZ46:,RS,30,z
435-261,435-261PL1,10,RS,uvwxCDEFKLMNRSTUVWXYZ0123456789;:,RIGHT,27,RWY56
435-261,435-261PL1,11,RIGHT,efghmnopuvwxCDEFKLMNSTUV012389;:,RIGHT,32,
435-261,435-261PL1,14,RIGHT,efghmnopuvwxCDEFKLMNSTUV012389;:,RIGHT,32,
435-261,435-261PL1,15,RIGHT,efghmnopuvwxCDEFKLMNSTUV012389;:,RIGHT,32,
435-261,435-261PL1,17,RIGHT,efghmnopuvwxCDEFKLMNSTUV012389;:,RIGHT,31,e
435-261,435-261PL1,20,RIGHT,efghmnopuvwxCDEFKLMNSTUV012389;:,RIGHT,32,
435-261,435-261PL1,21,RIGHT,efghmnopuvwxCDEFKLMNSTUV012389;:,RIGHT,32,
435-261,435-261PL1,23,RIGHT,efghmnopuvwxCDEFKLMNSTUV012389;:,RIGHT,32,
435-261,435-261PL1,24,RIGHT,efghmnopuvwxCDEFKLMNSTUV012389;:,RIGHT,32,
435-261,435-261PL1,25,RIGHT,efghmnopuvwxCDEFKLMNSTUV012389;:,RIGHT,32,
435-261,435-261PL1,26,RIGHT,efghmnopuvwxCDEFKLMNSTUV012389;:,RIGHT,32,
435-261,435-261PL1,27,RIGHT,efghmnopuvwxCDEFKLMNSTUV012389;:,RIGHT,32,
435-261,435-261PL1,28,RIGHT,efghmnopuvwxCDEFKLMNSTUV012389;:,RIGHT,32,
435-261,435-261PL1,29,RIGHT,efghmnopuvwxCDEFKLMNSTUV012389;:,RIGHT,32,
435-261,435-261PL1,33,RIGHT,efghmnopuvwxCDEFKLMNSTUV012389;:,RIGHT,32,
435-261,435-261PL1,36,RIGHT,efghmnopuvwxCDEFKLMNSTUVY012389;:,RIGHT,31,Y
435-261,435-261PL1,39,RIGHT,efghmnopuvwxCDEFKLMNSTUV012389;:,RIGHT,32,
435-261,435-261PL1,40,RIGHT,efghmnopuvwxCDEFKLMNSTUV012389;:,RIGHT,32,
435-261,435-261PL1,45,RIGHT,efghmnopuvwxCDEFKLMNSTUV012389;:,RIGHT,32,
435-261,435-261PL1,47,RIGHT,efghmnopuvwxCDEFKLMNSTUV012389;:,RIGHT,32,
435-261,435-261PL1,48,RIGHT,efghmnopuvwxCDEFKLMNSTUV012389;:,RIGHT,32,
435-261,435-261PL1,52,RIGHT,efghmnopuvwxCDEFKLMNSTUV012389;:,RIGHT,32,
435-261,435-261PL1,54,RIGHT,efghmnopuvwxCDEFKLMNSTUV012389;:,RIGHT,32,
435-261,435-261PL1,55,RIGHT,efghmnopuvwxCDEFKLMNSTUV012389;:,RIGHT,32,
435-261,435-261PL1,57,RIGHT,efghmnopuvwxCDEFKLMNSTUV012389;:,RIGHT,32,
435-261,435-261PL1,58,RIGHT,efghmnopuvwxCDEFKLMNSTUV012389;:,RIGHT,32,
435-261,435-261PL1,59,RIGHT,efghmnopuvwxCDEFKLMNSTUV012389;:,,32,
435-261,435-261PL2,2,RS,AJL26,RS,-17,
435-261,435-261PL2,5,RS,behinowyABCDEHJKNRX345,RS,26,ewyBR4
435-261,435-261PL2,6,RS,ajmrstzBHKTY2:,RS,28,jm2:
435-261,435-261PL2,7,RS,ahz,RS,30,z
