Dyad,Player,Round,Category,RegionCoded,RegionGo,Score,JointRegion
1181221965,118125,2,RS,aeghijlmnorvwyzCEJKMPSTUVXY0135689,RS,14,egjlovyEJMPTVX0368
1181221965,118125,6,RS,bdefgikmopqstuvxyCDGIMNRSTWY1256:,RS,14,fgmopqstuvxCMTWY1:
1181221965,118125,9,RS,bcdefimqsvwxABDEHINOPRZ126789,RS,18,bmqvwxBEHOP127
1181221965,118125,10,RS,bcdghkmnopqstwxzCHJKLMOPQRVWXY356:,RS,14,bcghmpqsxCJMOQRY3:
1181221965,118125,11,RS,befjlmoqstyzBDEJMPQST123468,RS,18,bmostDEMPT2346
1181221965,118125,12,RS,abcdegjkoqstxyzDEGHIKMPSTUW013589:,RS,9,bcdekosyzDEGIKMSTUW039:
1181221965,118125,13,RS,bfgjklnptvwACDEGKLNPQRSZ1346;,RS,12,bgjklpvDEGKLNPQ1346;
1181221965,118125,14,RS,abdefgikmnpsvwyBDHIJOPQRSUX0356789;:,OUT,14,efikmnsyDOPRSUX069
1181221965,118125,19,OUT,abcdefghipqxyFGNOVW3456789;:,OUT,32,
1181221965,118125,24,OUT,abcdefghipqxyFGNOVW3456789;:,OUT,32,
1181221965,118125,25,OUT,abcdefghipqxyFGNOVW3456789;:,OUT,32,
1181221965,118125,27,OUT,abcdefghipqxyFGNOVW3456789;:,OUT,32,
1181221965,118125,28,OUT,abcdefghipqxyFGNOVW3456789;:,OUT,32,
1181221965,118125,29,OUT,abcdefghipqxyFGNOVW3456789;:,OUT,32,
1181221965,118125,30,OUT,abcdefghipqxyFGNOVW3456789;:,OUT,32,
1181221965,118125,31,OUT,abcdefghipqxyFGNOVW3456789;:,OUT,32,
1181221965,118125,33,OUT,abcdefghipqxyFGNOVW3456789;:,OUT,32,
1181221965,118125,35,OUT,abcdefghipqxyFGNOVW3456789;:,OUT,32,
1181221965,118125,37,OUT,abcdefghipqxyFGNOVW3456789;:,OUT,32,
1181221965,118125,39,OUT,abcdefghipqxyFGNOVW3456789;:,OUT,32,
1181221965,118125,41,OUT,abcdefghipqxyFGNOVW3456789;:,OUT,32,
1181221965,118125,44,OUT,abcdefghipqxyFGNOVW3456789;:,OUT,32,
1181221965,118125,45,OUT,abcdefghipqxyFGNOVW3456789;:,OUT,32,
1181221965,118125,47,OUT,abcdefghipqxyFGNOVW3456789;:,OUT,32,
1181221965,118125,49,OUT,abcdefghipqxyFGNOVW3456789;:,OUT,32,
1181221965,118125,55,OUT,abcdefghipqxyFGNOVW3456789;:,OUT,32,
1181221965,118125,56,OUT,abcdefghipqxyFGNOVW3456789;:,OUT,32,
1181221965,118125,57,OUT,abcdefghipqxyFGNOVW3456789;:,OUT,32,
1181221965,118125,58,OUT,abcdefghipqxyFGNOVW3456789;:,OUT,32,
1181221965,118125,60,OUT,abcdefghipqxyFGNOVW3456789;:,,32,
1181221965,219655,2,RS,bdefgjklopqsuvxyABEFGJLMPQRTVX023468;:,RS,14,egjlovyEJMPTVX0368
1181221965,219655,6,RS,afgjlmopqrstuvwxzBCEMPQTUWY01389;:,RS,14,fgmopqstuvxCMTWY1:
1181221965,219655,9,RS,bjlmnqtuvwxBCEHKOPSUXY0127;:,RS,18,bmqvwxBEHOP127
1181221965,219655,10,RS,abcfghijmpqsuvxyACEFIJMNOQRY2349:,RS,14,bcghmpqsxCJMOQRY3:
1181221965,219655,11,RS,bdgkmostuvxADEFGHIMOPRTUYZ23456:,RS,18,bmostDEMPT2346
1181221965,219655,12,RS,bcdeknopsyzBDEGIJKLMORSTUWXYZ039;:,RS,9,bcdekosyzDEGIKMSTUW039:
1181221965,219655,13,RS,bdgijklopsuvDEFGHKLNPQUVWY012345679;,RS,12,bgjklpvDEGKLNPQ1346;
1181221965,219655,14,RS,efijkmnosyzADEKMOPRSTUVXYZ01269,IN,14,efikmnsyDOPRSUX069
1181221965,219655,19,IN,jklmnorstuvwzABCDEHIJKLMPQRSTUXYZ012,IN,32,
1181221965,219655,24,IN,jklmnorstuvwzABCDEHIJKLMPQRSTUXYZ012,IN,32,
1181221965,219655,25,IN,jklmnorstuvwzABCDEHIJKLMPQRSTUXYZ012,IN,32,
1181221965,219655,27,IN,jklmnorstuvwzABCDEHIJKLMPQRSTUXYZ012,IN,32,
1181221965,219655,28,IN,jklmnorstuvwzABCDEHIJKLMPQRSTUXYZ012,IN,32,
1181221965,219655,29,IN,jklmnorstuvwzABCDEHIJKLMPQRSTUXYZ012,IN,32,
1181221965,219655,30,IN,jklmnorstuvwzABCDEHIJKLMPQRSTUXYZ012,IN,32,
1181221965,219655,31,IN,jklmnorstuvwzABCDEHIJKLMPQRSTUXYZ012,IN,32,
1181221965,219655,33,IN,jklmnorstuvwzABCDEHIJKLMPQRSTUXYZ012,IN,32,
1181221965,219655,35,IN,jklmnorstuvwzABCDEHIJKLMPQRSTUXYZ012,IN,32,
1181221965,219655,37,IN,jklmnorstuvwzABCDEHIJKLMPQRSTUXYZ012,IN,32,
1181221965,219655,39,IN,jklmnorstuvwzABCDEHIJKLMPQRSTUXYZ012,IN,32,
1181221965,219655,41,IN,jklmnorstuvwzABCDEHIJKLMPQRSTUXYZ012,IN,32,
1181221965,219655,44,IN,jklmnorstuvwzABCDEHIJKLMPQRSTUXYZ012,IN,32,
1181221965,219655,45,IN,jklmnorstuvwzABCDEHIJKLMPQRSTUXYZ012,IN,32,
