Dyad,Player,Round,Category,RegionCoded,RegionGo,Score,JointRegion
140-615,140-615PL1,2,RS,cdeghknstvwCDIJKLMNOPQRSTUVWXYZ0123456789;:,RS,25,sIJKPR3
140-615,140-615PL1,6,RS,abeijkmoqrtvwxyzBCDEFGHIKMOPRTUVWXYZ12456789;:,RS,18,jmtBCDIKMRTYZ1
140-615,140-615PL1,9,RS,BSTUYZ0456789;:,NOTHING,27,BSTZ0
140-615,140-615PL1,10,NOTHING,,NOTHING,32,
140-615,140-615PL1,11,NOTHING,,NOTHING,32,
140-615,140-615PL1,12,NOTHING,,OUT,12,
140-615,140-615PL1,18,OUT,abcdefghipqxyFGNOVW23456789;:,OUT,22,aceGW2367;
140-615,140-615PL1,20,OUT,abcdefghipqxyFGNOVW3456789;:,OUT,22,ceghixyFGW
140-615,140-615PL1,23,OUT,abcdefghipqxyFGNOVW3456789;:,OUT,26,agG39;
140-615,140-615PL1,28,OUT,abcdefghipqxyFGNOVW3456789;:,OUT,25,cdfhGO8
140-615,140-615PL1,30,OUT,abcdefghipqxyFGNOVW3456789;:,OUT,26,ipFOW9
140-615,140-615PL1,33,OUT,abcdefghipqxyFGNOVW3456789;:,ALL,22,aeiqyGO38;
140-615,140-615PL1,39,ALL,abcdefghijklmnopqrstuvwxyzABCDEFGHIJKLMNOPQRSTUVWXYZ0123456789;:,OUT,3,adfghikmnopsuwyzABDFGMRSX245;
140-615,140-615PL1,40,OUT,abcdefghipqxyFGNOVW3456789;:,OUT,14,abcdefhqyGOVW4569;
140-615,140-615PL1,41,OUT,abcdefghipqxyFGNOVW3456789;:,OUT,15,abcdefghpqxFGNV78
140-615,140-615PL1,42,OUT,abcdefghipqxyFGNOVW3456789;:,OUT,23,abefpyNW7
140-615,140-615PL1,43,OUT,abcdefghipqxyFGNOVW3456789;:,OUT,16,eghpxyGOW345679;
140-615,140-615PL1,45,OUT,abcdefghipqxyFGNOVW3456789;:,OUT,21,abcfgxGNO78
140-615,140-615PL1,47,OUT,abcdefghipqxyFGNOVW3456789;:,OUT,31,3
140-615,140-615PL1,49,OUT,abcdefghipqxyFGNOVW3456789;:,OUT,32,
140-615,140-615PL1,50,OUT,abcdefghipqxyFGNOVW3456789;:,OUT,32,
140-615,140-615PL1,51,OUT,abcdefghipqxyFGNOVW3456789;:,OUT,32,
140-615,140-615PL1,52,OUT,abcdefghipqxyFGNOVW3456789;:,OUT,32,
140-615,140-615PL1,56,OUT,abcdefghipqxyFGNOVW3456789;:,OUT,32,
140-615,140-615PL1,57,OUT,abcdefghipqxyFGNOVW3456789;:,OUT,32,
140-615,140-615PL1,59,OUT,abcdefghipqxyFGNOVW3456789;:,,32,
140-615,140-615PL2,2,RS,amszAIJKPR3,RS,25,sIJKPR3
140-615,140-615PL2,6,RS,jlmstuABCDIJKLMQRSTYZ01,RS,18,jmtBCDIKMRTYZ1
140-615,140-615PL2,9,RS,abcdefghijklmnopqrstuvwxyzABCDEFGHIJKLMNORSTVZ01,RS,27,BSTZ0
140-615,140-615PL2,10,RS,abeikmstvACDIJLOPQRSTUVXY01,RS,32,
140-615,140-615PL2,11,RS,bdefiklmnostuvwABCDEFGJKLMTU01247:,RS,32,
140-615,140-615PL2,12,RS,abdefghikmopqsuxyBCFGIKNORUVW1347;:,RS,12,
140-615,140-615PL2,18,RS,acejklmnostuvwzDGIKQRSTUWYZ012367;,RS,22,aceGW2367;
140-615,140-615PL2,20,RS,ceghijklnorstuvwxyzABCDEFGHIJLQRSUWXY0,RS,22,ceghixyFGW
140-615,140-615PL2,23,RS,aglosuvwzCEGJQU1239;,RS,26,agG39;
140-615,140-615PL2,28,RS,cdfhmnosuwGHIOQRU8,RS,25,cdfhGO8
140-615,140-615PL2,30,RS,iknprstwzCDFIJKLOPWXY019,RS,26,ipFOW9
140-615,140-615PL2,33,RS,aeioqstuyzCDGJLMOPSTUY138;,RS,22,aeiqyGO38;
140-615,140-615PL2,39,RS,adfghikmnopsuwyzABDFGMRSX245;,RS,3,adfghikmnopsuwyzABDFGMRSX245;
140-615,140-615PL2,40,RS,abcdefhklmoqrstuvwyABCDEGIKLORTUVW14569;,RS,14,abcdefhqyGOVW4569;
140-615,140-615PL2,41,RS,abcdefghnopqsuwxBCDFGIJNPRTVXYZ078,RS,15,abcdefghpqxFGNV78
140-615,140-615PL2,42,RS,abefjlmpstvyzABCDEHJKNPRTWY07,RS,23,abefpyNW7
140-615,140-615PL2,43,RS,eghjkmnpsvwxyABCDEGHIJKLMOPQRUWXYZ02345679;,RS,16,eghpxyGOW345679;
140-615,140-615PL2,45,RS,abcfgjklmrstuvxzABCDEGHIJKMNOPQRSXYZ78,IN,21,abcfgxGNO78
140-615,140-615PL2,47,IN,jklmnorstuvwzABCDEHIJKLMPQRSTUXYZ0123,IN,31,3
140-615,140-615PL2,49,IN,jklmnorstuvwzABCDEHIJKLMPQRSTUXYZ012,IN,32,
140-615,140-615PL2,50,IN,jklmnorstuvwzABCDEHIJKLMPQRSTUXYZ012,IN,32,
140-615,140-615PL2,51,IN,jklmnorstuvwzABCDEHIJKLMPQRSTUXYZ012,IN,32,
140-615,140-615PL2,52,IN,jklmnorstuvwzABCDEHIJKLMPQRSTUXYZ012,IN,32,
140-615,140-615PL2,56,IN,jklmnorstuvwzABCDEHIJKLMPQRSTUXYZ012,IN,32,
140-615,140-615PL2,57,IN,jklmnorstuvwzABCDEHIJKLMPQRSTUXYZ012,IN,32,
140-615,140-615PL2,59,IN,jklmnorstuvwzABCDEHIJKLMPQRSTUXYZ012,,32,
142-263,142-263PL1,3,RS,adhjlnorvyBEHJNOQTUVXZ04579:,RS,13,adhjlnovyBEJQTV479:
142-263,142-263PL1,4,RS,acehilnpqrtuxyACFGHJLMPRTVX024678:,RS,11,acehilpyCFHJLTX02468:
142-263,142-263PL1,5,RS,adfhjmortuwyABCDHJMPRTUWX02468:,RS,8,adjmoruwyABCDJMRTUX2468:
142-263,142-263PL1,6,RS,aehkozDNOQU046:,RS,25,akoQU06
142-263,142-263PL1,7,RS,adfhjsuvxzDEILOUXZ1468:,RS,18,afhsuzDLOXZ68:
142-263,142-263PL1,8,RS,achlorvyzBEIJMOPTXZ469:,RS,23,aclrEJOT9
142-263,142-263PL1,12,RS,adfhkqsuvxzBDFHKMORUWY145679:,RS,15,adfkqvzFHRUY1679:
142-263,142-263PL1,13,RS,acefhnuxyFJKNP47:,RS,21,acfhnxKP47:
