level_0,index,Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,b11,b12,b13,b14,b15,b16,b17,b18,b21,b22,b23,b24,b25,b26,b27,b28,b31,b32,b33,b34,b35,b36,b37,b38,b41,b42,b43,b44,b45,b46,b47,b48,b51,b52,b53,b54,b55,b56,b57,b58,b61,b62,b63,b64,b65,b66,b67,b68,b71,b72,b73,b74,b75,b76,b77,b78,b81,b82,b83,b84,b85,b86,b87,b88,Score,Joint,Is_there,where_x,where_y,Ac_Score,Norm_Score,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,DLIndex_Mean,Fairness,Distancias,Strategy,Norm_Score_LAG1,Consistency_LAG1,Dif_consist_LAG1,Joint_LAG1,Distancias_LAG1,Strategy_LAG1
2464,5040,140-615,1,140-615PL1,Absent,41857,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,1,1,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,12,0,0,0,0,0,0,0,0,0,0,0,11,44,0,5,0,4,0,3,42,43,0,0,0,39,40,0,41,18,36,37,2,38,13,21,20,19,35,14,34,30,33,22,1,23,15,32,31,6,7,26,25,24,16,17,29,28,27,8,9,10,23,9,Unicorn_Absent,-1,-1,23,0.94375,44,1.0,48,0.0,0.609375,0.7106481481481481,0.515625,0.03130111324493289,RS,,,,,,
2467,5043,140-615,2,140-615PL1,Absent,31954,0,0,1,1,1,0,1,1,0,0,1,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,36,35,34,0,33,32,0,0,37,0,0,48,0,0,0,0,47,41,0,39,43,0,0,0,0,0,45,44,0,0,0,0,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,25,7,Unicorn_Absent,-1,-1,48,0.95625,43,0.6730769230769231,47,0.0,0.625,0.7106481481481481,0.5,0.020796234419099814,RS,0.94375,1.0,0.0,9.0,0.03130111324493289,RS
2469,5051,140-615,6,140-615PL1,Absent,17814,1,1,0,0,1,0,0,0,1,1,1,0,1,0,1,0,1,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,47,0,0,31,0,0,0,46,50,2,0,32,0,21,0,44,48,0,19,0,20,30,29,43,49,0,18,34,3,28,26,42,35,36,0,4,0,25,0,41,5,0,17,0,24,23,9,37,38,6,16,0,12,8,0,39,40,13,14,15,7,11,10,18,14,Unicorn_Absent,-1,-1,66,0.9125,46,0.5084745762711864,55,0.3397435897435898,0.640625,0.7106481481481481,0.640625,0.01436959609043909,RS,0.95625,0.6730769230769231,0.0,7.0,0.020796234419099814,RS
2470,5056,140-615,9,140-615PL1,Absent,28215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,13,12,0,0,0,16,17,15,0,0,0,9,7,6,10,11,4,3,2,27,5,Unicorn_Absent,-1,-1,93,0.96875,15,0.2708333333333333,58,0.3397435897435898,0.828125,0.7106481481481481,0.484375,0.020796234419099814,RS,0.9125,0.5084745762711864,0.3397435897435898,14.0,0.01436959609043909,RS
2473,5059,140-615,10,140-615PL1,Absent,15686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1,125,1.0,0,0.0,27,0.24921531701192717,0.421875,0.7106481481481481,0.578125,1.0,NOTHING,0.96875,0.2708333333333333,0.3397435897435898,5.0,0.020796234419099814,RS
2475,5061,140-615,11,140-615PL1,Absent,17704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1,157,1.0,0,1.0,34,0.24921531701192717,0.53125,0.7106481481481481,0.46875,1.0,NOTHING,1.0,0.0,0.24921531701192717,0.0,1.0,NOTHING
2476,5062,140-615,12,140-615PL1,Absent,19957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1,189,1.0,0,1.0,35,0.14916666666666667,0.546875,0.7106481481481481,0.453125,1.0,NOTHING,1.0,1.0,0.24921531701192717,0.0,1.0,NOTHING
2479,5075,140-615,18,140-615PL1,Absent,18349,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,15,14,13,12,11,10,9,8,16,0,0,0,0,0,0,7,17,0,0,0,0,0,0,6,18,0,0,0,0,0,0,5,19,0,0,0,0,0,0,4,20,0,0,0,0,0,0,3,21,0,0,0,0,0,29,2,22,23,24,25,26,27,28,1,22,10,Unicorn_Absent,-1,-1,211,0.9375,29,0.0,53,0.14916666666666667,0.671875,0.7106481481481481,0.921875,0.36787944117144233,OUT,1.0,1.0,0.14916666666666667,0.0,1.0,NOTHING
2480,5078,140-615,20,140-615PL1,Absent,23317,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,15,14,13,12,11,10,9,8,16,0,0,0,0,0,0,7,17,0,0,0,0,0,0,6,18,0,0,0,0,0,0,5,19,0,0,0,0,0,0,4,20,0,0,0,0,0,0,3,21,0,0,0,0,0,0,2,22,23,24,25,26,27,28,1,22,10,Unicorn_Absent,-1,-1,233,0.9375,28,0.9655172413793104,56,0.41509433962264153,0.71875,0.7106481481481481,0.84375,1.0,OUT,0.9375,0.0,0.14916666666666667,10.0,0.36787944117144233,OUT
2482,5084,140-615,23,140-615PL1,Absent,15765,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,15,14,13,12,11,10,9,8,16,0,0,0,0,0,0,7,17,0,0,0,0,0,0,6,18,0,0,0,0,0,0,5,20,0,0,0,0,0,0,4,21,0,0,0,0,0,0,3,22,0,0,0,0,0,0,2,23,24,25,26,27,28,29,1,26,6,Unicorn_Absent,-1,-1,259,0.9625,28,1.0,42,0.41509433962264153,0.5625,0.7106481481481481,0.875,1.0,OUT,0.9375,0.9655172413793104,0.41509433962264153,10.0,1.0,OUT
2484,5094,140-615,28,140-615PL1,Absent,21894,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,22,20,19,18,17,16,15,12,23,0,0,0,0,0,0,10,24,0,0,0,0,0,0,14,26,0,0,0,0,0,0,13,28,0,0,0,0,0,0,6,29,0,0,0,0,0,0,4,31,0,0,0,0,0,0,3,30,33,35,36,37,39,40,2,25,7,Unicorn_Absent,-1,-1,284,0.95625,28,1.0,39,0.6136363636363636,0.5,0.7106481481481481,0.84375,1.0,OUT,0.9625,1.0,0.41509433962264153,6.0,1.0,OUT
2486,5098,140-615,30,140-615PL1,Absent,36906,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,18,17,15,14,13,12,11,9,20,0,0,0,0,0,0,10,22,0,0,0,0,0,0,7,23,0,0,0,0,0,0,5,24,0,0,0,0,0,0,4,27,0,0,0,0,0,0,3,28,0,0,0,0,0,0,2,29,31,32,33,36,34,35,1,26,6,Unicorn_Absent,-1,-1,310,0.9625,28,1.0,46,0.6136363636363636,0.625,0.7106481481481481,0.9375,1.0,OUT,0.95625,1.0,0.6136363636363636,7.0,1.0,OUT
2489,5105,140-615,33,140-615PL1,Absent,13983,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,33,34,35,37,38,39,41,1,32,0,0,0,0,0,0,4,30,0,0,0,0,0,0,6,29,0,0,0,0,0,0,7,27,0,0,0,0,0,0,10,26,0,0,0,0,0,0,11,25,0,0,0,0,0,0,13,23,22,20,19,17,16,15,14,22,10,Unicorn_Absent,-1,-1,332,0.9375,28,1.0,44,0.5918367346938775,0.53125,0.7106481481481481,0.96875,1.0,OUT,0.9625,1.0,0.6136363636363636,6.0,1.0,OUT
2491,5117,140-615,39,140-615PL1,Absent,26626,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,37,75,74,76,39,79,41,83,35,72,71,73,77,78,82,43,33,69,68,70,12,80,81,44,31,10,67,65,66,51,50,45,29,63,64,9,7,52,49,46,28,61,62,6,54,53,14,48,26,59,58,60,5,55,56,3,24,25,20,23,15,17,57,2,3,29,Unicorn_Absent,-1,-1,335,0.81875,64,0.4375,64,0.5918367346938775,0.546875,0.7106481481481481,0.453125,1.0,ALL,0.9375,1.0,0.5918367346938775,10.0,1.0,OUT
2493,5119,140-615,40,140-615PL1,Absent,17381,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,31,41,34,35,36,39,40,1,29,0,0,0,0,0,0,2,27,0,0,0,0,0,0,3,25,0,0,0,0,0,0,4,24,0,0,0,0,0,0,10,22,0,0,0,0,0,0,5,21,0,0,0,0,0,0,7,19,18,16,15,13,12,11,9,14,18,Unicorn_Absent,-1,-1,349,0.8875,28,0.4375,50,0.3269230769230769,0.5,0.7106481481481481,0.8125,1.0,OUT,0.81875,0.4375,0.5918367346938775,29.0,1.0,ALL
2494,5120,140-615,41,140-615PL1,Absent,15264,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,42,41,39,38,36,35,33,2,0,0,0,0,0,0,31,4,0,0,0,0,0,0,32,6,0,0,0,0,0,0,28,7,0,0,0,0,0,0,26,9,0,0,0,0,0,0,25,10,0,0,0,0,0,0,24,11,12,13,15,19,17,20,22,15,17,Unicorn_Absent,-1,-1,364,0.89375,28,1.0,45,0.3269230769230769,0.4375,0.7106481481481481,0.90625,1.0,OUT,0.8875,0.4375,0.3269230769230769,18.0,1.0,OUT
2496,5122,140-615,42,140-615PL1,Absent,20442,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,21,19,18,16,14,13,12,11,22,0,0,0,0,0,0,9,24,0,0,0,0,0,0,7,25,0,0,0,0,0,0,6,31,0,0,0,0,0,0,5,26,0,0,0,0,0,0,4,29,0,0,0,0,0,0,3,30,33,35,40,36,38,39,1,23,9,Unicorn_Absent,-1,-1,387,0.94375,28,1.0,48,0.49612948627726955,0.609375,0.7106481481481481,0.984375,1.0,OUT,0.89375,1.0,0.3269230769230769,17.0,1.0,OUT
2499,5125,140-615,43,140-615PL1,Absent,19466,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,28,26,23,21,20,19,17,16,31,0,0,0,0,0,0,14,34,0,0,0,0,0,0,15,33,0,0,0,0,0,0,12,36,0,0,0,0,0,0,11,37,0,0,0,0,0,0,10,39,0,0,0,0,0,0,8,40,42,46,44,45,1,3,6,16,16,Unicorn_Absent,-1,-1,403,0.9,28,1.0,55,0.49612948627726955,0.609375,0.7106481481481481,0.765625,1.0,OUT,0.94375,1.0,0.49612948627726955,9.0,1.0,OUT
2501,5129,140-615,45,140-615PL1,Absent,20182,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,23,22,21,19,18,17,15,13,25,0,0,0,0,0,0,12,27,0,0,0,0,0,0,10,28,0,0,0,0,0,0,9,30,0,0,0,0,0,0,7,32,0,0,0,0,0,0,5,33,0,0,0,0,0,0,3,34,36,37,42,39,40,41,4,21,11,Unicorn_Absent,-1,-1,424,0.93125,28,1.0,55,0.6818181818181819,0.6875,0.7106481481481481,0.84375,1.0,OUT,0.9,1.0,0.49612948627726955,16.0,1.0,OUT
2503,5133,140-615,47,140-615PL1,Absent,17997,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,3,1,42,41,40,38,36,34,2,0,0,0,0,0,0,32,4,0,0,0,0,0,0,31,5,0,0,0,0,0,0,29,8,0,0,0,0,0,0,28,9,0,0,0,0,0,0,27,11,0,0,0,0,0,0,25,14,13,15,16,17,19,21,23,31,1,Unicorn_Absent,-1,-1,455,0.99375,28,1.0,64,0.6818181818181819,0.984375,0.7106481481481481,0.859375,1.0,OUT,0.93125,1.0,0.6818181818181819,11.0,1.0,OUT
2504,5136,140-615,49,140-615PL1,Absent,16284,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,42,41,40,38,37,36,33,4,0,0,0,0,0,0,32,7,0,0,0,0,0,0,34,8,0,0,0,0,0,0,29,10,0,0,0,0,0,0,27,12,0,0,0,0,0,0,25,11,0,0,0,0,0,0,23,14,15,16,18,20,19,21,22,32,0,Unicorn_Absent,-1,-1,487,1.0,28,1.0,64,0.7741935483870968,1.0,0.7106481481481481,0.875,1.0,OUT,0.99375,1.0,0.6818181818181819,1.0,1.0,OUT
2506,5138,140-615,50,140-615PL1,Absent,16876,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,43,42,41,44,39,45,37,3,0,0,0,0,0,0,35,6,0,0,0,0,0,0,34,8,0,0,0,0,0,0,33,10,0,0,0,0,0,0,31,12,0,0,0,0,0,0,30,13,0,0,0,0,0,0,28,14,16,17,18,20,23,22,25,32,0,Unicorn_Absent,-1,-1,519,1.0,28,1.0,64,0.7741935483870968,1.0,0.7106481481481481,0.875,1.0,OUT,1.0,1.0,0.7741935483870968,0.0,1.0,OUT
