index,Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,Score,Joint,Is_there,where_x,where_y,Strategy,Is_there_LEAD,Category,Category1,RegionGo,indice,Ac_Score,Norm_Score,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Norm_Score_LAG1,Consistency_LAG1,Dif_consist_LAG1,Joint_LAG1
3,10731988,4,107382,Absent,28,0,0,0,0,1,0,0,0,0,1,1,1,0,1,1,1,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,32,0,Unicorn_Absent,-1,-1,0,Unicorn_Absent,RS,RS,RS,3,56,1.0,22.0,0.2682926829268293,22.0,0.2682926829268293,0.34375,,,,
4,10731988,5,107382,Absent,33,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,1,0,0,0,1,1,1,0,1,1,0,0,1,1,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1,0,Unicorn_Present,RS,RS,RS,4,88,1.0,27.0,0.16666666666666666,27.0,0.8333333333333334,0.421875,1.0,0.2682926829268293,0.2682926829268293,0
6,10731988,7,107382,Absent,44,1,1,1,1,0,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,1,0,0,0,1,1,1,1,0,0,1,1,0,1,0,1,1,0,0,0,1,0,1,0,1,1,0,0,1,0,0,1,31,0,Unicorn_Absent,-1,-1,0,Unicorn_Present,RS,RS,RS,6,119,0.99375,32.0,0.3111111111111111,32.0,0.6888888888888889,0.5,1.0,0.16666666666666666,0.8333333333333334,0
10,10731988,11,107382,Absent,54,1,0,1,1,1,1,0,0,0,1,1,0,1,0,1,1,1,1,0,1,1,1,1,0,1,0,0,1,0,0,1,0,1,1,1,0,1,1,0,0,1,0,1,1,1,1,1,1,0,0,1,1,0,1,1,0,1,0,1,0,1,0,0,1,13,19,Unicorn_Absent,-1,-1,0,Unicorn_Present,RS,RS,RS,10,132,0.88125,39.0,0.36538461538461536,52.0,0.36538461538461536,0.515625,0.99375,0.3111111111111111,0.6888888888888889,0
13,10731988,14,107382,Absent,51,1,0,0,0,1,1,1,1,1,0,0,1,0,0,0,1,0,1,1,1,0,1,0,1,1,1,1,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0,1,1,1,1,1,1,1,0,1,0,1,0,1,1,12,20,Unicorn_Absent,-1,-1,0,Unicorn_Absent,RS,RS,DOWN,13,144,0.875,35.0,0.37037037037037035,47.0,0.6296296296296297,0.421875,0.88125,0.36538461538461536,0.36538461538461536,19
14,10731988,15,107382,Absent,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,16,Unicorn_Absent,-1,-1,3,Unicorn_Absent,DOWN,DOWN,LEFT,14,160,0.9,32.0,0.3673469387755102,48.0,0.3673469387755102,0.5,0.875,0.37037037037037035,0.6296296296296297,20
15,10731988,16,107382,Absent,32,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,-21,0,Unicorn_Absent,-1,-1,5,Unicorn_Present,LEFT,LEFT,RS,15,139,0.66875,32.0,0.3333333333333333,32.0,0.3333333333333333,0.5,0.9,0.3673469387755102,0.3673469387755102,16
18,10731988,19,107382,Absent,22,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,1,1,1,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,20,12,Unicorn_Absent,-1,-1,0,Unicorn_Absent,RS,RS,DOWN,18,159,0.925,20.0,0.23809523809523808,45.0,0.23809523809523808,0.515625,0.66875,0.3333333333333333,0.3333333333333333,0
19,10731988,20,107382,Absent,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,32,0,Unicorn_Absent,-1,-1,3,Unicorn_Absent,DOWN,DOWN,DOWN,19,191,1.0,32.0,0.15555555555555556,32.0,0.15555555555555556,0.5,0.925,0.23809523809523808,0.23809523809523808,12
20,10731988,21,107382,Absent,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-64,0,Unicorn_Absent,-1,-1,3,Unicorn_Present,DOWN,DOWN,ALL,20,127,0.4,32.0,1.0,32.0,0.0,0.5,1.0,0.15555555555555556,0.15555555555555556,0
22,10731988,23,107382,Absent,64,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,32,Unicorn_Absent,-1,-1,1,Unicorn_Absent,ALL,ALL,NOTHING,22,127,0.8,64.0,0.5,64.0,0.5,0.5,0.4,1.0,0.0,0
23,10731988,24,107382,Absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1,2,Unicorn_Present,NOTHING,NOTHING,NOTHING,23,159,1.0,0.0,0.0,17.0,0.225,0.265625,0.8,0.5,0.5,32
25,10731988,26,107382,Absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1,2,Unicorn_Absent,NOTHING,NOTHING,NOTHING,25,191,1.0,0.0,1.0,24.0,0.8611111111111112,0.375,1.0,0.0,0.225,0
26,10731988,27,107382,Absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1,2,Unicorn_Present,NOTHING,NOTHING,NOTHING,26,223,1.0,0.0,1.0,33.0,0.7608695652173914,0.515625,1.0,1.0,0.8611111111111112,0
28,10731988,29,107382,Absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-64,0,Unicorn_Absent,-1,-1,2,Unicorn_Present,NOTHING,NOTHING,LEFT,28,159,0.4,0.0,1.0,37.0,0.5714285714285714,0.578125,1.0,1.0,0.7608695652173914,0
30,10731988,31,107382,Absent,32,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,16,16,Unicorn_Absent,-1,-1,5,Unicorn_Present,LEFT,LEFT,RIGHT,30,175,0.9,32.0,0.0,48.0,0.5,0.5,0.4,1.0,0.5714285714285714,0
32,10731988,33,107382,Absent,32,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,32,Unicorn_Absent,-1,-1,6,Unicorn_Absent,RIGHT,RIGHT,RS,32,175,0.8,32.0,0.0,64.0,0.5,0.5,0.9,0.0,0.5,16
33,10731988,34,107382,Absent,42,1,1,0,0,1,1,1,1,1,0,1,0,1,0,1,0,1,1,0,1,0,0,1,0,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,1,16,16,Unicorn_Absent,-1,-1,0,Unicorn_Present,RS,RS,DOWN,33,191,0.9,30.0,0.34782608695652173,48.0,0.18342391304347827,0.5,0.8,0.0,0.5,32
37,10731988,38,107382,Absent,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,21,11,Unicorn_Absent,-1,-1,3,Unicorn_Absent,DOWN,DOWN,RS,37,212,0.93125,32.0,0.24,39.0,0.001904761904761909,0.4375,0.9,0.34782608695652173,0.18342391304347827,16
